version 1, schema building_culture_variants_tables, guid 2644c639-8543-43fc-ada3-5a514e8250b0
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"GEM_Buddhist_1_Buddhist_Sanctuary"	"japanese"	"archery_range"	"campaign_sho_buddhist_1_temple"	nil	"GEM_Buddhist_1_Description"	"GEM_Buddhist_Sanctuary"
"GEM_Buddhist_2_Buddhist_Temple"	"japanese"	"archery_range"	"campaign_sho_buddhist_2_monastery"	nil	"GEM_Buddhist_2_Description"	"GEM_Buddhist_Temple"
"GEM_Buddhist_3_Buddhist_Monastery"	"japanese"	"archery_range"	"campaign_sho_buddhist_3_temple_complex"	nil	"GEM_Buddhist_3_Description"	"GEM_Buddhist_Monastery"
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"japanese"	"archery_range"	"campaign_sho_buddhist_4_legendary_temple"	nil	"GEM_Buddhist_4_Description"	"GEM_Famous_Buddhist_Temple"
"GEM_Buff_1_Encampment"	"japanese"	"archery_range"	"campaign_sho_buff_1_encampment"	nil	"GEM_Buff_1_Description"	"SHO_Buff_1_Encampment"
"GEM_Buff_2_Armoury"	"japanese"	"archery_range"	"campaign_sho_buff_2_armoury"	nil	"GEM_Buff_2a_Description"	"SHO_Buff_2_Armoury"
"GEM_Buff_2_Hunting_Lodge"	"japanese"	"archery_range"	"campaign_sho_buff_2_hunting_lodge"	nil	"GEM_Buff_2b_Description"	"SHO_Buff_2_Hunting_Lodge"
"GEM_Buff_2_Proving_Grounds"	"japanese"	"archery_range"	"campaign_sho_buff_2_proving_grounds"	nil	"GEM_Buff_2c_Description"	"SHO_Buff_2_Proving_Grounds"
"GEM_Bushi_1_Bushi_Training_Grounds"	"japanese"	"archery_range"	"campaign_sho_sword_1_sword_school"	nil	"GEM_Bushi_1_Description"	"GEM_Bushi_Training_Grounds"
"GEM_Bushi_2_Bushi_School"	"japanese"	"archery_range"	"campaign_sho_sword_2_nodachi"	nil	"GEM_Bushi_2_Description"	"GEM_Bushi_School"
"GEM_Bushi_3_Bushi_Dojo"	"japanese"	"archery_range"	"campaign_sho_sword_3_master_dojo"	nil	"GEM_Bushi_3_Description"	"GEM_Bushi_Dojo"
"GEM_Bushi_4_Legendary_Bushi_Dojo"	"japanese"	"archery_range"	"campaign_sho_sword_4_legendary_dojo"	nil	"GEM_Bushi_4_Description"	"GEM_Legendary_Bushi_Dojo"
"GEM_Castle_1_Town"	"japanese"	"archery_range"	"campaign_gem_castle_1"	nil	"GEM_Castle_1_Description"	"GEM_Town"
"GEM_Castle_2_Stronghold"	"japanese"	"archery_range"	"campaign_gem_castle_2"	nil	"GEM_Castle_2_Description"	"GEM_Stronghold"
"GEM_Castle_3_Fort"	"japanese"	"archery_range"	"campaign_gem_castle_3"	nil	"GEM_Castle_3_Description"	"GEM_Fort"
"GEM_Castle_4_Castle"	"japanese"	"archery_range"	"campaign_gem_castle_4"	nil	"GEM_Castle_4_Description"	"GEM_Castle"
"GEM_Clan_1_Shinden"	"japanese"	"archery_range"	"campaign_sho_buddhist_1_temple"	nil	"GEM_Clan_1_Description"	"GEM_Shinden_Estate"
"GEM_Clan_2_Mandokoro"	"japanese"	"archery_range"	"campaign_sho_buddhist_2_monastery"	nil	"GEM_Clan_2_Description"	"GEM_Mandokoro_Administrative_Office"
"GEM_Clan_3_Province_Magistrate"	"japanese"	"archery_range"	"campaign_sho_buddhist_3_temple_complex"	nil	"GEM_Clan_3_Description"	"GEM_Provincial_Magistrate"
"GEM_Clan_4_Fujiwara_Palace"	"japanese"	"archery_range"	"campaign_sho_buddhist_4_legendary_temple"	nil	"GEM_Clan_4a_Description"	"GEM_Fujiwara_Palace"
"GEM_Clan_4_Minamoto_Palace"	"japanese"	"archery_range"	"campaign_sho_buddhist_4_legendary_temple"	nil	"GEM_Clan_4b_Description"	"GEM_Minamoto_Palace"
"GEM_Clan_4_Taira_Palace"	"japanese"	"archery_range"	"campaign_sho_buddhist_4_legendary_temple"	nil	"GEM_Clan_4c_Description"	"GEM_Taira_Palace"
"GEM_Economy_1_Barter"	"japanese"	"archery_range"	"campaign_sho_crafts_1_market"	nil	"GEM_Economy_1_Description"	"GEM_Barter_Exchange"
"GEM_Economy_2_Food_Stores"	"japanese"	"archery_range"	"campaign_sho_crafts_2_rice_exchange"	nil	"GEM_Economy_2a_Description"	"GEM_Food_Stores"
"GEM_Economy_2_Market"	"japanese"	"archery_range"	"campaign_sho_crafts_2_rice_exchange"	nil	"GEM_Economy_2b_Description"	"GEM_Market"
"GEM_Economy_3_Goods_Exchange"	"japanese"	"archery_range"	"campaign_sho_crafts_3_merchant_guild"	nil	"GEM_Economy_3a_Description"	"GEM_Goods_Exchange"
"GEM_Economy_3_Granary"	"japanese"	"archery_range"	"campaign_sho_crafts_3_merchant_guild"	nil	"GEM_Economy_3b_Description"	"GEM_Granary"
"GEM_Economy_4_Grain_Warehouse"	"japanese"	"archery_range"	"campaign_sho_crafts_4_kanabukama"	nil	"GEM_Economy_4a_Description"	"GEM_Grain_Warehouse"
"GEM_Economy_4_Merchant_Guild"	"japanese"	"archery_range"	"campaign_sho_crafts_4_kanabukama"	nil	"GEM_Economy_4b_Description"	"GEM_Merchant_Guild"
"GEM_Farming_1_Fields"	"japanese"	"archery_range"	"campaign_sho_farming_1_rice_paddies"	nil	"GEM_Farming_1_Description"	"GEM_Fields"
"GEM_Farming_2_Dry_Field_Agriculture"	"japanese"	"archery_range"	"campaign_sho_farming_1_rice_paddies"	nil	"GEM_Farming_2a_Description"	"GEM_Dry_Field_Agriculture"
"GEM_Farming_2_Pastures"	"japanese"	"archery_range"	nil	"campaign_sho_region_specialty_horses_1_pastures"	"GEM_Farming_2b_Description"	"GEM_Pastures"
"GEM_Farming_3_Horse_Breeders"	"japanese"	"archery_range"	nil	"campaign_sho_region_specialty_horses_2_breeders"	"GEM_Farming_3a_Description"	"SHO_Region_Specialty_Horses_2_Breeders"
"GEM_Farming_3_Rice_Paddies"	"japanese"	"archery_range"	"campaign_sho_farming_2_irrigation"	nil	"GEM_Farming_3b_Description"	"GEM_Rice_Paddies"
"GEM_Farming_4_Improved_Irrigation"	"japanese"	"archery_range"	"campaign_sho_farming_3_terraces"	nil	"GEM_Farming_4a_Description"	"GEM_Improved_Irrigation"
"GEM_Farming_4_Warhorse_Studs"	"japanese"	"archery_range"	nil	"campaign_sho_region_specialty_horses_3_warhorse"	"GEM_Farming_4b_Description"	"SHO_Region_Specialty_Horses_3_Warhorse_Breeders"
"GEM_Gov_1_Tadokoro"	"japanese"	"archery_range"	"campaign_gem_silk_1"	nil	"GEM_Gov_1_Description"	"GEM_Tadokoro"
"GEM_Gov_2_Muster_Field"	"japanese"	"archery_range_v2"	"campaign_gem_silk_2"	nil	"GEM_Gov_2b_Description"	"GEM_Muster_Field"
"GEM_Gov_2_Training_Grounds"	"japanese"	"archery_range"	"campaign_gem_silk_2"	nil	"GEM_Gov_2a_Description"	"GEM_Training_Grounds"
"GEM_Gov_3_Barracks"	"japanese"	"archery_range"	"campaign_gem_silk_3"	nil	"GEM_Gov_3a_Description"	"GEM_Barracks"
"GEM_Gov_3_Militia_Hall"	"japanese"	"archery_range"	"campaign_gem_silk_3"	nil	"GEM_Gov_3b_Description"	"GEM_Militia_Hall"
"GEM_Gov_4_Arsenal"	"japanese"	"archery_range"	"campaign_gem_silk_3"	nil	"GEM_Gov_4a_Description"	"GEM_Arsenal"
"GEM_Gov_4_Kondeidokoro"	"japanese"	"archery_range"	"campaign_gem_silk_3"	nil	"GEM_Gov_4b_Description"	"GEM_Kondeidokoro"
"GEM_Infrastructure_1_Trails"	"japanese"	"archery_range"	"campaign_sho_infrastructure_0_trails"	nil	"GEM_Infrastucture_1_Description"	"SHO_Infrastructure_Trails"
"GEM_Infrastructure_2_Roads"	"japanese"	"archery_range"	"campaign_sho_infrastructure_1_roads"	nil	"GEM_Infrastucture_2_Description"	"SHO_Infrastructure_1_Roads"
"GEM_Infrastucture_3_Post_stations"	"japanese"	"archery_range"	"campaign_sho_infrastructure_2_post_stations"	nil	"GEM_Infrastucture_3_Description"	"SHO_Infrastructure_2_Post_Stations"
"GEM_Infrastucture_4_Imperial_Roads"	"japanese"	"archery_range"	"campaign_sho_infrastructure_3_imperial_roads"	nil	"GEM_Infrastucture_4_Description"	"SHO_Infrastructure_3_Imperial_Roads"
"GEM_Intellectual_1_School"	"japanese"	"archery_range"	"campaign_sho_region_specialty_intellectual_centre_1_school"	nil	"GEM_Intellectual_1_Description"	"GEM_School"
"GEM_Intellectual_2_Calligraphy_School"	"japanese"	"archery_range"	"campaign_sho_region_specialty_intellectual_centre_2_library"	nil	"GEM_Intellectual_2_Description"	"GEM_Calligraphy_School"
"GEM_Intellectual_3_Provincial_Academy"	"japanese"	"archery_range"	"campaign_sho_region_specialty_intellectual_centre_3_academy"	nil	"GEM_Intellectual_3_Description"	"GEM_Provincial_Academy"
"GEM_Intellectual_4_Confucian_Academy"	"japanese"	"archery_range"	"campaign_sho_region_specialty_intellectual_centre_3_law_cou"	nil	"GEM_Intellectual_4_Description"	"GEM_Confucian_Academy"
"GEM_Koryu_1_Koryu_Training_Grounds"	"japanese"	"archery_range"	"campaign_sho_yari_1_drill_yard"	nil	"GEM_Koryu_1_Description"	"GEM_Koryu_Training_Grounds"
"GEM_Koryu_2_Koryu_School"	"japanese"	"archery_range"	"campaign_sho_yari_2_naginata_dojo"	nil	"GEM_Koryu_2_Description"	"GEM_Koryu_School"
"GEM_Koryu_3_Koryu_Dojo"	"japanese"	"archery_range"	"campaign_sho_yari_3_master_dojo"	nil	"GEM_Koryu_3_Description"	"GEM_Koryu_Dojo"
