version 1, schema building_level_armed_citizenry_junctions_tables, guid 1b875bd0-4af5-4a98-bea2-9618d375f0df
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(int)	unknown5(string)
"SHO_Castle_5_Citadel"	0	0	2	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	102	0	5	"Inf_Heavy_Onna_Bushi"
"SHO_Castle_5_Citadel"	109	0	2	"Inf_Spear_Yari_Ashigaru_Citizenry"
"bos_foundation_1_town"	1100	0	1	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_2_large_town"	1109	0	1	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_3_city"	1113	0	1	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_3_city"	1118	0	2	"Boshin_Inf_Spear_Levy_Garrison"
"SHO_Castle_5_Citadel"	112	0	3	"Inf_Spear_Yari_Ashigaru_Citizenry"
"bos_foundation_4_municipalty"	1120	0	1	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_4_municipalty"	1122	0	2	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_5_prefecture"	1128	0	1	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_5_prefecture"	1136	0	3	"Boshin_Inf_Spear_Levy_Garrison"
"bos_foundation_5_prefecture"	1142	0	2	"Boshin_Inf_Spear_Levy_Garrison"
"bos_castle_2_stronghold"	1143	0	4	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_3_fortress"	1152	0	4	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_3_fortress"	1158	0	5	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_4_castle"	1160	0	4	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_4_castle"	1161	0	5	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_5_citadel"	1165	0	4	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_5_citadel"	1167	0	5	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"SHO_Castle_5_Citadel"	117	0	2	"Inf_Missile_Bow_Ashigaru_Citizenry"
"bos_castle_5_citadel"	1171	0	6	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_6_star_fort"	1181	0	4	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_6_star_fort"	1183	0	5	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_castle_6_star_fort"	1186	0	6	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_modern_1_muster_field"	1188	0	7	"Boshin_Inf_Garrison_Infantry"
"bos_modern_2_barracks"	1193	0	7	"Boshin_Inf_Garrison_Infantry"
"bos_modern_2_barracks"	1195	0	8	"Boshin_Inf_Garrison_Infantry"
"bos_modern_3_infantry_barracks"	1196	0	7	"Boshin_Inf_Garrison_Infantry"
"bos_modern_3_infantry_barracks"	1197	0	8	"Boshin_Inf_Garrison_Infantry"
"bos_modern_3_infantry_barracks"	1204	0	9	"Boshin_Inf_Garrison_Infantry"
"bos_modern_4_military_academy"	1211	0	7	"Boshin_Inf_Garrison_Infantry"
"bos_modern_4_military_academy"	1219	0	8	"Boshin_Inf_Garrison_Infantry"
"bos_modern_4_military_academy"	1225	0	9	"Boshin_Inf_Garrison_Infantry"
"bos_modern_4_military_academy"	1228	0	10	"Boshin_Inf_Garrison_Infantry"
"bos_traditional_1_traditional_dojo"	1232	0	11	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_2_samurai_dojo"	1239	0	11	"Boshin_Inf_Spear_Levy_Garrison"
"SHO_Castle_5_Citadel"	124	0	4	"Inf_Sword_Samurai_Retainers"
"bos_traditional_2_samurai_dojo"	1249	0	12	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_3_samurai_master_dojo"	1250	0	11	"Boshin_Inf_Spear_Levy_Garrison"
"bos_traditional_3_samurai_master_dojo"	1256	0	12	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_3_samurai_master_dojo"	1257	0	13	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_4_legendary_samurai_master_dojo"	1266	0	11	"Boshin_Inf_Spear_Levy_Garrison"
"bos_traditional_4_legendary_samurai_master_dojo"	1273	0	12	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_4_legendary_samurai_master_dojo"	1274	0	13	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"bos_traditional_4_legendary_samurai_master_dojo"	1279	0	14	"Boshin_Inf_Spear_Levy_Garrison"
"bos_castle_6_star_fort"	1281	0	15	"Boshin_Inf_Militia_Levy_Infantry_Garrison"
"SHO_Castle_5_Citadel"	134	0	3	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_5_Citadel"	143	0	4	"Inf_Sword_Samurai_Retainers"
"SHO_Castle_5_Citadel"	149	0	5	"Inf_Heavy_Onna_Bushi"
"SHO_Castle_5_Citadel"	153	0	4	"Inf_Sword_Samurai_Retainers"
"SHO_Castle_5_Citadel"	156	0	3	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_5_Citadel"	159	0	2	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_3_Fortress"	16	0	2	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Archery_4_Legendary_Dojo"	198	0	5	"Inf_Missile_Bow_Samurai_Dojo"
"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"	207	0	5	"Cav_Spear_Yari_Cavalry_Dojo"
"SHO_Siege_4_Arsenal"	213	0	5	"Inf_Special_Fire_Bomb_Throwers_Dojo"
"SHO_Yari_4_Legendary_School"	220	0	5	"Inf_Spear_Yari_Samurai_Dojo"
"SHO_Sword_4_Legendary_Dojo"	224	0	5	"Inf_Sword_Katana_Samurai_Dojo"
"SHO_Castle_2_Stronghold"	23	0	2	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	233	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	237	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	243	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	252	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	254	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	263	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	269	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	278	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	280	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	287	0	4	"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"
"GEM_Castle_1_Town"	295	0	1	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Castle_2_Stronghold"	299	0	1	"Genpei_Inf_Missile_Bow_Levy_Garrison"
