version 1, schema cai_agent_record_to_cai_agent_type_junctions_tables, guid ddf72977-bdc4-4346-9c96-b6dc371e896a
unknown1(string)	unknown2(string)
"boshin_veteran"	"cai_at_bos_foreign_veteran"
"boshin_geisha"	"cai_at_bos_geisha"
"boshin_ishinshishi"	"cai_at_bos_ishin_shishi"
"boshin_shinobi"	"cai_at_bos_shinobi"
"boshin_shinsengumi"	"cai_at_bos_shinsengumi"
"geisha"	"cai_at_geisha"
"gempei_dancer"	"cai_at_gw_dancer"
"gempei_inspector"	"cai_at_gw_inspector"
"gempei_monk"	"cai_at_gw_monk"
"gempei_spy"	"cai_at_gw_ninja"
"metsuke"	"cai_at_metsuke"
"Protestant_Missionary"	"cai_at_missionary"
"catholic_missionary"	"cai_at_missionary"
"indian_missionary"	"cai_at_missionary"
"middle_east_missionary"	"cai_at_missionary"
"missionary"	"cai_at_missionary"
"orthodox_missionary"	"cai_at_missionary"
"ikko_monk"	"cai_at_monk"
"monk"	"cai_at_monk"
"ninja"	"cai_at_ninja"
