version 2, schema cai_base_building_context_values_tables, guid 5e2fcc8e-6e48-48e6-8041-9072db2d85e1
unknown1(string)	unknown2(float)	unknown3(float)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(float)	unknown8(float)	unknown9(float)
"GEM_Buddhist_1_Buddhist_Sanctuary"	5	1	90	80	1	2	25	100
"GEM_Buddhist_2_Buddhist_Temple"	5	1	85	80	1	3	10	100
"GEM_Buddhist_3_Buddhist_Monastery"	5	1	80	70	1	3	10	100
"GEM_Buddhist_4_Famous_Buddhist_Temple"	5	1	70	60	1	3	10	100
"GEM_Buff_1_Encampment"	5	1	5	115	1	3	25	100
"GEM_Buff_2_Armoury"	5	1	5	80	1	3	10	100
"GEM_Buff_2_Hunting_Lodge"	5	1	5	80	1	3	10	100
"GEM_Buff_2_Proving_Grounds"	5	1	5	80	1	3	10	100
"GEM_Bushi_1_Bushi_Training_Grounds"	5	1	5	115	1	2	25	100
"GEM_Bushi_2_Bushi_School"	5	1	5	85	1	3	10	100
"GEM_Bushi_3_Bushi_Dojo"	5	1	5	80	1	3	10	100
"GEM_Bushi_4_Legendary_Bushi_Dojo"	5	1	5	75	1	3	10	100
"GEM_Castle_1_Town"	100	1	100	100	1	3	10	100
"GEM_Castle_2_Stronghold"	50	1	10	60	1	3	10	100
"GEM_Castle_3_Fort"	50	1	10	60	1	3	10	100
"GEM_Castle_4_Castle"	50	1	10	60	1	3	10	100
"GEM_Clan_1_Shinden"	95	1	40	75	1	3	25	100
"GEM_Clan_2_Mandokoro"	75	1	30	45	1	3	10	100
"GEM_Clan_3_Province_Magistrate"	70	1	30	45	1	3	10	100
"GEM_Clan_4_Fujiwara_Palace"	65	1	30	45	1	3	10	100
"GEM_Clan_4_Minamoto_Palace"	65	1	30	45	1	3	10	100
"GEM_Clan_4_Taira_Palace"	65	1	30	45	1	3	10	100
"GEM_Economy_1_Barter"	125	1	65	55	1	3	15	100
"GEM_Economy_2_Food_Stores"	30	1	65	40	1	3	10	100
"GEM_Economy_2_Market"	150	1	65	75	1	3	10	100
"GEM_Economy_3_Goods_Exchange"	120	1	65	55	1	3	10	100
"GEM_Economy_3_Granary"	80	1	65	55	1	3	10	100
"GEM_Economy_4_Grain_Warehouse"	80	1	65	55	1	3	10	100
"GEM_Economy_4_Merchant_Guild"	120	1	65	55	1	3	10	100
"GEM_Farming_1_Fields"	90	1	10	10	1	3	10	100
"GEM_Farming_2_Dry_Field_Agriculture"	90	1	10	15	1	3	10	100
"GEM_Farming_2_Pastures"	20	1	10	75	1	3	10	100
"GEM_Farming_3_Horse_Breeders"	20	1	10	80	1	3	10	100
"GEM_Farming_3_Rice_Paddies"	90	1	10	10	1	3	10	100
"GEM_Farming_4_Improved_Irrigation"	90	1	10	10	1	3	10	100
"GEM_Farming_4_Warhorse_Studs"	20	1	10	80	1	3	10	100
"GEM_Gov_1_Tadokoro"	100	1	100	100	1	3	10	100
"GEM_Gov_2_Muster_Field"	90	1	90	45	1	3	10	100
"GEM_Gov_2_Training_Grounds"	20	1	50	90	1	3	10	100
"GEM_Gov_3_Barracks"	20	1	50	90	1	3	10	100
"GEM_Gov_3_Militia_Hall"	90	1	90	20	1	3	10	100
"GEM_Gov_4_Arsenal"	20	1	50	90	1	3	10	100
"GEM_Gov_4_Kondeidokoro"	90	1	90	20	1	3	10	100
"GEM_Infrastructure_1_Trails"	100	1	100	100	1	3	10	100
"GEM_Infrastructure_2_Roads"	60	1	5	75	1	3	10	100
"GEM_Infrastucture_3_Post_stations"	60	1	5	75	1	3	10	100
"GEM_Infrastucture_4_Imperial_Roads"	60	1	5	75	1	3	10	100
"GEM_Intellectual_1_School"	90	1	90	90	1	3	20	100
"GEM_Intellectual_2_Calligraphy_School"	50	1	50	50	1	3	10	100
"GEM_Intellectual_3_Provincial_Academy"	50	1	50	50	1	3	10	100
"GEM_Intellectual_4_Confucian_Academy"	50	1	50	50	1	3	10	100
"GEM_Koryu_1_Koryu_Training_Grounds"	5	1	5	113	1	2	25	100
"GEM_Koryu_2_Koryu_School"	5	1	5	85	1	3	10	100
"GEM_Koryu_3_Koryu_Dojo"	5	1	5	80	1	3	10	100
"GEM_Koryu_4_Legendary_Koryu_Dojo"	5	1	5	75	1	3	10	100
"GEM_Port_1_Coastal_Village"	100	1	100	100	1	3	10	100
"GEM_Port_2_Harbour"	75	1	5	60	1	3	10	100
"GEM_Port_2_Military_Port"	60	1	5	85	1	3	10	100
"GEM_Port_3_Drydock"	60	1	5	80	1	3	10	100
"GEM_Port_3_Trading_Port"	80	1	5	60	1	3	10	100
"GEM_Region_Specialty_Craftwork_1_Artisans"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Craftwork_2_Fletcher"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Gold_Mining_1_Placer_Gold_Min"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Gold_Mining_2_Gold_Lodes"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Gold_Mining_3_Gold_Mine"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	5	1	5	70	1	3	10	100
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	5	1	5	70	1	3	10	100
