version 1, schema cai_personalities_budget_allocation_policy_junctions_tables, guid f08e7c3b-8e44-4298-a582-0b21a99def15
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(int)
"bos_agent_m"	"cai_pbct_mobilisation"	"bos_budget_agent"	2
"bos_agent_p"	"cai_pbct_peace"	"bos_budget_agent"	3
"bos_agent_w"	"cai_pbct_war"	"bos_budget_agent"	1
"bos_balanced_m"	"cai_pbct_mobilisation"	"bos_budget_balanced"	2
"bos_balanced_p"	"cai_pbct_peace"	"bos_budget_balanced"	3
"bos_balanced_w"	"cai_pbct_war"	"bos_budget_balanced"	1
"bos_diplomat_m"	"cai_pbct_mobilisation"	"bos_budget_diplomat"	2
"bos_diplomat_p"	"cai_pbct_peace"	"bos_budget_diplomat"	3
"bos_diplomat_w"	"cai_pbct_war"	"bos_budget_diplomat"	1
"bos_european"	"cai_pbct_mobilisation"	"bos_budget_european"	2
"bos_european"	"cai_pbct_peace"	"bos_budget_european"	3
"bos_european"	"cai_pbct_war"	"bos_budget_european"	1
"bos_militaristic_m"	"cai_pbct_mobilisation"	"bos_budget_militaristic"	2
"bos_militaristic_p"	"cai_pbct_peace"	"bos_budget_militaristic"	3
"bos_militaristic_w"	"cai_pbct_war"	"bos_budget_militaristic"	1
"bos_peaceful_m"	"cai_pbct_mobilisation"	"bos_budget_peaceful"	3
"bos_peaceful_p"	"cai_pbct_peace"	"bos_budget_peaceful"	2
"bos_peaceful_w"	"cai_pbct_war"	"bos_budget_peaceful"	1
"bos_sailor_m"	"cai_pbct_mobilisation"	"bos_budget_sailor"	2
"bos_sailor_p"	"cai_pbct_peace"	"bos_budget_sailor"	3
"bos_sailor_w"	"cai_pbct_war"	"bos_budget_sailor"	1
"anarchist_mobilization"	"cai_pbct_mobilisation"	"budget_anarchist"	2
"anarchist_peace"	"cai_pbct_peace"	"budget_anarchist"	1
"anarchist_war"	"cai_pbct_war"	"budget_anarchist"	3
"pacifist_mobilization"	"cai_pbct_mobilisation"	"budget_pacifist"	1
"pacifist_peace"	"cai_pbct_peace"	"budget_pacifist"	2
"pacifist_war"	"cai_pbct_war"	"budget_pacifist"	3
"pirate_mobilization"	"cai_pbct_mobilisation"	"budget_pirate"	2
"pirate_peace"	"cai_pbct_peace"	"budget_pirate"	1
"pirate_war"	"cai_pbct_war"	"budget_pirate"	3
"religious_mobilization"	"cai_pbct_mobilisation"	"budget_religious"	2
"religious_peace"	"cai_pbct_peace"	"budget_religious"	1
"religious_war"	"cai_pbct_war"	"budget_religious"	3
"wakko_and_nanban"	"cai_pbct_mobilisation"	"budget_wako_and_nanban"	2
"wakko_and_nanban"	"cai_pbct_peace"	"budget_wako_and_nanban"	1
"wakko_and_nanban"	"cai_pbct_war"	"budget_wako_and_nanban"	3
"default"	"cai_pbct_mobilisation"	"default"	2
"default"	"cai_pbct_peace"	"default"	1
"default"	"cai_pbct_war"	"default"	3
