version 1, schema cai_personalities_budget_policies_tables, guid 94591bd8-1b80-4a30-bbea-455b3a6caeab
unknown1(string)	unknown2(string)
"bos_agent_p"	"bos_budget_agent"
"bos_balanced_p"	"bos_budget_balanced"
"bos_diplomat_p"	"bos_budget_diplomat"
"bos_european"	"bos_budget_european"
"bos_militaristic_m"	"bos_budget_militaristic"
"bos_peaceful_p"	"bos_budget_peaceful"
"bos_sailor_p"	"bos_budget_sailor"
"anarchist_mobilization"	"budget_anarchist"
"brute"	"budget_brute"
"pacifist_peace"	"budget_pacifist"
"pirate_peace"	"budget_pirate"
"religious_peace"	"budget_religious"
"wakko_and_nanban"	"budget_wako_and_nanban"
"default"	"default"
