version 1, schema campaign_ai_manager_behaviour_junctions_tables, guid 6fdb0b60-535c-4194-81ea-304807f1dcec
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"EMPTY"	"DIPLOMACY_MANAGER"	0
"EMPTY"	"WAR_AND_PEACE"	1000
"sho_ashikaga"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
"sho_ashikaga"	"DIPLOMACY_MANAGER"	0
"sho_ashikaga"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"sho_ashikaga"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"sho_ashikaga"	"MANAGE_AGENTS_BEHAVIOUR"	5000
"sho_ashikaga"	"MARRIAGE_BEHAVIOUR"	1000
"sho_ashikaga"	"MERGE_UNITS"	5000
"sho_ashikaga"	"MINIMUM_SAVING"	200
"sho_ashikaga"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_ashikaga"	"RECALL_BEHAVIOUR"	500
"sho_ashikaga"	"RECRUIT_AGENTS_BEHAVIOUR"	5000
"sho_ashikaga"	"REGIONAL_DEVELOPMENT"	500
"sho_ashikaga"	"REGION_DEFENCE"	2000
"sho_ashikaga"	"RESEARCH_TECHNOLOGY"	500
"sho_ashikaga"	"TAXATION"	50
"sho_ashikaga"	"TRADE_BEHAVIOUR"	500
"sho_ashikaga"	"WAR_AND_PEACE"	1000
"sho_major"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
"sho_major"	"CULL_EXCESS_FORCES"	250
"sho_major"	"DIPLOMACY_MANAGER"	0
"sho_major"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"sho_major"	"EXPANSION_BEHAVIOUR"	3000
"sho_major"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"sho_major"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"sho_major"	"HELP_ALLY_AT_WAR"	500
"sho_major"	"MANAGE_AGENTS_BEHAVIOUR"	5000
"sho_major"	"MARRIAGE_BEHAVIOUR"	1000
"sho_major"	"MERGE_UNITS"	5000
"sho_major"	"MINIMUM_SAVING"	200
"sho_major"	"NAVY_ATTACK_BEHAVIOUR"	2000
"sho_major"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_major"	"NAVY_BOMBARD_BEHAVIOUR"	1500
"sho_major"	"NAVY_DISTRIBUTION"	1250
"sho_major"	"NAVY_RECRUITMENT"	1250
"sho_major"	"NAVY_REPAIR"	900
"sho_major"	"NAVY_STRENGTH_MANAGER"	1750
"sho_major"	"NAVY_TASK_MANAGER"	5000
"sho_major"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"sho_major"	"RAID_BEHAVIOUR"	1000
"sho_major"	"RECALL_BEHAVIOUR"	500
"sho_major"	"RECAPTURE_BEHAVIOUR"	1000
"sho_major"	"RECRUIT_AGENTS_BEHAVIOUR"	5000
"sho_major"	"REGIONAL_DEVELOPMENT"	500
"sho_major"	"REGION_COAST_DEFENCE"	500
"sho_major"	"REGION_DEFENCE"	2000
"sho_major"	"REGION_GROUP_DEFENCE"	1500
"sho_major"	"RESEARCH_TECHNOLOGY"	500
"sho_major"	"TAXATION"	50
"sho_major"	"TRADE_AREA_BEHAVIOUR"	1500
"sho_major"	"TRADE_BEHAVIOUR"	500
"sho_major"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"sho_major"	"UBER_GENERAL_BEHAVIOUR"	4000
"sho_major"	"WAR_AND_PEACE"	1000
"sho_minor"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
"sho_minor"	"CULL_EXCESS_FORCES"	250
"sho_minor"	"DIPLOMACY_MANAGER"	0
"sho_minor"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"sho_minor"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"sho_minor"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"sho_minor"	"HELP_ALLY_AT_WAR"	500
"sho_minor"	"MANAGE_AGENTS_BEHAVIOUR"	5000
"sho_minor"	"MARRIAGE_BEHAVIOUR"	1000
"sho_minor"	"MERGE_UNITS"	5000
"sho_minor"	"MINIMUM_SAVING"	200
"sho_minor"	"NAVY_ATTACK_BEHAVIOUR"	2000
"sho_minor"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_minor"	"NAVY_BOMBARD_BEHAVIOUR"	1500
"sho_minor"	"NAVY_DISTRIBUTION"	1250
"sho_minor"	"NAVY_RECRUITMENT"	1250
"sho_minor"	"NAVY_REPAIR"	900
"sho_minor"	"NAVY_STRENGTH_MANAGER"	1750
"sho_minor"	"NAVY_TASK_MANAGER"	5000
"sho_minor"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"sho_minor"	"RAID_BEHAVIOUR"	1000
"sho_minor"	"RECALL_BEHAVIOUR"	500
"sho_minor"	"RECAPTURE_BEHAVIOUR"	1000
"sho_minor"	"RECRUIT_AGENTS_BEHAVIOUR"	5000
"sho_minor"	"REGIONAL_DEVELOPMENT"	500
"sho_minor"	"REGION_COAST_DEFENCE"	500
"sho_minor"	"REGION_DEFENCE"	2000
"sho_minor"	"REGION_GROUP_DEFENCE"	1500
"sho_minor"	"RESEARCH_TECHNOLOGY"	500
"sho_minor"	"TAXATION"	50
"sho_minor"	"TRADE_AREA_BEHAVIOUR"	1500
"sho_minor"	"TRADE_BEHAVIOUR"	500
"sho_minor"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"sho_minor"	"WAR_AND_PEACE"	1000
"sho_minor_full"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
