version 1, schema campaign_character_anim_walk_anim_junctions_tables, guid 73e4e27b-2958-446b-997a-14ad7c5c88cf
id(string)	Character1(string)	Character2(string)	Animation_IDRef(string)
"2078396208"	"general"	"general"	"battle_attacker"
"2078396215"	"general"	"general"	"battle_defender"
"2078396231"	"general"	"general"	"attack_trade"
"2078396234"	"geisha"	"geisha"	"normal_out_of_ap"
"2078396236"	"metsuke"	"metsuke"	"normal_out_of_ap"
"2078396243"	"monk"	"monk"	"normal_out_of_ap"
"2078396247"	"ninja"	"ninja"	"normal_out_of_ap"
"2078396248"	"missionary"	"missionary"	"normal_out_of_ap"
"2078396255"	"ninja"	"ninja"	"normal"
"2078396263"	"monk"	"monk"	"normal"
"2078396265"	"metsuke"	"metsuke"	"normal"
"2078396268"	"geisha"	"geisha"	"normal"
"2078396272"	"general"	"general"	"siege"
"2078396273"	"general"	"general"	"normal"
"2078396279"	"missionary"	"missionary"	"normal"
"2078396287"	"default_ship"	"default_ship"	"normal"
"2078396291"	"default_ship"	"default_ship"	"attack_trade"
"2078396292"	"default_ship"	"default_ship"	"siege"
"2078396298"	"general"	"general"	"normal_out_of_ap"
"2078396307"	"general"	"general"	"stealthy"
"2078396317"	"default_ship"	"default_ship"	"normal_out_of_ap"
"2078396321"	"general"	"general"	"damaged"
"2078396329"	"general"	"general"	"damaged_out_of_ap"
"2078396333"	"boshin_veteran"	"veteran"	"normal"
"2078396337"	"boshin_veteran"	"veteran"	"normal_out_of_ap"
