version 1, schema campaign_variables_tables, guid 24962825-9cb8-46a4-ac61-250acc600b1e
Variable(string)	Value(float)
"agents_per_tech_cap"	3
"annexed_territory_multiplier_on_realm_divide"	1
"artillery_capture_chance"	10
"artillery_support_arrival_window_base"	5
"artillery_support_arrival_window_max"	24
"artillery_support_cooldown_base"	180
"artillery_support_cooldown_min"	60
"artillery_support_damage_base"	10
"artillery_support_damage_max"	50
"artillery_support_impact_time_base"	10
"artillery_support_impact_time_min"	4
"artillery_support_radius_base"	45
"artillery_support_radius_min"	30
"artillery_support_shells_base"	4
"artillery_support_shells_max"	48
"artillery_support_uses_base"	2
"artillery_support_uses_max"	5
"autoresolve_advantage_over_enemy_wipeout_threshold"	0.6
"autoresolve_alliance_additional_damage_chance"	0.75
"autoresolve_alliance_max_performance"	0.5
"autoresolve_alliance_min_performance"	0.2
"autoresolve_alliance_performance_gaussian_range"	3
"autoresolve_alliance_performance_gaussian_sd"	1
"autoresolve_alliance_star_performance_modifier"	0.06
"autoresolve_alliance_wipe_out_win_percentage"	0.1
"autoresolve_base_best_ship_kills_to_capture"	0.3
"autoresolve_base_chance_a_unit_takes_captives"	0.5
"autoresolve_base_ratio_of_captives"	0.3
"autoresolve_base_ratio_of_captives_modifier"	0.5
"autoresolve_bos_art_missile_multiplier"	0.5
"autoresolve_bos_artillery_damage_multiplier"	1
"autoresolve_bos_coastal_defence_damage_multiplier"	1
"autoresolve_bos_gatling_missile_multiplier"	0.3
"autoresolve_bos_land_missile_multiplier"	2.5
"autoresolve_bos_land_missile_sett_def_multiplier"	2
"autoresolve_bos_naval_ranged_turns"	5
"autoresolve_bos_unit_land_max_total_potential"	3000
"autoresolve_bos_unit_naval_crew_missile_multiplier"	1
"autoresolve_bos_unit_naval_hull_missile_multiplier"	1
"autoresolve_bos_unit_naval_missile_multiplier"	1
"autoresolve_chance_of_not_capturing_ship"	0.4
"autoresolve_chance_of_taking_captives"	0.05
"autoresolve_commander_star_rating_impact"	0.06
"autoresolve_easy_campaign_AI_percent_reduction"	0.05
"autoresolve_easy_difficulty_human_advantage"	0.1
"autoresolve_gaussian_boundary"	3
"autoresolve_gaussian_standard_deviation"	1
"autoresolve_hard_campaign_AI_percent_increase"	0.2
"autoresolve_hard_difficulty_AI_advantage"	0.08
"autoresolve_major_land_victory_percent"	0.1
"autoresolve_major_naval_victory_lose_percent"	0.4
"autoresolve_major_naval_victory_win_percent"	0.18
"autoresolve_min_combat_potential_only_win_chance"	0.5
"autoresolve_minimum_casualties_on_lose"	0.55
"autoresolve_minimum_casualties_on_win"	0.15
"autoresolve_minimum_win_chance_to_win"	0.225
"autoresolve_minor_land_victory_percent"	0.1
"autoresolve_minor_naval_victory_lose_percent"	0
"autoresolve_minor_naval_victory_win_percent"	0.14
"autoresolve_naval_capture_roll"	0.5
"autoresolve_naval_chasing_speed_multiplier"	1
"autoresolve_normal_naval_victory_lose_percent"	0.2
"autoresolve_normal_naval_victory_win_percent"	0.16
"autoresolve_relative_captives_fuzziness"	0.1
"autoresolve_ship_damage_capture_multiplier"	0.35
"autoresolve_ship_damage_fuzziness"	0.3
"autoresolve_ship_damage_required_for_sink"	0.875
"autoresolve_stat_massacre_chance"	0.2
"autoresolve_unit_ambush_combat_multiplier"	1.5
"autoresolve_unit_land_base_rout_point"	0.3
"autoresolve_unit_land_hero_melee_multiplier"	1
"autoresolve_unit_land_hero_missile_multiplier"	1
"autoresolve_unit_land_max_ranged_turns"	10
"autoresolve_unit_land_missile_multiplier"	1
"autoresolve_unit_land_ranged_casualty_reduction"	0.5
"autoresolve_unit_land_ranged_turns_multiplier"	1
"autoresolve_unit_losses_fuzziness"	0.1
"autoresolve_unit_naval_crew_missile_multiplier"	2
"autoresolve_unit_naval_hull_missile_multiplier"	2
"autoresolve_unit_naval_missile_multiplier"	3
"autoresolve_unit_naval_surrender_threshold"	0.1
"autoresolve_unit_performance_gaussian_range"	3
"autoresolve_unit_performance_gaussian_sd"	1
"autoresolve_unit_protect_faction_leader"	0.5
"autoresolve_unit_protect_lose"	0.85
"autoresolve_unit_protect_major_win"	0.4
"autoresolve_unit_protect_win"	0.6
"autoresolve_unit_wipe_out_threshold"	0.2
"autoresolve_unlikely_naval_result_scaling_factor"	0.3
"autoresolve_very_hard_campaign_AI_percent_increase"	0.35
"autoresolve_very_hard_difficulty_AI_advantage"	0.2
"background_resource_supply"	20000
"base_wealth_increase"	1000
"baseline_pop_growth"	0.3
"bombardment_campaign_base_chance"	0.1
"bombardment_campaign_base_damage"	0.02
"bombardment_campaign_chance_per_ability_point"	0.015
"bombardment_campaign_chance_per_experience_level"	0.02
"bombardment_campaign_damage_per_ability_point"	0.01
"bombardment_campaign_damage_per_experience_level"	0.01
"bombardment_experience_gain"	100
"bombardment_radius"	8
"cai_cnstr_priority_over_cost_modification"	0.1
"cai_finance_const_bias_easy_level"	4
"cai_finance_const_bias_easy_turns"	12
"cai_finance_const_bias_hard_level"	2
"cai_finance_const_bias_hard_turns"	4
"cai_finance_const_bias_legendary_level"	1
"cai_finance_const_bias_legendary_turns"	0
"cai_finance_const_bias_normal_level"	4
"cai_finance_const_bias_normal_turns"	8
"cai_finance_const_bias_very_hard_level"	1
"cai_finance_const_bias_very_hard_turns"	0
"cai_food_ctrl_building_apply_bonus_at_or_below"	1
"cai_food_ctrl_building_apply_penalty_below"	2
"cai_food_ctrl_building_bonus"	60
"cai_food_ctrl_building_penalty"	30
"cai_rfb_easy_no_below_min_units"	5
"cai_rfb_easy_yes_below_ratio_no_sett_retreat"	0.3
"cai_rfb_easy_yes_below_ratio_sett_retreat"	0.55
"cai_rfb_hard_no_below_min_units"	2
"cai_rfb_hard_yes_below_ratio_no_sett_retreat"	0.5
"cai_rfb_hard_yes_below_ratio_sett_retreat"	0.75
"cai_rfb_normal_no_below_min_units"	4
"cai_rfb_normal_yes_below_ratio_no_sett_retreat"	0.4
"cai_rfb_normal_yes_below_ratio_sett_retreat"	0.65
"cai_rfb_test_versus_ai"	1
"cai_rfb_vhard_no_below_min_units"	0
"cai_rfb_vhard_yes_below_ratio_no_sett_retreat"	0.6
"cai_rfb_vhard_yes_below_ratio_sett_retreat"	0.8
"captured_required_region_prestige_multiplier"	1
"cdir_unit_quality_accuracy_value"	100
"cdir_unit_quality_armour_value"	100
"cdir_unit_quality_charge_value"	100
"cdir_unit_quality_experience_value"	50
"cdir_unit_quality_morale_value"	100
"cdir_unit_quality_weapons_value"	100
"character_recruitment_base_cost"	400
"character_recruitment_cost_per_command_star"	300
"character_recruitment_max_distance"	1000
"character_recruitment_pool_cap"	3
"character_recruitment_pool_refill_rate_admiral_0"	4
"character_recruitment_pool_refill_rate_admiral_1"	3
"character_recruitment_pool_refill_rate_admiral_2"	2
"character_recruitment_pool_refill_rate_general_0"	4
"character_recruitment_pool_refill_rate_general_1"	3
"character_recruitment_pool_refill_rate_general_2"	2
"character_research_points_cap"	12
"daimyo_honour_effect_acquired_vassal_clan"	1
"daimyo_honour_effect_assassination_attempt"	0
"daimyo_honour_effect_becoming_christian"	-2
"daimyo_honour_effect_being_christian"	-1
"daimyo_honour_effect_crushing_defeat"	-1
"daimyo_honour_effect_dishonouring_alliance"	-1
"daimyo_honour_effect_eradicated_clan"	1
"daimyo_honour_effect_heroic_victory"	1
"daimyo_honour_effect_looting_city"	-1
"daimyo_honour_effect_threatening_with_empty_words"	-1
"display_ambient_village_level_0_round_threshold"	10
"display_ambient_village_level_1_round_threshold"	35
"display_ambient_village_level_2_round_threshold"	90
"display_ambient_village_level_3_round_threshold"	140
"display_ambient_village_update_chance"	0.3
"display_bombard_angle_offset"	0.4
"display_bombard_cannon_fire_offset"	1500
"display_bombard_character_impact_height"	0.4
"display_bombard_garrison_impact_height"	0.2
"display_bombard_projectile_speed"	5
"display_bombard_target_offset"	0.1
"display_coastal_def_cannon_chance_to_hit"	0.15
"display_coastal_def_cannon_chance_to_splash"	0.3
"display_coastal_def_cannon_reload_time"	5
"display_coastal_def_max_building_fire_offset"	2
"display_coastal_def_max_cannon_fire_offset"	3
"display_coastal_def_splash_delay_after_cannon"	0.3
"display_coastal_def_splash_max_distance_from_ship"	1.5
"display_coastal_def_splash_min_distance_from_ship"	0.8
"display_trade_route_fade_time"	5000
"display_trade_route_maximum_flow_scale"	0.65
"display_trade_route_maximum_flow_time"	10000
"display_trade_route_maximum_flow_value"	10000
"display_trade_route_minimum_flow_scale"	0.65
"display_trade_route_minimum_flow_time"	25000
"display_trade_route_minimum_flow_value"	50
"display_trade_route_sea_cost"	0.5
"display_trade_route_trader_offset"	0.1
"display_trade_route_trader_speed"	0.5
"faction_gdp_other"	1200
"faction_gdp_other_minor"	800
"faction_leader_management_level_0_to_value"	0
"faction_leader_management_level_1_to_value"	0
"faction_leader_management_level_2_to_value"	0
"faction_leader_management_level_3_to_value"	0
"faction_leader_management_level_4_to_value"	0
"faction_leader_management_level_5_to_value"	0
"faction_leader_management_level_6_to_value"	0
"faction_leader_management_level_7_to_value"	0
"faction_leader_management_level_8_to_value"	0
"faction_leader_management_level_9_to_value"	0
"faction_leader_management_value_mod_abs_monarchy"	1
"faction_leader_management_value_mod_cons_monarchy"	0.66
"faction_leader_management_value_mod_republic"	0.33
"family_age_of_adulthood"	14
"family_age_of_guaranteed_adulthood"	22
