version 1, schema cdir_configs_tables, guid 49c1592a-7e89-4f7e-98e1-2ddf6433ebf3
unknown1(string)	unknown2(boolean)	unknown3(string)	unknown4(string)	unknown5(boolean)	unknown6(string)
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_LOSER"	true	"0.5"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_WINNER"	true	"-0.5"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_WINNER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_LOSER"	true	"0.5"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_WINNER"	true	"-0.5"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_WINNER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_LOSER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_WINNER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_LOSER"	true	"-0.1"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_WINNER"	true	"0.1"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_WINNER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_WINNER"	true	"-0.25"
