version 1, schema cdir_desire_priorities_tables, guid 1604ae27-4089-4595-ad89-a7805ddf194a
unknown1(string)	unknown2(string)	unknown3(int)
"jap_boshin"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS"	7000
"jap_boshin"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS_AT_WAR"	9000
"jap_boshin"	"CDIR_DESIRE_EVENT_GENERATOR"	1000
"jap_boshin"	"CDIR_DESIRE_FORCE_MINIMUM_UNIT_BALANCE_REQUIREMENTS_ARMY"	8000
"jap_boshin"	"CDIR_DESIRE_REPLENISH_UNITS_ARMY"	3000
"jap_boshin"	"CDIR_DESIRE_UNIT_BALANCER_ARMY"	6000
"jap_boshin"	"CDIR_DESIRE_UNIT_UPGRADER_ARMY"	5000
"jap_boshin"	"CDIR_DESIRE_UNIT_XP_UPGRADER_ARMY"	4000
"jap_boshin"	"CDIR_DESIRE_UNIT_XP_UPGRADER_NAVY"	4000
"jap_gempei"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS"	7000
"jap_gempei"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS_AT_WAR"	9000
"jap_gempei"	"CDIR_DESIRE_EVENT_GENERATOR"	1000
"jap_gempei"	"CDIR_DESIRE_FORCE_MINIMUM_UNIT_BALANCE_REQUIREMENTS_ARMY"	8000
"jap_gempei"	"CDIR_DESIRE_REPLENISH_UNITS_ARMY"	3000
"jap_gempei"	"CDIR_DESIRE_UNIT_BALANCER_ARMY"	6000
"jap_gempei"	"CDIR_DESIRE_UNIT_UPGRADER_ARMY"	5000
"jap_gempei"	"CDIR_DESIRE_UNIT_XP_UPGRADER_ARMY"	4000
"jap_gempei"	"CDIR_DESIRE_UNIT_XP_UPGRADER_NAVY"	4000
"jap_shogun"	"CDIR_DESIRE_ASHIKAGA_UNIT_SPAWNER"	4000
"jap_shogun"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS"	7000
"jap_shogun"	"CDIR_DESIRE_BOOST_PLAYER_RIVALS_AT_WAR"	9000
"jap_shogun"	"CDIR_DESIRE_EVENT_GENERATOR"	1000
"jap_shogun"	"CDIR_DESIRE_FORCE_MINIMUM_UNIT_BALANCE_REQUIREMENTS_ARMY"	8000
"jap_shogun"	"CDIR_DESIRE_REPLENISH_UNITS_ARMY"	3000
"jap_shogun"	"CDIR_DESIRE_UNIT_BALANCER_ARMY"	6000
"jap_shogun"	"CDIR_DESIRE_UNIT_UPGRADER_ARMY"	5000
"jap_shogun"	"CDIR_DESIRE_UNIT_XP_UPGRADER_ARMY"	4000
"jap_shogun"	"CDIR_DESIRE_UNIT_XP_UPGRADER_NAVY"	4000
"tut_shogun"	"CDIR_DESIRE_EVENT_GENERATOR"	1000
"tut_shogun"	"CDIR_DESIRE_FORCE_MINIMUM_UNIT_BALANCE_REQUIREMENTS_ARMY"	11000
"tut_shogun"	"CDIR_DESIRE_REPLENISH_UNITS_ARMY"	3000
"tut_shogun"	"CDIR_DESIRE_UNIT_BALANCER_ARMY"	9000
"tut_shogun"	"CDIR_DESIRE_UNIT_UPGRADER_ARMY"	7000
"tut_shogun"	"CDIR_DESIRE_UNIT_XP_UPGRADER_NAVY"	4000
