version 1, schema cdir_events_dilemma_incidents_tables, guid f555fb0c-6b5e-4bdf-bdf0-51254c011ef3
unknown1(string)	unknown2(string)	unknown3(string)
"FIRST"	"d_ambitious_traders"	"c_ambitious_traders_FIRST_able_sailors"
"FIRST"	"d_ambitious_traders"	"c_ambitious_traders_FIRST_lucrative_shipping"
"SECOND"	"d_ambitious_traders"	"c_ambitious_traders_SECOND_prosperity"
"SECOND"	"d_ambitious_traders"	"c_ambitious_traders_SECOND_thriving_markets"
"FIRST"	"d_auxiliary_supplies"	"c_auxiliary_supplies_FIRST_call_to_arms"
"SECOND"	"d_auxiliary_supplies"	"c_auxiliary_supplies_SECOND_master_smithies"
"SECOND"	"d_auxiliary_supplies"	"c_auxiliary_supplies_SECOND_merchant_discontent"
"FIRST"	"d_better_agent_metsuke"	"c_better_agent_metsuke_FIRST_shogunal_deputy"
"FIRST"	"d_better_agent_missionary"	"c_better_agent_missionary_FIRST_nanban_ambassador"
"FIRST"	"d_bos_emperor_foreign_medic"	"c_bos_emperor_foreign_medic_FIRST_foreign_boost"
"FIRST"	"d_bos_emperor_foreign_medic"	"c_bos_emperor_foreign_medic_FIRST_sonno_joi"
"SECOND"	"d_bos_emperor_ronin"	"c_bos_ronin_SECOND_ronin_marauders"
"FIRST"	"d_bos_gaijin_trouble"	"c_bos_gaijin_trouble_FIRST_foreign_setback"
"SECOND"	"d_bos_gaijin_trouble"	"c_bos_gaijin_trouble_SECOND_anti_western_riots"
"SECOND"	"d_bos_gaijin_trouble"	"c_bos_gaijin_trouble_SECOND_foreign_boost"
"FIRST"	"d_bos_icarus_affair"	"c_bos_icarus_affair_FIRST_anti_western_riots"
"FIRST"	"d_bos_icarus_affair"	"c_bos_icarus_affair_FIRST_disaffected_populace"
"FIRST"	"d_bos_icarus_affair"	"c_bos_icarus_affair_FIRST_foreign_boost"
"FIRST"	"d_bos_icarus_affair"	"c_bos_icarus_affair_FIRST_grant_royal_marines"
"SECOND"	"d_bos_icarus_affair"	"c_bos_icarus_affair_SECOND_foreign_setback"
"SECOND"	"d_bos_icarus_affair"	"c_bos_icarus_affair_SECOND_inspired_endeavours"
"FIRST"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_FIRST_inspired_endeavours"
"FIRST"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_FIRST_peer_respect"
"FIRST"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_FIRST_rebellion"
"FIRST"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_FIRST_samurai_discontent"
"SECOND"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_SECOND_criminal_contacts"
"SECOND"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_SECOND_peer_respect"
"SECOND"	"d_bos_koyosha_modern"	"c_bos_koyosha_modern_SECOND_samurai_satisfaction"
"FIRST"	"d_bos_koyosha_western"	"c_bos_koyosha_western_FIRST_foreign_boost"
"FIRST"	"d_bos_koyosha_western"	"c_bos_koyosha_western_FIRST_peer_respect"
"FIRST"	"d_bos_koyosha_western"	"c_bos_koyosha_western_FIRST_rebellion"
"FIRST"	"d_bos_koyosha_western"	"c_bos_koyosha_western_FIRST_samurai_discontent"
"SECOND"	"d_bos_koyosha_western"	"c_bos_koyosha_western_SECOND_criminal_contacts"
"SECOND"	"d_bos_koyosha_western"	"c_bos_koyosha_western_SECOND_peer_respect"
"SECOND"	"d_bos_koyosha_western"	"c_bos_koyosha_western_SECOND_samurai_satisfaction"
"FIRST"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_FIRST_foreign_boost"
"FIRST"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_FIRST_peer_contempt"
"SECOND"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_SECOND_chinese_gratitude"
"SECOND"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_SECOND_foreign_setback"
"SECOND"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_SECOND_inspired_endeavours"
"SECOND"	"d_bos_nanban_slavers"	"c_bos_nanban_slavers_SECOND_peer_respect"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_breakthrough_civil_eng"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_breakthrough_industrial_sci"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_breakthrough_medical_sci"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_breakthrough_military_eng"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_foreign_boost"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_peer_contempt"
"FIRST"	"d_bos_rangaku"	"c_bos_rangaku_FIRST_samurai_discontent"
"SECOND"	"d_bos_rangaku"	"c_bos_rangaku_SECOND_foreign_setback"
"SECOND"	"d_bos_rangaku"	"c_bos_rangaku_SECOND_peer_respect"
"SECOND"	"d_bos_rangaku"	"c_bos_rangaku_SECOND_samurai_satisfaction"
"FIRST"	"d_bos_sakai_incident"	"c_bos_sakai_incident_FIRST_anti_western_riots"
"FIRST"	"d_bos_sakai_incident"	"c_bos_sakai_incident_FIRST_disaffected_populace"
"FIRST"	"d_bos_sakai_incident"	"c_bos_sakai_incident_FIRST_foreign_boost"
"FIRST"	"d_bos_sakai_incident"	"c_bos_sakai_incident_FIRST_french_reconcilliation"
"FIRST"	"d_bos_sakai_incident"	"c_bos_sakai_incident_FIRST_grant_french_marines"
"SECOND"	"d_bos_sakai_incident"	"c_bos_sakai_incident_SECOND_foreign_setback"
"SECOND"	"d_bos_sakai_incident"	"c_bos_sakai_incident_SECOND_inspired_endeavours"
"FIRST"	"d_bos_sensosai"	"c_bos_sensosai_FIRST_inspired_endeavours"
"FIRST"	"d_bos_shogun_province_security"	"c_bos_shogun_province_security_FIRST_grant_shinsengumi"
"FIRST"	"d_bos_shogun_province_security"	"c_bos_shogun_province_security_FIRST_grateful_populace"
"FIRST"	"d_bos_shogun_province_security"	"c_bos_shogun_province_security_FIRST_iron_fist"
"SECOND"	"d_bos_shogun_province_security"	"c_bos_shogun_province_security_SECOND_imperial_propaganda"
"SECOND"	"d_bos_shogun_province_security"	"c_bos_shogun_province_security_SECOND_rebellion"
"SECOND"	"d_bos_shogun_ronin"	"c_bos_ronin_SECOND_ronin_marauders"
"FIRST"	"d_bos_shogun_shinsengumi"	"c_bos_shogun_shinsengumi_FIRST_grant_shinsengumi"
"FIRST"	"d_bos_student_exchange"	"c_bos_student_exchange_FIRST_foreign_boost"
"FIRST"	"d_bos_student_exchange"	"c_bos_student_exchange_FIRST_grant_french_marines"
"FIRST"	"d_bos_student_exchange"	"c_bos_student_exchange_FIRST_grant_royal_marines"
"FIRST"	"d_bos_student_exchange"	"c_bos_student_exchange_FIRST_grant_us_marines"
"FIRST"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_FIRST_brigandry"
"FIRST"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_FIRST_call_to_arms"
"FIRST"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_FIRST_foreign_boost"
"FIRST"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_FIRST_grateful_populace"
"FIRST"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_FIRST_samurai_discontent"
"SECOND"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_SECOND_disaffected_populace"
"SECOND"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_SECOND_foreign_setback"
"SECOND"	"d_bos_sword_abolishment"	"c_bos_sword_abolishment_SECOND_samurai_satisfaction"
"FIRST"	"d_bos_western_exploitation"	"c_bos_western_exploitation_FIRST_foreign_boost"
"FIRST"	"d_bos_western_exploitation"	"c_bos_western_exploitation_FIRST_foreign_setback"
"FIRST"	"d_bos_westerners_attacked"	"c_bos_westerners_attacked_FIRST_anti_western_riots"
"FIRST"	"d_bos_westerners_attacked"	"c_bos_westerners_attacked_FIRST_disaffected_populace"
"FIRST"	"d_bos_westerners_attacked"	"c_bos_westerners_attacked_FIRST_foreign_boost"
"SECOND"	"d_bos_westerners_attacked"	"c_bos_westerners_attacked_SECOND_foreign_setback"
"SECOND"	"d_bos_westerners_attacked"	"c_bos_westerners_attacked_SECOND_grateful_populace"
"FIRST"	"d_conflict_beliefs_buddhist"	"c_conflict_beliefs_buddhist_FIRST_old_ways"
"FIRST"	"d_conflict_beliefs_buddhist"	"c_conflict_beliefs_buddhist_FIRST_rebellion"
"SECOND"	"d_conflict_beliefs_buddhist"	"c_conflict_beliefs_buddhist_SECOND_nanban_ambassador"
"FIRST"	"d_conflict_beliefs_christian"	"c_conflict_beliefs_christian_FIRST_nanban_ambassador"
"FIRST"	"d_conflict_beliefs_christian"	"c_conflict_beliefs_christian_FIRST_rebellion"
"SECOND"	"d_conflict_beliefs_christian"	"c_conflict_beliefs_christian_SECOND_old_ways"
"FIRST"	"d_desecration"	"c_desecration_FIRST_nanban_ire"
"FIRST"	"d_desecration"	"c_desecration_FIRST_old_ways"
"SECOND"	"d_desecration"	"c_desecration_SECOND_anti_nanban_riots"
"SECOND"	"d_desecration"	"c_desecration_SECOND_rebellion"
"SECOND"	"d_disgruntled_vassal"	"c_disgruntled_vassal_SECOND_rebellion"
"FIRST"	"d_francis_xavier"	"c_francis_xavier_FIRST_nanban_ire"
"SECOND"	"d_francis_xavier"	"c_francis_xavier_SECOND_anti_nanban_riots"
"SECOND"	"d_francis_xavier"	"c_francis_xavier_SECOND_nanban_ambassador"
"FIRST"	"d_gaijin_trouble"	"c_gaijin_trouble_FIRST_anti_nanban_riots"
"FIRST"	"d_gaijin_trouble"	"c_gaijin_trouble_FIRST_nanban_ambassador"
"SECOND"	"d_gaijin_trouble"	"c_gaijin_trouble_SECOND_inspired_endeavours"
"FIRST"	"d_gem_eiga_monogatari"	"c_gem_eiga_monogatari_FIRST_fujiwara_influence"
"FIRST"	"d_gem_eiga_monogatari"	"c_gem_eiga_monogatari_FIRST_spawn_shirabyoshi"
"FIRST"	"d_gem_eiga_monogatari_fujiwara"	"c_gem_eiga_monogatari_fujiwara_FIRST_fujiwara_influence"
"FIRST"	"d_gem_eiga_monogatari_fujiwara"	"c_gem_eiga_monogatari_fujiwara_FIRST_spawn_shirabyoshi"
"FIRST"	"d_gem_enryakuji"	"c_gem_enryakuji_FIRST_money"
"FIRST"	"d_gem_enryakuji"	"c_gem_enryakuji_FIRST_monks"
"FIRST"	"d_gem_enryakuji"	"c_gem_enryakuji_FIRST_refuse"
"SECOND"	"d_gem_enryakuji"	"c_gem_enryakuji_SECOND_rebellion"
"SECOND"	"d_gem_enryakuji"	"c_gem_enryakuji_SECOND_rival_monks"
"FIRST"	"d_gem_family_dues"	"c_gem_family_dues_FIRST_spawn_dancer"
"FIRST"	"d_gem_heiji_monogatari_minamoto"	"c_gem_heiji_monogatari_minamoto_FIRST_minamoto_influence"
"FIRST"	"d_gem_heiji_monogatari_minamoto"	"c_gem_heiji_monogatari_minamoto_FIRST_nothing"
"FIRST"	"d_gem_heiji_monogatari_minamoto"	"c_gem_heiji_monogatari_minamoto_FIRST_taira_influence"
"FIRST"	"d_gem_heiji_monogatari_taira"	"c_gem_heiji_monogatari_taira_FIRST_minamoto_influence"
"FIRST"	"d_gem_heiji_monogatari_taira"	"c_gem_heiji_monogatari_taira_FIRST_nothing"
"FIRST"	"d_gem_heiji_monogatari_taira"	"c_gem_heiji_monogatari_taira_FIRST_taira_influence"
"FIRST"	"d_gem_justice"	"c_gem_justice_FIRST_peer_contempt"
"FIRST"	"d_gem_kofukuji"	"c_gem_kofukuji_FIRST_money"
"FIRST"	"d_gem_kofukuji"	"c_gem_kofukuji_FIRST_monks"
"FIRST"	"d_gem_kofukuji"	"c_gem_kofukuji_FIRST_refuse"
"SECOND"	"d_gem_kofukuji"	"c_gem_kofukuji_SECOND_rebellion"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_agrarian_toil"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_lackluster_efforts"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_peer_contempt"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_unwanted_fujiwara"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_unwanted_minamoto"
"FIRST"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_FIRST_unwanted_taira"
"SECOND"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_SECOND_brigandry"
"SECOND"	"d_gem_migrant_labourers"	"c_gem_migrant_workers_SECOND_inspired_endeavours"
"FIRST"	"d_gem_miidera"	"c_gem_miidera_FIRST_money"
"FIRST"	"d_gem_miidera"	"c_gem_miidera_FIRST_monks"
"FIRST"	"d_gem_miidera"	"c_gem_miidera_FIRST_refuse"
"SECOND"	"d_gem_miidera"	"c_gem_miidera_SECOND_rebellion"
"SECOND"	"d_gem_miidera"	"c_gem_miidera_SECOND_rival_monks"
"FIRST"	"d_gem_todaiji"	"c_gem_todaiji_FIRST_money"
"FIRST"	"d_gem_todaiji"	"c_gem_todaiji_FIRST_monks"
"FIRST"	"d_gem_todaiji"	"c_gem_todaiji_FIRST_refuse"
"SECOND"	"d_gem_todaiji"	"c_gem_todaiji_SECOND_rebellion"
"FIRST"	"d_gem_warrior_tax"	"c_gem_warrior_tax_FIRST_peer_contempt"
"FIRST"	"d_gem_warrior_tax"	"c_gem_warrior_tax_FIRST_spawn_unit"
"SECOND"	"d_gem_warrior_tax"	"c_gem_warrior_tax_SECOND_peer_contempt"
"SECOND"	"d_gem_warrior_tax"	"c_gem_warrior_tax_SECOND_rebellion"
