version 2, schema cdir_events_incident_option_junctions_tables, guid 193c6ca0-fb52-4fc0-a53e-a33c3d917617
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(optstring)
1000	0	"c_wako_threat_SECOND_rampant_piracy"	"VAR_CHANCE"	"5"
1009	0	"i_defection"	"VAR_CHANCE"	"5"
1018	0	"i_defection"	"GEN_TARGET_CHARACTER"	nil
1027	0	"i_defection"	"GEN_CND_MAX_CHARACTER_LOYALTY"	"1"
1031	0	"i_defection"	"GEN_CND_GENERAL"	nil
1035	0	"i_defection"	"GEN_CND_OWNS"	nil
1043	0	"i_defection"	"CND_CAMPAIGN"	"jap_shogun"
1051	0	"i_defection"	"CND_ROUNDS_UNTIL_NEXT"	"8"
1059	0	"c_ronin_SECOND_ronin_marauders"	"GEN_TARGET_PARENT"	nil
1064	0	"c_monopoly_FIRST_disaffected_populace"	"GEN_TARGET_PARENT"	nil
1077	0	"c_meritorious_action_SECOND_loyalty"	"GEN_TARGET_PARENT"	nil
1080	0	"c_land_dispute_SECOND_rebellion"	"GEN_TARGET_PARENT"	nil
1084	0	"c_land_dispute_FIRST_rebellion"	"GEN_TARGET_PARENT"	nil
1085	0	"c_gaijin_trouble_SECOND_inspired_endeavours"	"GEN_TARGET_PARENT"	nil
1086	0	"c_gaijin_trouble_FIRST_anti_nanban_riots"	"GEN_TARGET_PARENT"	nil
1094	0	"c_disloyalty_FIRST_rebellion"	"GEN_TARGET_REGION"	nil
1103	0	"c_disloyalty_FIRST_rebellion"	"GEN_CND_OWNS"	nil
1105	0	"c_disgruntled_vassal_SECOND_rebellion"	"GEN_TARGET_PARENT"	nil
1114	0	"c_desecration_SECOND_rebellion"	"GEN_TARGET_PARENT"	nil
1122	0	"c_desecration_SECOND_anti_nanban_riots"	"GEN_TARGET_PARENT"	nil
1141	0	"c_conflict_beliefs_christian_FIRST_rebellion"	"GEN_TARGET_PARENT"	nil
1143	0	"c_conflict_beliefs_buddhist_FIRST_rebellion"	"GEN_TARGET_PARENT"	nil
139	0	"c_ambitious_traders_FIRST_able_sailors"	"VAR_DELAY_MIN"	"1"
1397	0	"c_ambitious_traders_FIRST_able_sailors"	"GEN_TARGET_NONE"	nil
1404	0	"c_ambitious_traders_FIRST_lucrative_shipping"	"GEN_TARGET_NONE"	nil
1405	0	"c_ambitious_traders_SECOND_prosperity"	"GEN_TARGET_NONE"	nil
1415	0	"c_ambitious_traders_SECOND_thriving_markets"	"GEN_TARGET_NONE"	nil
1425	0	"c_auxiliary_supplies_FIRST_call_to_arms"	"GEN_TARGET_NONE"	nil
1432	0	"c_auxiliary_supplies_SECOND_master_smithies"	"GEN_TARGET_NONE"	nil
1438	0	"c_auxiliary_supplies_SECOND_merchant_discontent"	"GEN_TARGET_NONE"	nil
1445	0	"c_better_agent_metsuke_FIRST_shogunal_deputy"	"GEN_TARGET_NONE"	nil
1454	0	"c_better_agent_missionary_FIRST_nanban_ambassador"	"GEN_TARGET_NONE"	nil
1459	0	"c_conflict_beliefs_buddhist_FIRST_old_ways"	"GEN_TARGET_NONE"	nil
1461	0	"c_conflict_beliefs_buddhist_SECOND_nanban_ambassador"	"GEN_TARGET_NONE"	nil
1468	0	"c_conflict_beliefs_christian_FIRST_nanban_ambassador"	"GEN_TARGET_NONE"	nil
147	0	"c_ambitious_traders_FIRST_able_sailors"	"VAR_DELAY_MAX"	"4"
1478	0	"c_conflict_beliefs_christian_SECOND_old_ways"	"GEN_TARGET_NONE"	nil
1481	0	"c_desecration_FIRST_nanban_ire"	"GEN_TARGET_NONE"	nil
1487	0	"c_desecration_FIRST_old_ways"	"GEN_TARGET_NONE"	nil
1490	0	"c_disloyalty_FIRST_dread_lord"	"GEN_TARGET_NONE"	nil
1494	0	"c_disloyalty_SECOND_peer_contempt"	"GEN_TARGET_NONE"	nil
1504	0	"c_francis_xavier_FIRST_nanban_ire"	"GEN_TARGET_NONE"	nil
1508	0	"c_francis_xavier_SECOND_anti_nanban_riots"	"GEN_TARGET_NONE"	nil
1510	0	"c_francis_xavier_SECOND_nanban_ambassador"	"GEN_TARGET_NONE"	nil
1518	0	"c_gaijin_trouble_FIRST_nanban_ambassador"	"GEN_TARGET_NONE"	nil
152	0	"c_ambitious_traders_FIRST_able_sailors"	"VAR_CHANCE"	"5"
1524	0	"c_heralding_spring_FIRST_grateful_populace"	"GEN_TARGET_NONE"	nil
1530	0	"c_heralding_spring_SECOND_disaffected_populace"	"GEN_TARGET_NONE"	nil
1532	0	"c_intoxication_FIRST_provincial_discord"	"GEN_TARGET_REGION"	nil
1539	0	"c_intoxication_SECOND_lackluster_efforts"	"GEN_TARGET_REGION"	nil
1541	0	"c_jizamurai_FIRST_vigilance"	"GEN_TARGET_NONE"	nil
1544	0	"c_jizamurai_SECOND_war_fervour"	"GEN_TARGET_NONE"	nil
1549	0	"c_martial_priorities_FIRST_call_to_arms"	"GEN_TARGET_NONE"	nil
1557	0	"c_martial_priorities_SECOND_vigilance"	"GEN_TARGET_NONE"	nil
1563	0	"c_merchant_accession_FIRST_disaffected_populace"	"GEN_TARGET_NONE"	nil
157	0	"c_ambitious_traders_FIRST_lucrative_shipping"	"VAR_DELAY_MIN"	"1"
1571	0	"c_merchant_accession_SECOND_merchant_discontent"	"GEN_TARGET_NONE"	nil
1580	0	"c_meritorious_action_SECOND_peer_contempt"	"GEN_TARGET_NONE"	nil
1586	0	"c_monopoly_SECOND_merchant_discontent"	"GEN_TARGET_NONE"	nil
1588	0	"c_tribute_emperor_SECOND_peer_contempt"	"GEN_TARGET_NONE"	nil
1590	0	"c_tribute_shogun_FIRST_shogunal_deputy"	"GEN_TARGET_NONE"	nil
1591	0	"c_tribute_shogun_SECOND_peer_contempt"	"GEN_TARGET_NONE"	nil
1594	0	"c_urban_migration_FIRST_meagre_harvest"	"GEN_TARGET_NONE"	nil
1603	0	"c_urban_migration_SECOND_merchant_discontent"	"GEN_TARGET_NONE"	nil
1605	0	"c_wako_threat_FIRST_able_sailors"	"GEN_TARGET_NONE"	nil
1607	0	"c_wako_threat_FIRST_lucrative_shipping"	"GEN_TARGET_NONE"	nil
1616	0	"c_wako_threat_SECOND_rampant_piracy"	"GEN_TARGET_NONE"	nil
1617	0	"i_dis_earthquake"	"VAR_CHANCE"	"2"
1620	0	"i_dis_earthquake"	"CND_CAMPAIGN"	"jap_shogun"
1621	0	"i_dis_earthquake"	"CND_ROUNDS_UNTIL_NEXT"	"24"
1625	0	"i_dis_earthquake"	"CND_MIN_REGIONS_OWNED"	"4"
1627	0	"i_dis_earthquake"	"GEN_TARGET_REGION"	nil
