version 2, schema cdir_events_incident_payloads_tables, guid 452fa591-5b8f-4abc-8363-18f962dae6cc
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)
0	0	"c_ambitious_traders_FIRST_able_sailors"	"p_able_sailors"	"DURATION[4]"
1006	0	"c_intoxication_SECOND_lackluster_efforts"	"TARGET"	"EVENT"
1008	0	"i_inspiration_farmers_daimyo"	"TARGET"	"EVENT"
1015	0	"i_inspiration_builders_development"	"TARGET"	"EVENT"
1019	0	"i_inspiration_builders_daimyo"	"TARGET"	"EVENT"
1024	0	"i_inspiration_soldiers_daimyo"	"p_call_to_arms"	"DURATION[4]"
1032	0	"i_inspiration_soldiers_warfare"	"p_call_to_arms"	"DURATION[4]"
1035	0	"i_inspiration_soldiers_daimyo"	"TARGET"	"EVENT"
1037	0	"i_inspiration_soldiers_warfare"	"TARGET"	"EVENT"
1042	0	"c_gaijin_trouble_FIRST_anti_nanban_riots"	"TARGET"	"EVENT"
1046	0	"c_desecration_SECOND_anti_nanban_riots"	"TARGET"	"EVENT"
1048	0	"c_ronin_SECOND_ronin_marauders"	"TARGET"	"EVENT"
1055	0	"i_religion_convert_christian_influence"	"MOVIE_EVENT"	"MOVIE_EVENT[188]"
106	0	"c_disloyalty_FIRST_dread_lord"	"p_iron_fist"	"DURATION[4]"
1060	0	"i_religion_convert_nanban_trade"	"MOVIE_EVENT"	"MOVIE_EVENT[188]"
1064	0	"c_gem_enryakuji_FIRST_money"	"TREASURY"	"AMOUNT[2000]"
1073	0	"c_gem_enryakuji_FIRST_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
1080	0	"c_gem_enryakuji_SECOND_rebellion"	"REBELLION"	"remove_me"
1084	0	"c_gem_enryakuji_SECOND_rival_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
1091	0	"c_gem_kofukuji_FIRST_money"	"TREASURY"	"AMOUNT[2000]"
1099	0	"c_gem_kofukuji_FIRST_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
1119	0	"c_gem_kofukuji_SECOND_rebellion"	"REBELLION"	"remove_me"
1122	0	"c_gem_miidera_FIRST_money"	"TREASURY"	"AMOUNT[2000]"
1124	0	"c_gem_miidera_FIRST_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
1133	0	"c_gem_miidera_SECOND_rebellion"	"REBELLION"	"remove_me"
1140	0	"c_gem_miidera_SECOND_rival_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
1144	0	"c_gem_todaiji_FIRST_money"	"TREASURY"	"AMOUNT[2000]"
1147	0	"c_gem_todaiji_FIRST_monks"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Warrior_Monks]"
115	0	"c_disloyalty_FIRST_rebellion"	"REBELLION"	"remove_me"
1158	0	"c_gem_todaiji_SECOND_rebellion"	"REBELLION"	"remove_me"
1161	0	"i_gem_agricultural_practices"	"p_plenty"	"DURATION[8]"
1164	0	"i_gem_dedicated_builder"	"p_master_builders"	"DURATION[8]"
1171	0	"i_gem_dedicated_seafarer_master_shipwrights"	"p_master_shipwrights"	"DURATION[8]"
1174	0	"i_gem_dedicated_seafarer_able_sailors"	"p_able_sailors"	"DURATION[8]"
1180	0	"i_gem_research_balanced"	"p_research"	"DURATION[8]"
1190	0	"i_gem_research_ratio_civil"	"p_gem_administrative_insight"	"DURATION[6]"
1192	0	"i_gem_research_ratio_military"	"p_gem_martial_wisdom"	"DURATION[6]"
1202	0	"i_gem_research_specific_civil"	"p_gem_administrative_insight"	"DURATION[6]"
