version 2, schema cdir_events_mission_payloads_tables, guid 5a58fd43-979c-4520-88b3-3baa49289294
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)
0	0	"m_acts_sabotage"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
10	0	"m_agrarian_matters"	"p_agrarian_toil_global"	"SUCCESS"	"DURATION[4]"
1005	0	"m_bos_imperial_convert_own_region"	"p_bos_better_ishinshishi"	"SUCCESS"	"DURATION[12];GLOBAL"
1010	0	"m_bos_imperial_convert_own_region"	"p_bos_imperial_propaganda_local"	"SUCCESS"	"DURATION[6]"
1018	0	"m_bos_imperial_convert_own_region"	"TARGET"	"SUCCESS"	"EVENT"
102	0	"m_balance_of_strength_medium_naval"	"p_rule_the_waves"	"SUCCESS"	"DURATION[6];GLOBAL"
1025	0	"m_bos_imperial_incite_revolt"	"p_bos_better_ishinshishi"	"SUCCESS"	"DURATION[12];GLOBAL"
1026	0	"m_bos_imperial_kill_character"	"p_bos_inspired_endeavours_global"	"SUCCESS"	"DURATION[12];GLOBAL"
1030	0	"m_bos_imperial_attack_shogun"	"p_bos_call_to_arms"	"SUCCESS"	"DURATION[6];GLOBAL"
1040	0	"m_bos_imperial_crush_rebellion"	"p_bos_iron_fist_local"	"SUCCESS"	"DURATION[12]"
1050	0	"m_bos_imperial_crush_rebellion"	"TARGET"	"SUCCESS"	"EVENT"
1055	0	"m_bos_kill_general_in_battle"	"p_bos_lord_of_war"	"SUCCESS"	"DURATION[12];GLOBAL"
1056	0	"m_bos_recruit_geisha"	"p_bos_better_geisha"	"SUCCESS"	"DURATION[12];GLOBAL"
1062	0	"m_bos_recruit_imperial_ishin_shishi"	"p_bos_better_ishinshishi"	"SUCCESS"	"DURATION[12];GLOBAL"
1071	0	"m_bos_recruit_shinobi"	"p_bos_better_shinobi"	"SUCCESS"	"DURATION[12];GLOBAL"
1080	0	"m_bos_recruit_shogun_shinsengumi"	"p_bos_better_shinsengumi"	"SUCCESS"	"DURATION[12];GLOBAL"
1084	0	"m_bos_recruit_veteran"	"p_bos_better_veteran"	"SUCCESS"	"DURATION[12];GLOBAL"
1093	0	"m_bos_reinforce_region_capital"	"p_bos_call_to_arms"	"SUCCESS"	"DURATION[6];GLOBAL"
11	0	"m_balance_of_strength_artillery"	"p_master_siegecraft"	"SUCCESS"	"DURATION[6];GLOBAL"
110	0	"m_balance_of_strength_medium_naval"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Medium_Ship_Medium_Bune]"
1100	0	"m_bos_reinforce_region_unrest"	"p_bos_iron_fist_local"	"SUCCESS"	"DURATION[12]"
1106	0	"m_bos_reinforce_region_unrest"	"TARGET"	"SUCCESS"	"EVENT"
1113	0	"m_bos_research_civil"	"p_bos_breakthrough_civil_eng"	"SUCCESS"	"DURATION[12];GLOBAL"
1122	0	"m_bos_research_military"	"p_bos_breakthrough_military_eng"	"SUCCESS"	"DURATION[12];GLOBAL"
1126	0	"m_bos_sabotage_force"	"p_bos_dreaded_force"	"SUCCESS"	"DURATION[12];GLOBAL"
1134	0	"m_bos_seduce_character"	"p_bos_better_geisha"	"SUCCESS"	"DURATION[12];GLOBAL"
1143	0	"m_bos_shogun_attack_imperial"	"p_bos_call_to_arms"	"SUCCESS"	"DURATION[6];GLOBAL"
1150	0	"m_bos_imperial_bribe_enemy_army"	"p_bos_better_ishinshishi"	"SUCCESS"	"DURATION[12];GLOBAL"
1153	0	"m_bos_shogun_bribe_enemy_army"	"p_bos_better_shinsengumi"	"SUCCESS"	"DURATION[12];GLOBAL"
1162	0	"m_bos_shogun_capture_edo"	"p_bos_shoguns_authority"	"SUCCESS"	"DURATION[6];GLOBAL"
117	0	"m_balance_of_strength_samurai"	"p_master_samurai"	"SUCCESS"	"DURATION[6];GLOBAL"
1171	0	"m_bos_shogun_capture_kyoto"	"p_bos_shoguns_authority"	"SUCCESS"	"DURATION[6];GLOBAL"
1173	0	"m_bos_shogun_capture_region"	"p_war_fervour"	"SUCCESS"	"DURATION[12];GLOBAL"
1182	0	"m_bos_shogun_convert_other_region"	"p_bos_better_shinsengumi"	"SUCCESS"	"DURATION[12];GLOBAL"
1189	0	"m_bos_shogun_convert_own_region"	"p_bos_better_shinsengumi"	"SUCCESS"	"DURATION[12];GLOBAL"
119	0	"m_balance_of_strength_samurai"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Sword_Katana_Samurai]"
1190	0	"m_bos_shogun_convert_own_region"	"p_bos_shogunate_propaganda_local"	"SUCCESS"	"DURATION[6]"
1193	0	"m_bos_shogun_convert_own_region"	"TARGET"	"SUCCESS"	"EVENT"
1200	0	"m_bos_shogun_crush_rebellion"	"p_bos_iron_fist_local"	"SUCCESS"	"DURATION[12]"
1201	0	"m_bos_shogun_crush_rebellion"	"TARGET"	"SUCCESS"	"EVENT"
