version 1, schema cdir_events_payloads_tables, guid af477ad2-0f2b-482f-a685-ebc737dc32b6
unknown1(optstring)	unknown2(string)
nil	"BUILDING_LEVEL_EVENT_RESTRICTION"
nil	"BUILDING_LEVEL_RESTRICTION"
nil	"CLAN_FAME"
nil	"DAMAGE_BUILDING"
nil	"DEFECTION"
nil	"DEMOLISH_BUILDING_CHAIN"
nil	"DIPLOMATIC_STANDING"
nil	"HONOUR"
nil	"KILL_CHARACTER"
nil	"LOYALTY"
nil	"MOVIE_EVENT"
nil	"REBELLION"
nil	"SPAWN_AGENT"
nil	"SPAWN_UNIT"
nil	"TARGET"
nil	"TOWN_WEALTH"
nil	"TREASURY"
nil	"UNIT_EVENT_RESTRICTION"
nil	"UNLOCK_STATE_RELIGION_CHANGE"
"p_able_sailors"	"p_able_sailors"
"p_abundant_catch_global"	"p_abundant_catch_global"
"p_abundant_catch_local"	"p_abundant_catch_local"
"p_administrative_insight"	"p_administrative_insight"
"p_aggressive_ardour"	"p_aggressive_ardour"
"p_agrarian_toil_global"	"p_agrarian_toil_global"
"p_agrarian_toil_local"	"p_agrarian_toil_local"
"p_ample_supplies"	"p_ample_supplies"
"p_anti_nanban_riots_global"	"p_anti_nanban_riots_global"
"p_anti_nanban_riots_local"	"p_anti_nanban_riots_local"
"p_bos_ample_supplies"	"p_bos_ample_supplies"
"p_bos_anti_western_riots_global"	"p_bos_anti_western_riots_global"
"p_bos_anti_western_riots_local"	"p_bos_anti_western_riots_local"
"p_bos_autumn"	"p_bos_autumn"
"p_bos_better_geisha"	"p_bos_better_geisha"
"p_bos_better_ishinshishi"	"p_bos_better_ishinshishi"
"p_bos_better_shinobi"	"p_bos_better_shinobi"
"p_bos_better_shinsengumi"	"p_bos_better_shinsengumi"
"p_bos_better_veteran"	"p_bos_better_veteran"
"p_bos_breakthrough_civil_eng"	"p_bos_breakthrough_civil_eng"
"p_bos_breakthrough_industrial_sci"	"p_bos_breakthrough_industrial_sci"
"p_bos_breakthrough_medical_sci"	"p_bos_breakthrough_medical_sci"
"p_bos_breakthrough_military_eng"	"p_bos_breakthrough_military_eng"
"p_bos_brigandry_global"	"p_bos_brigandry_global"
"p_bos_brigandry_local"	"p_bos_brigandry_local"
"p_bos_call_to_arms"	"p_bos_call_to_arms"
"p_bos_civil_insight"	"p_bos_civil_insight"
"p_bos_criminal_contacts_global"	"p_bos_criminal_contacts_global"
"p_bos_criminal_contacts_local"	"p_bos_criminal_contacts_local"
"p_bos_disaffected_populace_global"	"p_bos_disaffected_populace_global"
"p_bos_disaffected_populace_local"	"p_bos_disaffected_populace_local"
"p_bos_dreaded_force"	"p_bos_dreaded_force"
"p_bos_earthquake"	"p_bos_earthquake"
"p_bos_emperors_mandate"	"p_bos_emperors_mandate"
"p_bos_fire"	"p_bos_fire"
"p_bos_flourishing_growth_global"	"p_bos_flourishing_growth_global"
"p_bos_flourishing_growth_local"	"p_bos_flourishing_growth_local"
"p_bos_foreign_boost"	"p_bos_foreign_boost"
"p_bos_foreign_setback"	"p_bos_foreign_setback"
"p_bos_grateful_populace_global"	"p_bos_grateful_populace_global"
"p_bos_grateful_populace_local"	"p_bos_grateful_populace_local"
"p_bos_high_yield"	"p_bos_high_yield"
"p_bos_imperial_propaganda_local"	"p_bos_imperial_propaganda_local"
"p_bos_inspired_endeavours_global"	"p_bos_inspired_endeavours_global"
"p_bos_inspired_endeavours_local"	"p_bos_inspired_endeavours_local"
"p_bos_iron_fist_local"	"p_bos_iron_fist_local"
"p_bos_lord_of_war"	"p_bos_lord_of_war"
"p_bos_martial_wisdom"	"p_bos_martial_wisdom"
"p_bos_master_artillery"	"p_bos_master_artillery"
"p_bos_master_rifles"	"p_bos_master_rifles"
"p_bos_master_shipwrights"	"p_bos_master_shipwrights"
"p_bos_military_mission_american"	"p_bos_military_mission_american"
"p_bos_military_mission_british"	"p_bos_military_mission_british"
"p_bos_military_mission_french"	"p_bos_military_mission_french"
"p_bos_peer_contempt"	"p_bos_peer_contempt"
"p_bos_peer_respect"	"p_bos_peer_respect"
"p_bos_realm_divide_emperor"	"p_bos_realm_divide_emperor"
"p_bos_realm_divide_self"	"p_bos_realm_divide_self"
"p_bos_realm_divide_shogun"	"p_bos_realm_divide_shogun"
"p_bos_ronin_marauders_local"	"p_bos_ronin_marauders_local"
"p_bos_rule_the_waves"	"p_bos_rule_the_waves"
"p_bos_samurai_discontent"	"p_bos_samurai_discontent"
"p_bos_samurai_satisfaction"	"p_bos_samurai_satisfaction"
"p_bos_security"	"p_bos_security"
"p_bos_shogunate_propaganda_local"	"p_bos_shogunate_propaganda_local"
"p_bos_shoguns_authority"	"p_bos_shoguns_authority"
"p_bos_slow_research"	"p_bos_slow_research"
"p_bos_spring"	"p_bos_spring"
"p_bos_summer"	"p_bos_summer"
"p_bos_thriving_markets"	"p_bos_thriving_markets"
"p_bos_wait"	"p_bos_wait"
"p_bos_war_fervour"	"p_bos_war_fervour"
"p_bos_winter"	"p_bos_winter"
"p_call_to_arms"	"p_call_to_arms"
"p_compassion_buddha_global"	"p_compassion_buddha_global"
"p_compassion_buddha_local"	"p_compassion_buddha_local"
"p_dis_disease"	"p_dis_disease"
"p_dis_drought"	"p_dis_drought"
"p_dis_earthquake"	"p_dis_earthquake"
"p_dis_fire"	"p_dis_fire"
"p_dis_flood"	"p_dis_flood"
"p_dis_severe_winter"	"p_dis_severe_winter"
"p_dis_stormy_seas"	"p_dis_stormy_seas"
"p_dis_tsunami"	"p_dis_tsunami"
"p_dis_typhoon"	"p_dis_typhoon"
"p_dis_volcano"	"p_dis_volcano"
"p_disaffected_populace_global"	"p_disaffected_populace_global"
"p_disaffected_populace_local"	"p_disaffected_populace_local"
"p_disaster"	"p_disaster"
"p_dreaded_force"	"p_dreaded_force"
"p_foreign_prosperity"	"p_foreign_prosperity"
"p_gem_administrative_insight"	"p_gem_administrative_insight"
"p_gem_ardent_support"	"p_gem_ardent_support"
"p_gem_await_response"	"p_gem_await_response"
"p_gem_brigandry_global"	"p_gem_brigandry_global"
"p_gem_brigandry_local"	"p_gem_brigandry_local"
"p_gem_fujiwara_influence_other"	"p_gem_fujiwara_influence_other"
"p_gem_fujiwara_influence_self"	"p_gem_fujiwara_influence_self"
"p_gem_martial_wisdom"	"p_gem_martial_wisdom"
"p_gem_master_dancer"	"p_gem_master_dancer"
"p_gem_master_inspector"	"p_gem_master_inspector"
"p_gem_master_monk"	"p_gem_master_monk"
"p_gem_master_spy"	"p_gem_master_spy"
"p_gem_minamoto_influence_other"	"p_gem_minamoto_influence_other"
"p_gem_minamoto_influence_self"	"p_gem_minamoto_influence_self"
"p_gem_propaganda"	"p_gem_propaganda"
"p_gem_taira_antoku_enthroned"	"p_gem_taira_antoku_enthroned"
"p_gem_taira_influence_other"	"p_gem_taira_influence_other"
"p_gem_taira_influence_self"	"p_gem_taira_influence_self"
"p_gem_tax_supplement"	"p_gem_tax_supplement"
"p_gem_unwanted_influence_fujiwara"	"p_gem_unwanted_influence_fujiwara"
"p_gem_unwanted_influence_minamoto"	"p_gem_unwanted_influence_minamoto"
"p_gem_unwanted_influence_taira"	"p_gem_unwanted_influence_taira"
"p_grateful_populace_global"	"p_grateful_populace_global"
"p_grateful_populace_local"	"p_grateful_populace_local"
"p_inspired_endeavours_global"	"p_inspired_endeavours_global"
"p_inspired_endeavours_local"	"p_inspired_endeavours_local"
"p_iron_fist"	"p_iron_fist"
"p_lackluster_efforts_global"	"p_lackluster_efforts_global"
"p_lackluster_efforts_local"	"p_lackluster_efforts_local"
"p_lucrative_shipping"	"p_lucrative_shipping"
"p_martial_wisdom"	"p_martial_wisdom"
"p_master_archers"	"p_master_archers"
"p_master_ashigaru"	"p_master_ashigaru"
"p_master_builders"	"p_master_builders"
"p_master_cavalry"	"p_master_cavalry"
"p_master_gunners"	"p_master_gunners"
"p_master_horsebreeders"	"p_master_horsebreeders"
"p_master_ikko_monks"	"p_master_ikko_monks"
"p_master_metsuke"	"p_master_metsuke"
"p_master_missionaries"	"p_master_missionaries"
"p_master_monks"	"p_master_monks"
"p_master_ninja"	"p_master_ninja"
"p_master_samurai"	"p_master_samurai"
"p_master_shipwrights"	"p_master_shipwrights"
"p_master_siegecraft"	"p_master_siegecraft"
"p_master_smithies"	"p_master_smithies"
"p_master_spearmen"	"p_master_spearmen"
"p_master_swordsmen"	"p_master_swordsmen"
"p_meagre_harvest"	"p_meagre_harvest"
"p_meagre_harvest_local"	"p_meagre_harvest_local"
"p_merchant_discontent"	"p_merchant_discontent"
"p_nanban_ambassador"	"p_nanban_ambassador"
"p_nanban_ire"	"p_nanban_ire"
"p_old_ways"	"p_old_ways"
"p_peer_contempt"	"p_peer_contempt"
"p_plenty"	"p_plenty"
"p_prosperity_global"	"p_prosperity_global"
"p_prosperity_local"	"p_prosperity_local"
"p_provincial_turmoil_global"	"p_provincial_turmoil_global"
"p_provincial_turmoil_local"	"p_provincial_turmoil_local"
"p_rampant_piracy"	"p_rampant_piracy"
"p_religious_zeal"	"p_religious_zeal"
"p_research"	"p_research"
"p_ronin_marauders"	"p_ronin_marauders"
"p_rule_the_waves"	"p_rule_the_waves"
"p_shogunal_deputy"	"p_shogunal_deputy"
"p_staunch_defence"	"p_staunch_defence"
"p_taskmaster_global"	"p_taskmaster_global"
"p_taskmaster_local"	"p_taskmaster_local"
"p_thriving_markets"	"p_thriving_markets"
"p_vigilance_global"	"p_vigilance_global"
"p_vigilance_local"	"p_vigilance_local"
"p_war_fervour"	"p_war_fervour"
"p_way_words"	"p_way_words"
"p_wisdom_shinran_global"	"p_wisdom_shinran_global"
"p_wisdom_shinran_local"	"p_wisdom_shinran_local"
"p_word_of_god_global"	"p_word_of_god_global"
"p_word_of_god_local"	"p_word_of_god_local"
