version 1, schema cdir_unit_qualities_tables, guid a9fc5f76-571b-4edb-8df8-404246ac5062
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(int)
"boshin"	"artillery"	"Boshin_Art_Armstrong_Guns"	800
"boshin"	"artillery"	"Boshin_Art_Armstrong_Guns_MP"	0
"boshin"	"artillery"	"Boshin_Art_Coastal_Guns_Large"	0
"boshin"	"artillery"	"Boshin_Art_Coastal_Guns_Medium"	0
"boshin"	"artillery"	"Boshin_Art_Coastal_Guns_Medium_MP"	0
"boshin"	"artillery"	"Boshin_Art_Coastal_Guns__Large_MP"	0
"boshin"	"artillery"	"Boshin_Art_Gatling_Guns"	1200
"boshin"	"artillery"	"Boshin_Art_Gatling_Guns_MP"	0
"boshin"	"artillery"	"Boshin_Art_Parrot_Guns"	700
"boshin"	"artillery"	"Boshin_Art_Parrot_Guns_MP"	0
"boshin"	"cavalry_missile"	"Sh_Cav_Missile_Bow_Cavalry_Hero"	1000
"boshin"	"cavalry_missile"	"Sh_Cav_Missile_Bow_Cavalry_Hero_MP"	0
"boshin"	"cavalry_spear"	"Sh_Cav_Spear_Yari_Cavalry_Hero"	1000
"boshin"	"cavalry_spear"	"Sh_Cav_Spear_Yari_Cavalry_Hero_MP"	0
"boshin"	"cavalry_sword"	"Sh_Cav_Sword_Katana_Cavalry_Hero"	1000
"boshin"	"cavalry_sword"	"Sh_Cav_Sword_Katana_Cavalry_Hero_MP"	0
"boshin"	"general"	"Boshin_Gen_Generals_Bodyguard"	100
"boshin"	"general"	"Boshin_Gen_Generals_Bodyguard_MP"	0
"boshin"	"general"	"Boshin_Gen_Generals_Hatamoto"	100
"boshin"	"general"	"Boshin_Gen_Generals_Hatamoto_MP"	0
"boshin"	"general"	"Boshin_Gen_Saigo_Takamori"	0
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Naginata_Hero"	1000
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Naginata_Hero_MP"	0
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Naginata_Heroine"	1000
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Naginata_Heroine_MP"	0
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Tetsubo_Hero"	1000
"boshin"	"infantry_heavy"	"Sh_Inf_Heavy_Tetsubo_Hero_MP"	0
"boshin"	"infantry_matchlock"	"Sh_Inf_Missile_Matchlock_Hero"	1000
"boshin"	"infantry_matchlock"	"Sh_Inf_Missile_Matchlock_Hero_MP"	0
"boshin"	"infantry_special"	"Sh_Inf_Special_Kisho_Ninja_Hero"	1000
"boshin"	"infantry_special"	"Sh_Inf_Special_Kisho_Ninja_Hero_MP"	0
"boshin"	"infantry_sword"	"Sh_Inf_Sword_Nodachi_Hero"	1000
"boshin"	"infantry_sword"	"Sh_Inf_Sword_Nodachi_Hero_MP"	0
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Carbine_Cavalry"	600
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Carbine_Cavalry_MP"	0
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	800
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Imperial_Guard_Cavalry_MP"	0
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Revolver_Cavalry"	400
"boshin"	"modern_cav"	"Boshin_Cav_Missile_Revolver_Cavalry_MP"	0
"boshin"	"modern_cav"	"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	800
"boshin"	"modern_cav"	"Boshin_Cav_Spear_Shogunate_Guard_Cavalry_MP"	0
"boshin"	"modern_cav"	"Boshin_Cav_Sword_Republican_Guard_Cavalry"	800
"boshin"	"modern_cav"	"Boshin_Cav_Sword_Sabre_Cavalry"	500
"boshin"	"modern_cav"	"Boshin_Cav_Sword_Sabre_Cavalry_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Imperial_Guard_Infantry"	900
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Imperial_Guard_Infantry_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Infanterie_de_marine"	1000
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Infanterie_de_marine_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Kihetai"	800
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Kihetai_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Republican_Guard_Infantry"	900
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Royal_Marines"	1000
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Royal_Marines_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	900
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_Shogunate_Guard_Infantry_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_United_States_Marines"	1000
"boshin"	"modern_elite_light"	"Boshin_Inf_Elite_United_States_Marines_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Sharpshooters"	500
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Sharpshooters_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Tosa_Riflemen"	600
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Tosa_Riflemen_MP"	0
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Yugekitai"	600
"boshin"	"modern_elite_light"	"Boshin_Inf_Light_Yugekitai_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Garrison_Infantry"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Azure_Dragon_Force"	600
"boshin"	"modern_line"	"Boshin_Inf_Line_Azure_Dragon_Force_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Black_Bear_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Black_Bear_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Black_Tortoise_Force"	500
"boshin"	"modern_line"	"Boshin_Inf_Line_Black_Tortoise_Force_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Imperial_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Imperial_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Infantry"	600
"boshin"	"modern_line"	"Boshin_Inf_Line_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Red_Bear_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Red_Bear_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Republican_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Shinsengumi"	500
"boshin"	"modern_line"	"Boshin_Inf_Line_Shinsengumi_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Shogunate_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Shogunate_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_Vermilion_Bird_Force"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_Vermilion_Bird_Force_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_White_Bear_Infantry"	700
"boshin"	"modern_line"	"Boshin_Inf_Line_White_Bear_Infantry_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Line_White_Tiger_Force"	400
"boshin"	"modern_line"	"Boshin_Inf_Line_White_Tiger_Force_MP"	0
"boshin"	"modern_line"	"Boshin_Inf_Militia_Levy_Infantry"	400
"boshin"	"modern_line"	"Boshin_Inf_Militia_Levy_Infantry_Garrison"	0
"boshin"	"modern_line"	"Boshin_Inf_Militia_Levy_Infantry_MP"	0
"boshin"	"modern_ship"	"Boshin_Corvette_Kaiten"	3000
"boshin"	"modern_ship"	"Boshin_Corvette_Kaiten_Copper_Plated"	3400
"boshin"	"modern_ship"	"Boshin_Corvette_Kaiten_Iron_Plated"	3800
"boshin"	"modern_ship"	"Boshin_Corvette_Kaiten_MP"	0
"boshin"	"modern_ship"	"Boshin_Corvette_Kanko_Maru"	2900
"boshin"	"modern_ship"	"Boshin_Corvette_Kanko_Maru_Copper_Plated"	3300
"boshin"	"modern_ship"	"Boshin_Corvette_Kanko_Maru_Iron_Plated"	3700
"boshin"	"modern_ship"	"Boshin_Corvette_Kanko_Maru_MP"	0
"boshin"	"modern_ship"	"Boshin_Corvette_Kanrin_Maru"	3000
"boshin"	"modern_ship"	"Boshin_Corvette_Kanrin_Maru_Copper_Plated"	3400
"boshin"	"modern_ship"	"Boshin_Corvette_Kanrin_Maru_Iron_Plated"	3800
"boshin"	"modern_ship"	"Boshin_Corvette_Kanrin_Maru_MP"	0
"boshin"	"modern_ship"	"Boshin_Corvette_Kasuga"	3000
"boshin"	"modern_ship"	"Boshin_Corvette_Kasuga_Copper_Plated"	3400
"boshin"	"modern_ship"	"Boshin_Corvette_Kasuga_Iron_Plated"	3800
"boshin"	"modern_ship"	"Boshin_Corvette_Kasuga_Iron_Plated_MP"	0
"boshin"	"modern_ship"	"Boshin_Corvette_Kasuga_MP"	0
"boshin"	"modern_ship"	"Boshin_Frigate_Kaiyo_Maru"	3000
