version 1, schema character_skill_node_sets_tables, guid 7bd2787e-f297-412c-9f70-f8823f576754
unknown1(boolean)	unknown2(string)	unknown3(optstring)	unknown4(optstring)	unknown5(string)
true	"boshin_geisha"	"jap_boshin"	nil	"bos_geisha_skills"
true	"General"	"jap_boshin"	nil	"bos_general_skills"
true	"boshin_ishinshishi"	"jap_boshin"	nil	"bos_ishinshishi_skills"
true	"boshin_shinobi"	"jap_boshin"	nil	"bos_shinobi_skills"
true	"boshin_shinsengumi"	"jap_boshin"	nil	"bos_shinsengumi_skills"
true	"boshin_veteran"	"jap_boshin"	nil	"bos_veteran_skills"
true	"geisha"	nil	nil	"geisha_skills"
true	"gempei_dancer"	"jap_gempei"	nil	"gem_dancer_skills"
true	"General"	"jap_gempei"	nil	"gem_general_skills"
true	"gempei_inspector"	"jap_gempei"	nil	"gem_inspector_skills"
true	"gempei_monk"	"jap_gempei"	nil	"gem_monk_skills"
true	"gempei_spy"	"jap_gempei"	nil	"gem_spy_skills"
true	"General"	nil	nil	"general_skills"
true	"General"	nil	"ikko_ikki"	"ikko_general_skills"
true	"ikko_monk"	nil	"ikko_ikki"	"ikko_monk_skills"
true	"metsuke"	nil	nil	"metsuke_skills"
true	"missionary"	nil	nil	"missionary_skills"
true	"monk"	nil	nil	"monk_skills"
true	"ninja"	nil	nil	"ninja_skills"
