version 1, schema character_skill_nodes_tables, guid 5e34afab-f4a2-4d32-9775-73df52c66371
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(optstring)	unknown5(int)	unknown6(string)	unknown7(int)
false	"bos_geisha_1_attendant"	"bos_geisha_skills"	nil	37	"bos_geisha_node_1_attendant"	0
false	"bos_geisha_1_entertainer"	"bos_geisha_skills"	nil	13	"bos_geisha_node_1_entertainer"	0
false	"bos_geisha_2_tradition"	"bos_geisha_skills"	nil	44	"bos_geisha_node_2_observation"	1
false	"bos_geisha_2_grace"	"bos_geisha_skills"	nil	6	"bos_geisha_node_2_tradition"	1
false	"bos_geisha_3_charmer"	"bos_geisha_skills"	nil	30	"bos_geisha_node_3_charmer"	2
false	"bos_geisha_3_hostess"	"bos_geisha_skills"	nil	44	"bos_geisha_node_3_hostess"	2
false	"bos_geisha_3_siren"	"bos_geisha_skills"	nil	20	"bos_geisha_node_3_siren"	2
false	"bos_geisha_3_solacer"	"bos_geisha_skills"	nil	6	"bos_geisha_node_3_solacer"	2
false	"bos_geisha_4_allure"	"bos_geisha_skills"	nil	16	"bos_geisha_node_4_allure"	3
false	"bos_geisha_4_empathy"	"bos_geisha_skills"	nil	2	"bos_geisha_node_4_empathy"	3
false	"bos_geisha_4_entourage"	"bos_geisha_skills"	nil	48	"bos_geisha_node_4_entourage"	3
false	"bos_geisha_4_wit"	"bos_geisha_skills"	nil	34	"bos_geisha_node_4_wit"	3
false	"bos_geisha_5_artiste"	"bos_geisha_skills"	nil	13	"bos_geisha_node_5_artiste"	4
false	"bos_geisha_5_entrepreneur"	"bos_geisha_skills"	nil	37	"bos_geisha_node_5_entrepreneur"	4
false	"bos_geisha_5_temptress"	"bos_geisha_skills"	nil	25	"bos_geisha_node_5_temptress"	4
false	"bos_general_1_aggressor"	"bos_general_skills"	nil	39	"bos_general_node_1_aggressor"	0
false	"bos_general_1_defender"	"bos_general_skills"	nil	11	"bos_general_node_1_defender"	0
false	"bos_general_2_covert_ops"	"bos_general_skills"	nil	5	"bos_general_node_2_covert_ops"	1
false	"bos_general_2_logistics"	"bos_general_skills"	nil	32	"bos_general_node_2_logistics"	1
false	"bos_general_2_raiding"	"bos_general_skills"	nil	45	"bos_general_node_2_raiding"	1
false	"bos_general_2_scouting"	"bos_general_skills"	nil	18	"bos_general_node_2_scouting"	1
false	"bos_general_3_guardian"	"bos_general_skills"	nil	18	"bos_general_node_3_guardian"	2
false	"bos_general_3_indomitable_warrior"	"bos_general_skills"	nil	45	"bos_general_node_3_indomitable_warrior"	2
false	"bos_general_3_inspiring_leader"	"bos_general_skills"	nil	5	"bos_general_node_3_inspiring_leader"	2
false	"bos_general_3_vanguard"	"bos_general_skills"	nil	32	"bos_general_node_3_vanguard"	2
false	"bos_general_4_alacrity"	"bos_general_skills"	nil	22	"bos_general_node_4_alacrity"	3
false	"bos_general_4_audacity"	"bos_general_skills"	nil	41	"bos_general_node_4_audacity"	3
false	"bos_general_4_dread"	"bos_general_skills"	nil	49	"bos_general_node_4_dread"	3
