version 2, schema character_skills_tables, guid 001fb237-b070-4a0a-8e04-b16fa934e2f3
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(optstring)
"bos_geisha_attendant"	"bos_geisha_1_attendant"	"Waiting brings its own rewards."	"Attendant"	nil
"bos_geisha_entertainer"	"bos_geisha_1_entertainer"	"Tastes change: now there is whisky."	"Entertainer"	nil
"bos_geisha_grace"	"bos_geisha_2_grace"	"Tread softly in someone's dreams."	"Grace"	nil
"bos_geisha_tradition"	"bos_geisha_2_tradition"	"There is elegance in the old ways."	"Tradition"	nil
"bos_geisha_charmer"	"bos_geisha_3_charmer"	"Some charms are not for everyone."	"Charmer"	nil
"bos_geisha_hostess"	"bos_geisha_3_hostess"	"There is an art in making everyone welcome."	"Hostess"	nil
"bos_geisha_siren"	"bos_geisha_3_siren"	"Some men can drown in the deep pools of beautiful eyes."	"Siren"	nil
"bos_geisha_solacer"	"bos_geisha_3_solacer"	"Comfort comes in many forms."	"Solacer"	nil
"bos_geisha_allure"	"bos_geisha_4_allure"	"A single look can say much."	"Allure"	nil
"bos_geisha_empathy"	"bos_geisha_4_empathy"	"There is much to be learned in the hearts of others."	"Empathy"	nil
"bos_geisha_entourage"	"bos_geisha_4_entourage"	"Many hearts, set aflutter."	"Entourage"	nil
"bos_geisha_wit"	"bos_geisha_4_wit"	"A ready wit saved many a fox."	"Wit"	nil
"bos_geisha_artiste"	"bos_geisha_5_artiste"	"Perfection never looks practiced."	"Artiste"	nil
"bos_geisha_entrepreneur"	"bos_geisha_5_entrepreneur"	"Beauty waits behind a contract."	"Entrepreneur"	nil
"bos_geisha_temptress"	"bos_geisha_5_temptress"	"All the world, offered in an artful blush."	"Temptress"	nil
"bos_general_aggressor"	"bos_general_1_aggressor"	"An enemy who waits to be killed should be hunted."	"Aggressor"	nil
"bos_general_defender"	"bos_general_1_defender"	"An enemy who comes forward to be killed should be welcomed."	"Defender"	nil
"bos_general_covert_operation"	"bos_general_2_covert_ops"	"Not everything worth doing is worth doing openly."	"Covert Operations"	nil
"bos_general_logistics"	"bos_general_2_logistics"	"No man fights if his belly is empty and his feet unshod."	"Logistics"	nil
"bos_general_raiding"	"bos_general_2_raiding"	"Let the enemy pay for the war."	"Raiding"	nil
"bos_general_scouting"	"bos_general_2_scouting"	"The man who does not know where the path leads goes only to his death."	"Scouting"	nil
"bos_general_guardian"	"bos_general_3_guardian"	"Look to the defence of others."	"Guardian"	nil
"bos_general_indomitable_warrior_"	"bos_general_3_indomitable_warrior"	"Nothing can move the heart that has a noble purpose."	"Indomitable Warrior"	nil
"bos_general_inspiring_leader"	"bos_general_3_inspiring_leader"	"The right word will send thousands, willingly, to their deaths."	"Inspiring Leader"	nil
"bos_general_vanguard"	"bos_general_3_vanguard"	"There is virtue in being first."	"Vanguard"	nil
"bos_general_alacrity"	"bos_general_4_alacrity"	"Speed is not the same as haste."	"Alacrity"	nil
"bos_general_audacity"	"bos_general_4_audacity"	"Boldness confuses the enemy if they expect caution."	"Audacity"	nil
"bos_general_dread"	"bos_general_4_dread"	"The enemy's fear is a great ally."	"Dread"	nil
"bos_general_honour"	"bos_general_4_honour"	"The world turns, but there must be a still centre."	"Honour"	nil
"bos_general_offensive"	"bos_general_4_offense"	"Faint hearts fear the dawn."	"Offense"	nil
"bos_general_precision"	"bos_general_4_precision"	"Measure twice, cut once."	"Precision"	nil
"bos_general_presence"	"bos_general_4_presence"	"Command without words."	"Presence"	nil
"bos_general_provision"	"bos_general_4_provision"	"Rice matters as much as bullets."	"Provision"	nil
"bos_general_legendary comander"	"bos_general_5_legendary_commander"	"Legends cannot be destroyed."	"Legendary Commander"	nil
"bos_general_paragon"	"bos_general_5_paragon"	"Fire forges the sword; war, the soul."	"Paragon"	nil
"bos_general_scourge"	"bos_general_5_scourge"	"“Cow after cow, pig after pig…”"	"Scourge"	nil
"bos_ishin-shishi_instigator"	"bos_ishinshishi_1_instigator"	"Say little, and let fools think it was their own idea."	"Instigator"	nil
"bos_ishin-shishi_mediator"	"bos_ishinshishi_1_mediator"	"Keep the peace and win the people."	"Mediator"	nil
"bos_ishin-shishi_connections"	"bos_ishinshishi_2_connections"	"Who you know is always important."	"Connections"	nil
"bos_ishin-shishi_tenacity"	"bos_ishinshishi_2_tenacity"	"The wind does not stop blowing, nor does the tree stop growing."	"Tenacity"	nil
