version 1, schema character_trait_levels_tables, guid 787842b0-0585-4a7a-8efb-e67e88122112
Trait_Level_ID(string)	Level(int)	Trait_IDRef(string)	Threshold(int)
"S2_boshin_all_blokes_maimed_1"	1	"S2_boshin_all_blokes_maimed"	1
"S2_boshin_all_blokes_maimed_2"	2	"S2_boshin_all_blokes_maimed"	3
"S2_boshin_all_blokes_noodles_1"	1	"S2_boshin_all_blokes_noodles"	1
"S2_boshin_all_blokes_noodles_2"	2	"S2_boshin_all_blokes_noodles"	3
"S2_boshin_all_blokes_noodles_3"	3	"S2_boshin_all_blokes_noodles"	5
"S2_boshin_all_blokes_womaniser_1"	1	"S2_boshin_all_blokes_womaniser"	1
"S2_boshin_all_blokes_womaniser_2"	2	"S2_boshin_all_blokes_womaniser"	3
"S2_boshin_all_blokes_womaniser_3"	3	"S2_boshin_all_blokes_womaniser"	6
"S2_boshin_all_blokes_womaniser_agents_1"	1	"S2_boshin_all_blokes_womaniser_agents"	1
"S2_boshin_all_blokes_womaniser_agents_2"	2	"S2_boshin_all_blokes_womaniser_agents"	3
"S2_boshin_all_blokes_womaniser_agents_3"	3	"S2_boshin_all_blokes_womaniser_agents"	6
"S2_boshin_daimyo_cruel_1"	1	"S2_boshin_daimyo_cruel"	1
"S2_boshin_daimyo_cruel_2"	2	"S2_boshin_daimyo_cruel"	3
"S2_boshin_daimyo_cruel_3"	3	"S2_boshin_daimyo_cruel"	6
"S2_boshin_daimyo_foreign_tastes_1"	1	"S2_boshin_daimyo_foreign_tastes"	1
"S2_boshin_daimyo_foreign_tastes_2"	2	"S2_boshin_daimyo_foreign_tastes"	3
"S2_boshin_daimyo_foreign_tastes_3"	3	"S2_boshin_daimyo_foreign_tastes"	6
"S2_boshin_daimyo_paranoia_1"	1	"S2_boshin_daimyo_paranoia"	1
"S2_boshin_daimyo_paranoia_2"	2	"S2_boshin_daimyo_paranoia"	3
"S2_boshin_daimyo_paranoia_3"	3	"S2_boshin_daimyo_paranoia"	6
"S2_boshin_daimyo_peace_1"	1	"S2_boshin_daimyo_peace"	1
"S2_boshin_daimyo_peace_2"	2	"S2_boshin_daimyo_peace"	3
"S2_boshin_daimyo_peace_3"	3	"S2_boshin_daimyo_peace"	6
"S2_boshin_daimyo_protected_1"	1	"S2_boshin_daimyo_protected"	1
"S2_boshin_daimyo_protected_2"	2	"S2_boshin_daimyo_protected"	3
"S2_boshin_daimyo_protected_3"	3	"S2_boshin_daimyo_protected"	6
"S2_boshin_daimyo_summer_son_1"	1	"S2_boshin_daimyo_summer_son"	1
"S2_boshin_daimyo_uncouth_1"	1	"S2_boshin_daimyo_uncouth"	1
"S2_boshin_daimyo_uncouth_2"	2	"S2_boshin_daimyo_uncouth"	3
"S2_boshin_daimyo_uncouth_3"	3	"S2_boshin_daimyo_uncouth"	6
"S2_boshin_daimyo_unjust_1"	1	"S2_boshin_daimyo_unjust"	1
"S2_boshin_daimyo_unjust_2"	2	"S2_boshin_daimyo_unjust"	3
"S2_boshin_daimyo_unjust_3"	3	"S2_boshin_daimyo_unjust"	6
"S2_boshin_daimyo_winter_son_1"	1	"S2_boshin_daimyo_winter_son"	1
"S2_boshin_geisha_maimed_1"	1	"S2_boshin_geisha_maimed"	1
"S2_boshin_geisha_maimed_2"	2	"S2_boshin_geisha_maimed"	3
"S2_boshin_geisha_new_tricks_01"	1	"S2_boshin_geisha_new_tricks"	1
"S2_boshin_geisha_new_tricks_02"	2	"S2_boshin_geisha_new_tricks"	3
"S2_boshin_general_ambition_1"	1	"S2_boshin_general_ambition"	1
"S2_boshin_general_ambition_2"	2	"S2_boshin_general_ambition"	3
"S2_boshin_general_ambition_3"	3	"S2_boshin_general_ambition"	6
"S2_boshin_general_bloodthirsty_1"	1	"S2_boshin_general_bloodthirsty"	1
"S2_boshin_general_bloodthirsty_2"	2	"S2_boshin_general_bloodthirsty"	3
"S2_boshin_general_bloodthirsty_3"	3	"S2_boshin_general_bloodthirsty"	5
"S2_boshin_general_brave_1"	1	"S2_boshin_general_brave"	2
"S2_boshin_general_brave_2"	2	"S2_boshin_general_brave"	4
"S2_boshin_general_brave_3"	3	"S2_boshin_general_brave"	7
"S2_boshin_general_conservative_01"	1	"S2_boshin_general_conservative"	1
"S2_boshin_general_conservative_02"	2	"S2_boshin_general_conservative"	3
"S2_boshin_general_conservative_03"	3	"S2_boshin_general_conservative"	6
"S2_boshin_general_coward_1"	1	"S2_boshin_general_coward"	2
"S2_boshin_general_coward_2"	2	"S2_boshin_general_coward"	4
"S2_boshin_general_coward_3"	3	"S2_boshin_general_coward"	7
"S2_boshin_general_drunkard_1"	1	"S2_boshin_general_drunkard"	30
"S2_boshin_general_drunkard_2"	2	"S2_boshin_general_drunkard"	50
"S2_boshin_general_drunkard_3"	3	"S2_boshin_general_drunkard"	70
"S2_boshin_general_drunkard_4"	4	"S2_boshin_general_drunkard"	35
"S2_boshin_general_drunkard_5"	5	"S2_boshin_general_drunkard"	40
"S2_boshin_general_loyal_1"	1	"S2_boshin_general_loyal"	3
"S2_boshin_general_loyal_2"	2	"S2_boshin_general_loyal"	6
"S2_boshin_general_loyal_3"	3	"S2_boshin_general_loyal"	9
"S2_boshin_general_mad_1"	1	"S2_boshin_general_mad"	2
"S2_boshin_general_mad_2"	2	"S2_boshin_general_mad"	4
"S2_boshin_general_mad_3"	3	"S2_boshin_general_mad"	6
"S2_boshin_general_mad_grief_1"	1	"S2_boshin_general_mad_grief"	2
"S2_boshin_general_mad_grief_2"	2	"S2_boshin_general_mad_grief"	4
"S2_boshin_general_mad_grief_3"	3	"S2_boshin_general_mad_grief"	6
"S2_boshin_general_new_toys_01"	1	"S2_boshin_general_new_toys"	1
"S2_boshin_general_new_toys_02"	2	"S2_boshin_general_new_toys"	4
"S2_boshin_general_new_toys_03"	3	"S2_boshin_general_new_toys"	8
"S2_boshin_general_nocturnal_1"	1	"S2_boshin_general_nocturnal"	1
