version 1, schema commodities_tables, guid afec415f-ce73-4920-8874-c3123be3e7db
Commodity_ID(string)	Base_Prize(float)	Max_Prize_modifier(float)
"res_bos_coal"	29	1
"res_bos_copper"	23	1
"res_bos_cotton"	19	1
"res_bos_iron"	20	1
"res_bos_machines"	26	1
"res_bos_silk"	17	1
"res_bos_tea"	17	1
"res_coffee"	16	1.3
"res_cotton"	24	1
"res_furs"	18	1.1
"res_gem_crafts"	40	1
"res_gem_iron"	22	1
"res_gem_scrolls"	35	1
"res_gem_silk"	18	1
"res_gem_wood"	20	1
"res_ivory"	48	1
"res_sho_cotton"	25	1
"res_sho_crafts"	40	1
"res_sho_horses"	25	1
"res_sho_iron"	30	1
"res_sho_medicine"	35	1
"res_sho_silk"	30	1
"res_sho_stone"	20	1
"res_sho_wood"	20	1
"res_spices"	32	1.1
"res_sugar"	24	1.2
"res_tea"	22	1.2
"res_tobacco"	22	0.7
