version 1, schema cursors_tables, guid e735cdc6-c5d9-404e-8703-f1c4e3787117
Cursor_action(string)	Icon(string)	unknown3(int)	unknown4(int)	unknown5(float)	unknown6(float)	unknown7(boolean)	unknown8(boolean)	unknown9(int)	unknown10(int)
"action"	"data/ui/cursors/attk0000"	1	25	0	0	false	false	48	48
"agent_action"	"data/ui/cursors/depress_glow0000"	1	25	0	0	false	false	42	42
"agent_action_down"	"data/ui/cursors/depress_glow"	9	25	0	0	false	false	42	42
"agent_action_multimove"	"data/ui/cursors/agent_action_multimove0000"	1	25	0	0	false	false	42	42
"agent_action_multimove_down"	"data/ui/cursors/agent_action_multimove"	10	25	0	0	false	false	42	42
"attack"	"data/ui/cursors/attk0000"	1	25	0	0	false	false	48	48
"attack_building"	"data/ui/cursors/target_building0000"	1	25	0	0	false	false	48	48
"attack_building_down"	"data/ui/cursors/target_building"	9	25	0	0	false	false	48	48
"attack_building_oor"	"data/ui/cursors/target_building0000"	1	25	0	0	false	false	48	48
"attack_building_oor_down"	"data/ui/cursors/target_building"	9	25	0	0	false	false	48	48
"attack_down"	"data/ui/cursors/attk"	6	25	0	0	false	false	48	48
"attack_oor"	"data/ui/cursors/att_OOR0000"	1	25	0	0	false	false	48	48
"attack_oor_click"	"data/ui/cursors/att_OOR"	6	25	0	0	false	false	48	48
"bombard"	"data/ui/cursors/bombard"	1	25	0	0	false	false	48	48
"bombard_battle"	"data/ui/cursors/bombard"	1	25	0	0	false	false	48	48
"bombard_or_agent"	"data/ui/cursors/bombard"	1	25	0	0	false	false	48	48
"bombard_or_attack"	"data/ui/cursors/bombard"	1	25	0	0	false	false	48	48
"burn_building"	"data/ui/cursors/burn_building0000"	1	25	0	0	false	false	48	48
"burn_building_down"	"data/ui/cursors/burn_building"	9	25	0	0	false	false	48	48
"busy"	"data/ui/cursors/loading0000"	1	25	0	0	false	false	32	32
"can_capture"	"data/ui/cursors/capture0000"	1	25	0	0	false	false	48	48
"can_capture_down"	"data/ui/cursors/capture"	9	25	0	0	false	false	48	48
"cannot_capture"	"data/ui/cursors/cannot_capture0000"	1	25	0	0	false	false	48	48
"cannot_capture_down"	"data/ui/cursors/cannot_capture"	9	25	0	0	false	false	48	48
"click_down"	"data/ui/cursors/depress"	6	25	0	0	false	false	32	32
"defend_building"	"data/ui/cursors/move_build0000"	1	25	0	0	false	false	48	48
"defend_building_click"	"data/ui/cursors/move_build"	6	25	0	0	false	false	32	32
"dismount_capture"	"data/ui/cursors/cannot_capture0000"	1	25	0	0	false	false	48	48
"dismount_capture_down "	"data/ui/cursors/cannot_capture"	9	25	0	0	false	false	48	48
"drag_units"	"data/ui/cursors/drag_units"	1	25	0	0	false	false	48	48
"exchange"	"data/ui/cursors/exchange0000"	1	25	0	0	false	false	48	48
"exchange_down"	"data/ui/cursors/exchange"	9	25	0	0	false	false	48	48
"exchange_multimove"	"data/ui/cursors/exchange_multimove0000"	1	25	0	0	false	false	48	48
"exchange_multimove_down"	"data/ui/cursors/exchange_multimove"	9	25	0	0	false	false	48	48
"grab"	"data/ui/cursors/grabhand"	1	25	0	0	false	false	32	32
"grabbed"	"data/ui/cursors/grab_eng0000"	1	25	0	0	false	false	32	32
"group_script_attack"	"data/ui/cursors/AI_attack0000"	1	25	0	0	false	false	48	48
"group_script_attack_down"	"data/ui/cursors/AI_attack"	16	25	0	0	false	false	48	48
"group_script_defend"	"data/ui/cursors/AI_defend0000"	1	25	0	0	false	false	48	48
"group_script_defend_down"	"data/ui/cursors/AI_defend"	16	25	0	0	false	false	48	48
"inspire"	"data/ui/cursors/inspire0000"	1	25	0	0	false	false	48	48
"inspire_click"	"data/ui/cursors/inspire"	9	25	0	0	false	false	48	48
"invalid"	"data/ui/cursors/no_action"	1	25	0	0	false	false	48	48
"marry"	"data/ui/cursors/marry0000"	1	25	0	0	false	false	48	48
"melee"	"data/ui/cursors/melee0000"	1	25	0	0	false	false	48	48
"melee_down"	"data/ui/cursors/melee"	16	25	0	0	false	false	48	48
"melee_multimove"	"data/ui/cursors/melee_multimove0000"	1	25	0	0	false	false	48	48
"melee_multimove_down"	"data/ui/cursors/melee_multimove"	16	25	0	0	false	false	48	48
"move_click"	"data/ui/cursors/move_to_inrange"	10	25	0	0	false	false	48	48
"move_to"	"data/ui/cursors/move_to_inrange0000"	1	25	0	0	false	false	48	48
"move_to_inrange"	"data/ui/cursors/move_to_inrange0000"	1	25	0	0	false	false	48	48
"move_to_inrange_click"	"data/ui/cursors/move_to_inrange"	10	25	0	0	false	false	48	48
"move_to_multimove"	"data/ui/cursors/move_to_multimove0000"	1	25	0	0	false	false	48	48
"move_to_multimove_down"	"data/ui/cursors/move_to_multimove"	10	25	0	0	false	false	48	48
"move_to_outrange"	"data/ui/cursors/move_to_outrange0000"	1	25	0	0	false	false	48	48
"move_to_outrange_click"	"data/ui/cursors/move_to_outrange"	10	25	0	0	false	false	48	48
"normal"	"data/ui/cursors/depress0000"	1	25	0	0	false	false	32	32
"occupy_zone"	"data/ui/cursors/occupy_zone0000"	1	25	0	0	false	false	48	48
"occupy_zone_down"	"data/ui/cursors/occupy_zone"	9	25	0	0	false	false	48	48
"ping_attack"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"ping_attack_down"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"ping_defend"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"ping_defend_down\t"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"ping_move"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"ping_move_down"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"ping_reinforce"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"ping_reinforce_down"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"ping_standard"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"ping_standard_down"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"rally_position"	"data/ui/cursors/place_marker0000"	1	25	0	0	false	false	48	48
"rally_position_down"	"data/ui/cursors/place_marker"	9	25	0	0	false	false	48	48
"research"	"data/ui/cursors/research0000"	1	25	0	0	false	false	48	48
"research_click"	"data/ui/cursors/research"	11	25	0	0	false	false	48	48
"scale_wall"	"data/ui/cursors/scale_wall0000"	1	25	0	0	false	false	48	48
"scale_wall_click"	"data/ui/cursors/scale_wall"	9	25	0	0	false	false	48	48
"scaled_melee"	"data/ui/cursors/scaled_melee0000"	1	25	0	0	false	false	32	32
"select"	"data/ui/cursors/depress0000"	1	25	0	0	false	false	32	32
"select_click"	"data/ui/cursors/depress"	9	25	0	0	false	false	32	32
"select_mini"	"data/ui/cursors/depress0000"	1	25	0	0	false	false	16	16
"select_mini_click"	"data/ui/cursors/depress"	10	25	0	0	false	false	16	16
"take_cover_behind_wall"	"data/ui/cursors/take_cover0000"	1	25	0	0	false	false	32	32
"take_cover_behind_wall_click"	"data/ui/cursors/take_cover"	8	25	0	0	false	false	32	32
"terrain_forest"	"data/ui/cursors/terrain_forest0000"	1	25	0	0	false	false	48	48
"terrain_forest_down"	"data/ui/cursors/terrain_forest"	9	25	0	0	false	false	48	48
"terrain_forest_noselect"	"data/ui/cursors/terrain_forest_noselect"	1	25	0	0	false	false	48	48
"terrain_road"	"data/ui/cursors/terrain_road0000"	1	25	0	0	false	false	48	48
"terrain_road_down"	"data/ui/cursors/terrain_road"	9	25	0	0	false	false	48	48
"terrain_road_noselect"	"data/ui/cursors/terrain_road_noselect"	1	25	0	0	false	false	48	48
"terrain_roughground"	"data/ui/cursors/terrain_rough0000"	1	25	0	0	false	false	48	48
"terrain_roughground_down"	"data/ui/cursors/terrain_rough"	9	25	0	0	false	false	48	48
"terrain_roughground_noselect"	"data/ui/cursors/terrain_rough_noselect"	1	25	0	0	false	false	48	48
"terrain_scrub"	"data/ui/cursors/terrain_scrub0000"	1	25	0	0	false	false	48	48
"terrain_scrub_down"	"data/ui/cursors/terrain_scrub"	9	25	0	0	false	false	48	48
"terrain_scrub_noselect"	"data/ui/cursors/terrain_scrub_noselect"	1	25	0	0	false	false	48	48
"terrain_softground"	"data/ui/cursors/terrain_soft0000"	1	25	0	0	false	false	48	48
"terrain_softground_down"	"data/ui/cursors/terrain_soft"	9	25	0	0	false	false	48	48
"terrain_softground_noselect"	"data/ui/cursors/terrain_soft_noselect"	1	25	0	0	false	false	48	48
"terrain_water"	"data/ui/cursors/terrain_water0000"	1	25	0	0	false	false	48	48
"terrain_water_down"	"data/ui/cursors/terrain_water"	9	25	0	0	false	false	48	48
"terrain_water_noselect"	"data/ui/cursors/terrain_water_noselect"	1	25	0	0	false	false	48	48
