version 1, schema effect_bonus_value_basic_junction_tables, guid 9a755d6b-966e-44f7-ac25-77f7ae89b7a0
Effect_IDRef(string)	Bonus(string)
"Movement_Points_All_Land"	"management_army"
"Movement_Points_All_Land"	"mod_land_movement_campaign"
"Movement_Points_All"	"mod_land_movement_campaign"
"Movement_Points_All"	"mod_ship_movement_campaign"
"admin_cost_mod"	"admin_cost_mod"
"agent_attribute_cunning_apprehension"	"character_situation_cunning_hunt_down"
"agent_attribute_cunning_bribery"	"character_situation_cunning_bribe"
"agent_attribute_cunning_counterspying"	"character_situation_cunning_counterspy"
"agent_attribute_cunning_oversee_army"	"character_situation_cunning_oversee_army"
"agent_attribute_cunning_oversee_town"	"character_situation_cunning_oversee_town"
"agent_attribute_subterfuge_assassination"	"character_situation_subterfuge_assassination"
"agent_attribute_subterfuge_field_scout"	"character_situation_subterfuge_field_scout"
"agent_attribute_subterfuge_sabotage_army"	"character_situation_subterfuge_sabotage_army"
"agent_attribute_subterfuge_sabotage_building"	"character_situation_subterfuge_sabotage_building"
"agent_attribute_subterfuge_spy_network"	"character_situation_subterfuge_spy_network"
"agent_attribute_subterfuge_spying"	"character_situation_subterfuge_spying"
"agent_attribute_zeal_conversion"	"character_situation_conversion"
"agent_attribute_zeal_convert_character"	"character_situation_zeal_convert_character"
"agent_attribute_zeal_demoralise_army"	"character_situation_zeal_demoralise_army"
"agent_attribute_zeal_incite_unrest"	"character_situation_zeal_incite_unrest"
"agent_attribute_zeal_inspire_army"	"character_situation_zeal_inspire_army"
"agent_attribute_zeal_inspire_town"	"character_situation_zeal_inspire_town"
"agent_general_refil_rate_1"	"character_recruitment_general_refill_1"
"agent_general_refil_rate_2"	"character_recruitment_general_refill_2"
"agent_metsuke_release_time_mod"	"recuperation_time_mod"
"agent_ninja_stealth_mod"	"stealth_mod"
"agent_ninja_wounding_time_mod"	"recuperation_time_mod"
"agent_stealth_detection_mod"	"passive_detection"
"ai_region_resistance_modifier"	"ai_region_resistance_modifier"
"attrition_mod"	"attrition_increase"
"bos_agent_attribute_geisha_distract_army"	"character_situation_subterfuge_sabotage_army"
"bos_agent_attribute_geisha_distract_garrison"	"character_situation_boshin_distract_garrison"
"bos_agent_attribute_geisha_enchant_enemy"	"character_situation_gempei_seducing"
"bos_agent_attribute_geisha_entertain_nobles"	"character_situation_gempei_entertaining_nobles"
"bos_agent_attribute_geisha_inspire_troops"	"character_situation_zeal_inspire_army"
"bos_agent_attribute_geisha_performance"	"character_situation_boshin_perform"
"bos_agent_attribute_ishin_shinsen_assassination"	"character_situation_subterfuge_assassination"
"bos_agent_attribute_ishin_shinsen_conversion"	"character_situation_conversion"
"bos_agent_attribute_ishin_shinsen_counterspying"	"character_situation_cunning_counterspy"
"bos_agent_attribute_ishin_shinsen_incite_revolt"	"character_situation_zeal_incite_unrest"
"bos_agent_attribute_ishinshishi_instil_fervour"	"character_situation_cunning_oversee_army"
"bos_agent_attribute_ishinshishi_persuade_troops"	"character_situation_cunning_bribe"
"bos_agent_attribute_ishinshishi_rally_populace"	"character_situation_cunning_oversee_town"
"bos_agent_attribute_shinobi_army_sabotage"	"character_situation_subterfuge_sabotage_army"
"bos_agent_attribute_shinobi_assassination"	"character_situation_subterfuge_assassination"
"bos_agent_attribute_shinobi_building_sabotage"	"character_situation_subterfuge_sabotage_building"
"bos_agent_attribute_shinobi_scouting"	"character_situation_subterfuge_field_scout"
"bos_agent_attribute_shinobi_spy_network"	"character_situation_subterfuge_spy_network"
"bos_agent_attribute_shinobi_spying"	"character_situation_subterfuge_spying"
"bos_agent_attribute_shinsengumi_coerce_troops"	"character_situation_cunning_bribe"
"bos_agent_attribute_shinsengumi_instil_discipline"	"character_situation_cunning_oversee_army"
"bos_agent_attribute_shinsengumi_subdue_dissidents"	"character_situation_cunning_oversee_town"
"bos_agent_attribute_veteran_administration"	"character_situation_boshin_military_administration"
"bos_agent_attribute_veteran_building_sabotage"	"character_situation_subterfuge_sabotage_building"
"bos_agent_attribute_veteran_harass"	"character_situation_subterfuge_sabotage_army"
"bos_agent_attribute_veteran_single_combat"	"character_situation_subterfuge_assassination"
"bos_agent_attribute_veteran_supervise_recruitment"	"character_situation_boshin_supervise_recruitment"
"bos_agent_attribute_veteran_train_troops"	"character_situation_boshin_train_troops"
"bos_agent_geisha_happiness_bonus"	"gentleman_happiness_bonus"
"bos_agent_mod_action_fail_cost"	"agent_action_failure_cost_mod"
