version 1, schema effect_bonus_value_building_chain_junctions_tables, guid ab5e672a-e752-48ec-97e6-375f43c48968
Effect_IDRef(string)	effect_bonus(string)	Building_x0020_Chain(string)
"bos_ancillary_construction_cost_mod_indsustry"	"mod_cost"	"bos_industry"
"bos_ancillary_construction_cost_mod_rails"	"mod_cost"	"bos_region_specialty_railroad"
"bos_ancillary_construction_time_mod_rails"	"mod_build_time"	"bos_region_specialty_railroad"
"bos_clan_trait_aizu_castle_cost_mod"	"mod_cost"	"bos_castle"
"bos_clan_trait_choshu_military_cost_mod"	"mod_cost"	"bos_artillery"
"bos_clan_trait_choshu_military_cost_mod"	"mod_cost"	"bos_defences"
"bos_clan_trait_choshu_military_cost_mod"	"mod_cost"	"bos_modern"
"bos_clan_trait_choshu_military_cost_mod"	"mod_cost"	"bos_port"
"bos_clan_trait_nagaoka_criminal_income_mod"	"mod_gdp"	"bos_criminal"
"bos_clan_trait_saga_growth_industry_mod"	"mod_tw_growth"	"bos_industry"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_criminal"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_foundation"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_infrastucture"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_region_specialty_holy_site"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_region_specialty_railroad"
"bos_event_building_cost_mod_civil"	"mod_cost"	"bos_region_specialty_smugglers"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_artillery"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_buff"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_castle"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_defences"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_modern"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_region_specialty_smithing"
"bos_event_building_cost_mod_military"	"mod_cost"	"bos_traditional"
"bos_event_building_cost_mod_propaganda_local"	"mod_cost"	"bos_propaganda"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_criminal"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_foundation"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_infrastucture"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_region_specialty_holy_site"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_region_specialty_railroad"
"bos_event_building_time_mod_civil"	"mod_build_time"	"bos_region_specialty_smugglers"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_artillery"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_buff"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_castle"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_defences"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_modern"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_region_specialty_smithing"
"bos_event_building_time_mod_military"	"mod_build_time"	"bos_traditional"
"bos_event_building_time_mod_propaganda_local"	"mod_build_time"	"bos_propaganda"
"bos_event_gdp_mod_commerce_local"	"mod_gdp"	"bos_criminal"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_farming"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_region_specialty_coal_mining"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_region_specialty_copper_mining"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_region_specialty_gold_mining"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_region_specialty_iron_mining"
"bos_event_gdp_mod_farms_mines"	"mod_gdp"	"bos_region_specialty_silver_mining"
"bos_event_gdp_mod_industry"	"mod_gdp"	"bos_industry"
"bos_event_gdp_mod_industry"	"mod_gdp"	"bos_region_specialty_clay"
"bos_event_gdp_mod_industry"	"mod_gdp"	"bos_region_specialty_silk"
"bos_event_gdp_mod_industry"	"mod_gdp"	"bos_region_specialty_smithing"
"bos_event_gdp_mod_province_capital"	"mod_gdp"	"bos_criminal"
"bos_event_gdp_mod_province_capital"	"mod_gdp"	"bos_foundation"
"bos_event_gdp_mod_province_capital"	"mod_gdp"	"bos_industry"
"bos_event_gdp_mod_province_capital"	"mod_gdp"	"bos_infrastucture"
"bos_event_growth_mod_trade_ports"	"mod_tw_growth"	"bos_port"
"bos_geisha_mod_culture_chain"	"mod_gdp"	"bos_criminal"
"bos_tech_building_farm_cost_mod"	"mod_cost"	"bos_farming"
"bos_tech_building_port_cost_mod"	"mod_cost"	"bos_port"
"bos_tech_building_settlement_cost_mod"	"mod_cost"	"bos_foundation"
"bos_tech_clan_income_farm_mod"	"mod_gdp"	"bos_farming"
"building_mod_income_farms"	"mod_gdp"	"GEM_Farming"
"building_mod_income_farms"	"mod_gdp"	"SHO_Farming"
"clan_trait_chosokabe_superior_farms"	"mod_gdp"	"SHO_Farming"
"clan_trait_hojo_cheap_castle"	"mod_cost"	"SHO_Castle"
"gdp_mod_farms_global"	"mod_gdp"	"GEM_Farming"
"gdp_mod_farms_global"	"mod_gdp"	"SHO_Farming"
"gdp_mod_farms"	"mod_gdp"	"GEM_Farming"
"gdp_mod_farms"	"mod_gdp"	"SHO_Farming"
"gdp_mod_mines"	"mod_gdp"	"GEM_Region_Specialty_Gold_Mining"
"gdp_mod_mines"	"mod_gdp"	"GEM_Region_Specialty_Iron_Mining"
"gdp_mod_mines"	"mod_gdp"	"SHO_Region_Specialty_Gold_Mining"
"gdp_mod_mines"	"mod_gdp"	"SHO_Region_Specialty_Iron_Mining"
"gdp_mod_mines"	"mod_gdp"	"SHO_Region_Specialty_Stone"
"gdp_mod_province_capital"	"mod_gdp"	"GEM_Buddhist"
"gdp_mod_province_capital"	"mod_gdp"	"GEM_Economy"
"gdp_mod_province_capital"	"mod_gdp"	"GEM_Government"
"gdp_mod_province_capital"	"mod_gdp"	"SHO_Economy"
"gdp_mod_province_capital"	"mod_gdp"	"SHO_Stealth"
"mod_building_construction_cost_castle"	"mod_cost"	"GEM_Castle"
"mod_building_construction_cost_castle"	"mod_cost"	"SHO_Castle"
"tech_building_castle_constr_mod"	"mod_build_time"	"GEM_Castle"
"tech_building_castle_constr_mod"	"mod_build_time"	"SHO_Castle"
"tech_building_castle_constr_mod"	"mod_build_time"	"bos_castle"
"tech_building_castle_cost_mod"	"mod_cost"	"GEM_Castle"
"tech_building_castle_cost_mod"	"mod_cost"	"SHO_Castle"
"tech_building_castle_cost_mod"	"mod_cost"	"bos_castle"
"tech_clan_income_farm_mod"	"mod_gdp"	"GEM_Farming"
"tech_clan_income_farm_mod"	"mod_gdp"	"SHO_Farming"
"tech_clan_income_mine_mod"	"mod_gdp"	"GEM_Region_Specialty_Gold_Mining"
"tech_clan_income_mine_mod"	"mod_gdp"	"GEM_Region_Specialty_Iron_Mining"
"tech_clan_income_mine_mod"	"mod_gdp"	"SHO_Region_Specialty_Gold_Mining"
"tech_clan_income_mine_mod"	"mod_gdp"	"SHO_Region_Specialty_Iron_Mining"
"tech_clan_income_mine_mod"	"mod_gdp"	"SHO_Region_Specialty_Stone"
"tw_growth_mod_infrastructure"	"mod_tw_growth"	"GEM_Infrastructure"
"tw_growth_mod_infrastructure"	"mod_tw_growth"	"SHO_Infrastructure"
"tw_growth_mod_nanban_port"	"mod_tw_growth"	"SHO_Port"
"tw_growth_mod_port_trade"	"mod_tw_growth"	"GEM_Port"
"tw_growth_mod_port_trade"	"mod_tw_growth"	"SHO_Port"
