version 1, schema effect_bonus_value_religion_junction_tables, guid 3ac31a1f-f2cc-4bb6-9f68-cace938bc0fb
unknown1(string)	Bonus_effect(string)	Religion_ID(string)
"bos_conversion_imperial_osmosis"	"osmotic_conversion"	"inf_bos_imperial"
"bos_conversion_imperial"	"conversion"	"inf_bos_imperial"
"bos_conversion_independent_osmosis"	"osmotic_conversion"	"inf_bos_self"
"bos_conversion_independent"	"conversion"	"inf_bos_self"
"bos_conversion_shogunate_osmosis"	"osmotic_conversion"	"inf_bos_shogunate"
"bos_conversion_shogunate"	"conversion"	"inf_bos_shogunate"
"conversion_buddhist_osmosis"	"osmotic_conversion"	"rel_buddhist"
"conversion_buddhist"	"conversion"	"rel_buddhist"
"conversion_catholic_osmosis"	"osmotic_conversion"	"rel_catholic"
"conversion_catholic"	"conversion"	"rel_catholic"
"conversion_ikko_osmosis"	"osmotic_conversion"	"rel_ikko"
"conversion_ikko"	"conversion"	"rel_ikko"
"gem_conversion_clan_influence_gem_fujiwara"	"conversion"	"inf_gem_fujiwara"
"gem_conversion_clan_influence_gem_minamoto"	"conversion"	"inf_gem_minamoto"
"gem_conversion_clan_influence_gem_taira"	"conversion"	"inf_gem_taira"
"gem_conversion_clan_influence_osmosis_gem_fujiwara"	"osmotic_conversion"	"inf_gem_fujiwara"
"gem_conversion_clan_influence_osmosis_gem_minamoto"	"osmotic_conversion"	"inf_gem_minamoto"
"gem_conversion_clan_influence_osmosis_gem_taira"	"osmotic_conversion"	"inf_gem_taira"
"gem_mod_conversion_rate_fujiwara_global"	"conversion"	"inf_gem_fujiwara"
"gem_mod_conversion_rate_minamoto_global"	"conversion"	"inf_gem_minamoto"
"gem_mod_conversion_rate_taira_global"	"conversion"	"inf_gem_taira"
"mod_religion_conversion_rate_buddhist_global"	"conversion"	"rel_buddhist"
"mod_religion_conversion_rate_buddhist"	"conversion"	"rel_buddhist"
"mod_religion_conversion_rate_christianity_global"	"conversion"	"rel_catholic"
"mod_religion_conversion_rate_christianity"	"conversion"	"rel_catholic"
"tech_rel_converserion_buddhist_mod"	"conversion"	"rel_buddhist"
