version 1, schema effect_bonus_value_unit_caste_junctions_tables, guid 070196ee-153a-494a-aa61-93dbc19ec008
unknown1(string)	unknown2(string)	unknown3(string)
"unit_stat_bonus_armour_mod"	"generic"	"bos_mod_unit_armour_all_local"
"unit_stat_bonus_armour_mod"	"modern"	"bos_mod_unit_armour_all_local"
"unit_stat_bonus_armour_mod"	"traditional"	"bos_mod_unit_armour_all_local"
"unit_stat_bonus_melee_attack_mod"	"generic"	"bos_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"modern"	"bos_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"traditional"	"bos_mod_unit_melee_all_local"
"morale"	"ashigaru"	"clan_trait_oda_ashigaru_morale_bonus"
"upkeep_mod"	"samurai"	"gem_clan_trait_minamoto_kamakura_upkeep"
"upkeep_mod"	"samurai_hero"	"gem_clan_trait_minamoto_kamakura_upkeep"
"unit_stat_bonus_armour_mod"	"ashigaru"	"gem_mod_unit_armour_all"
"unit_stat_bonus_armour_mod"	"female_hero"	"gem_mod_unit_armour_all"
"unit_stat_bonus_armour_mod"	"monk_hero"	"gem_mod_unit_armour_all"
"unit_stat_bonus_armour_mod"	"samurai"	"gem_mod_unit_armour_all"
"unit_stat_bonus_armour_mod"	"samurai_hero"	"gem_mod_unit_armour_all"
"unit_stat_bonus_armour_mod"	"special"	"gem_mod_unit_armour_all"
"unit_stat_bonus_melee_attack_mod"	"ashigaru"	"gem_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"female_hero"	"gem_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"monk_hero"	"gem_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"samurai"	"gem_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"samurai_hero"	"gem_mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"special"	"gem_mod_unit_melee_all_local"
"morale"	"ashigaru"	"general_ashigaru_bonus"
"unit_stat_bonus_armour_mod"	"ashigaru"	"mod_unit_armour_all_local"
"unit_stat_bonus_armour_mod"	"samurai"	"mod_unit_armour_all_local"
"unit_stat_bonus_armour_mod"	"special"	"mod_unit_armour_all_local"
"unit_stat_bonus_armour_mod"	"ashigaru"	"mod_unit_armour_ashigaru"
"unit_stat_bonus_armour_mod"	"samurai"	"mod_unit_armour_samurai"
"unit_stat_bonus_armour_mod"	"special"	"mod_unit_armour_special"
"unit_stat_bonus_melee_attack_mod"	"ashigaru"	"mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"samurai"	"mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"special"	"mod_unit_melee_all_local"
"unit_stat_bonus_melee_attack_mod"	"ashigaru"	"mod_unit_melee_ashigaru"
"unit_stat_bonus_melee_attack_mod"	"samurai"	"mod_unit_melee_samurai"
"unit_stat_bonus_melee_attack_mod"	"special"	"mod_unit_melee_special"
"unit_xp_mod"	"ashigaru"	"mod_unit_xp_ashigaru"
"unit_xp_mod"	"samurai"	"mod_unit_xp_samurai"
