version 1, schema effect_bonus_value_unit_category_junction_tables, guid db50d061-872a-4ed1-8ea0-ec1b564fde39
Trait_effect(string)	Bonus_ID(string)	unit_category(string)
"Movement_Points_All_Land"	"movement_mod"	"artillery"
"Movement_Points_All_Land"	"movement_mod"	"cavalry"
"Movement_Points_All_Land"	"movement_mod"	"dragoons"
"Movement_Points_All_Land"	"movement_mod"	"elephants"
"Movement_Points_All_Land"	"movement_mod"	"infantry"
"Movement_Points_All"	"movement_mod"	"artillery"
"Movement_Points_All"	"movement_mod"	"cavalry"
"Movement_Points_All"	"movement_mod"	"dragoons"
"Movement_Points_All"	"movement_mod"	"elephants"
"Movement_Points_All"	"movement_mod"	"infantry"
"Movement_Points_All"	"movement_mod"	"naval_auxiliary"
"Movement_Points_All"	"movement_mod"	"naval_frigate"
"Movement_Points_All"	"movement_mod"	"naval_galley"
"Movement_Points_All"	"movement_mod"	"naval_invasion_fleet"
"Movement_Points_All"	"movement_mod"	"naval_line_of_battle"
"Movement_Points_All"	"movement_mod"	"naval_merchant"
"Movement_Points_All"	"movement_mod"	"naval_specialist"
"bos_agent_mod_army_charge_bonus"	"charge_bonus"	"artillery"
"bos_agent_mod_army_charge_bonus"	"charge_bonus"	"cavalry"
"bos_agent_mod_army_charge_bonus"	"charge_bonus"	"infantry_melee"
"bos_agent_mod_army_charge_bonus"	"charge_bonus"	"infantry_ranged"
"bos_agent_mod_army_melee"	"melee_attack_mod"	"cavalry"
"bos_agent_mod_army_melee"	"melee_attack_mod"	"infantry_melee"
"bos_agent_mod_army_melee"	"melee_attack_mod"	"infantry_ranged"
"bos_ancillary_charge_bonus_mod_cavalry"	"charge_bonus"	"cavalry"
"bos_clan_trait_chosu_charge"	"charge_bonus"	"cavalry"
"bos_clan_trait_chosu_charge"	"charge_bonus"	"infantry_melee"
"bos_clan_trait_chosu_charge"	"charge_bonus"	"infantry_ranged"
"bos_clan_trait_jozai_battle_movement_mod"	"mod_land_movement_battle"	"cavalry"
"bos_clan_trait_jozai_battle_movement_mod"	"mod_land_movement_battle"	"infantry_melee"
"bos_clan_trait_jozai_battle_movement_mod"	"mod_land_movement_battle"	"infantry_ranged"
"bos_clan_trait_obama_land_upkeep"	"upkeep_mod"	"artillery"
"bos_clan_trait_obama_land_upkeep"	"upkeep_mod"	"cavalry"
"bos_clan_trait_obama_land_upkeep"	"upkeep_mod"	"infantry_melee"
"bos_clan_trait_obama_land_upkeep"	"upkeep_mod"	"infantry_ranged"
"bos_clan_trait_saga_ship_cost_mod"	"cost_mod"	"naval_heavy"
"bos_clan_trait_saga_ship_cost_mod"	"cost_mod"	"naval_light"
"bos_clan_trait_saga_ship_cost_mod"	"cost_mod"	"naval_medium"
"bos_clan_trait_saga_ship_cost_mod"	"upkeep_mod"	"naval_heavy"
"bos_clan_trait_saga_ship_cost_mod"	"upkeep_mod"	"naval_light"
"bos_clan_trait_saga_ship_cost_mod"	"upkeep_mod"	"naval_medium"
"bos_clan_trait_tosa_ship_xp_mod"	"unit_xp_mod"	"naval_heavy"
"bos_clan_trait_tosa_ship_xp_mod"	"unit_xp_mod"	"naval_light"
"bos_clan_trait_tosa_ship_xp_mod"	"unit_xp_mod"	"naval_medium"
"bos_clan_trait_tsu_defence_mod"	"melee_defence_mod"	"artillery"
"bos_clan_trait_tsu_defence_mod"	"melee_defence_mod"	"cavalry"
"bos_clan_trait_tsu_defence_mod"	"melee_defence_mod"	"infantry_melee"
"bos_clan_trait_tsu_defence_mod"	"melee_defence_mod"	"infantry_ranged"
"bos_event_mod_xp_artillery"	"unit_xp_mod"	"artillery"
"bos_general_mod_army_armour"	"armour_mod"	"artillery"
"bos_general_mod_army_armour"	"armour_mod"	"cavalry"
"bos_general_mod_army_armour"	"armour_mod"	"infantry_melee"
"bos_general_mod_army_armour"	"armour_mod"	"infantry_ranged"
"bos_mod_charge_all_local"	"unit_stat_charge_bonus_mod"	"cavalry"
"bos_recruitment_cost_mod_category_artillery_global"	"cost_mod"	"artillery"
"bos_recruitment_cost_mod_category_artillery_local"	"cost_mod"	"artillery"
"bos_recruitment_cost_mod_category_artillery"	"cost_mod"	"artillery"
"bos_recruitment_time_mod_category_artillery"	"recruit_time_mod"	"artillery"
"bos_tech_unit_cavalry_cost_mod"	"cost_mod"	"cavalry"
"bos_tech_unit_land_run_speed_mod"	"mod_land_movement_battle"	"artillery"
"bos_tech_unit_land_run_speed_mod"	"mod_land_movement_battle"	"cavalry"
"bos_tech_unit_land_run_speed_mod"	"mod_land_movement_battle"	"infantry_melee"
"bos_tech_unit_land_run_speed_mod"	"mod_land_movement_battle"	"infantry_ranged"
"bos_tech_unit_ship_cost_mod"	"cost_mod"	"naval_heavy"
"bos_tech_unit_ship_cost_mod"	"cost_mod"	"naval_light"
"bos_tech_unit_ship_cost_mod"	"cost_mod"	"naval_medium"
"bos_tech_unit_ship_recruitment_time_mod"	"recruit_time_mod"	"naval_heavy"
"bos_tech_unit_ship_recruitment_time_mod"	"recruit_time_mod"	"naval_light"
"bos_tech_unit_ship_recruitment_time_mod"	"recruit_time_mod"	"naval_medium"
"bos_tech_unit_ship_upkeep_cost_mod"	"upkeep_mod"	"naval_heavy"
"bos_tech_unit_ship_upkeep_cost_mod"	"upkeep_mod"	"naval_light"
"bos_tech_unit_ship_upkeep_cost_mod"	"upkeep_mod"	"naval_medium"
"bos_veteran_mod_melee_ranged_infantry"	"melee_attack_mod"	"infantry_ranged"
"bos_veteran_mod_melee_rifles"	"melee_attack_mod"	"infantry_ranged"
"gem_clan_trait_taira_yashima_ship_upkeep"	"cost_mod"	"naval_heavy"
"gem_clan_trait_taira_yashima_ship_upkeep"	"cost_mod"	"naval_light"
"gem_clan_trait_taira_yashima_ship_upkeep"	"cost_mod"	"naval_medium"
"gem_clan_trait_taira_yashima_ship_upkeep"	"cost_mod"	"naval_merchant"
"gem_clan_trait_taira_yashima_ship_upkeep"	"upkeep_mod"	"naval_heavy"
"gem_clan_trait_taira_yashima_ship_upkeep"	"upkeep_mod"	"naval_light"
"gem_clan_trait_taira_yashima_ship_upkeep"	"upkeep_mod"	"naval_medium"
"gem_clan_trait_taira_yashima_ship_upkeep"	"upkeep_mod"	"naval_merchant"
"gem_clan_trait_unit_xp_mod"	"unit_xp_mod"	"cavalry"
"gem_clan_trait_unit_xp_mod"	"unit_xp_mod"	"infantry_melee"
"gem_clan_trait_unit_xp_mod"	"unit_xp_mod"	"infantry_ranged"
"gem_general_army_charge_bonus"	"charge_bonus"	"cavalry"
"gem_general_army_charge_bonus"	"charge_bonus"	"infantry_melee"
"gem_general_army_charge_bonus"	"charge_bonus"	"infantry_ranged"
