version 1, schema effect_bonus_value_unit_class_junction_tables, guid 7915609c-3da9-4902-9c99-5a60cc7d0d95
unknown1(string)	unknown2(string)	unknown3(string)
"bos_ancillary_accuracy_mod_artillery"	"accuracy_mod"	"artillery_fixed"
"bos_ancillary_accuracy_mod_artillery"	"accuracy_mod"	"artillery_foot"
"bos_ancillary_accuracy_mod_bows"	"accuracy_mod"	"infantry_bow"
"bos_ancillary_reload_mod_rifles"	"reload"	"infantry_elite"
"bos_ancillary_reload_mod_rifles"	"reload"	"infantry_heavy"
"bos_ancillary_reload_mod_rifles"	"reload"	"infantry_light"
"bos_ancillary_reload_mod_rifles"	"reload"	"infantry_line"
"bos_clan_trait_nagaoka_rifle_reload_speed"	"reload"	"cavalry_missile"
"bos_clan_trait_nagaoka_rifle_reload_speed"	"reload"	"infantry_elite"
"bos_clan_trait_nagaoka_rifle_reload_speed"	"reload"	"infantry_light"
"bos_clan_trait_nagaoka_rifle_reload_speed"	"reload"	"infantry_line"
"bos_clan_trait_nagaoka_rifle_reload_speed"	"reload"	"infantry_special"
"bos_clan_trait_saga_artillery"	"accuracy_mod"	"artillery_fixed"
"bos_clan_trait_saga_artillery"	"accuracy_mod"	"artillery_foot"
"bos_event_mod_xp_rifles"	"unit_xp_mod"	"infantry_elite"
"bos_event_mod_xp_rifles"	"unit_xp_mod"	"infantry_heavy"
"bos_event_mod_xp_rifles"	"unit_xp_mod"	"infantry_light"
"bos_event_mod_xp_rifles"	"unit_xp_mod"	"infantry_line"
"bos_event_mod_xp_rifles"	"unit_xp_mod"	"infantry_matchlock"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"artillery_fixed"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"artillery_foot"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"cavalry_missile"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"general"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_bow"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_elite"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_light"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_line"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_matchlock"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_militia"
"bos_general_mod_army_accuracy"	"accuracy_mod"	"infantry_special"
"bos_general_mod_army_reload_rate"	"reload"	"artillery_fixed"
"bos_general_mod_army_reload_rate"	"reload"	"artillery_foot"
"bos_general_mod_army_reload_rate"	"reload"	"cavalry_missile"
"bos_general_mod_army_reload_rate"	"reload"	"general"
"bos_general_mod_army_reload_rate"	"reload"	"infantry_bow"
"bos_general_mod_army_reload_rate"	"reload"	"infantry_elite"
"bos_general_mod_army_reload_rate"	"reload"	"infantry_light"
"bos_general_mod_army_reload_rate"	"reload"	"infantry_line"
