version 1, schema effect_bundles_tables, guid c6311e0b-01ba-447d-8e9f-b1a2f59fd966
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"bos_aizu"	"A strong tree always has deep roots."	"The Traditionalists"	"bos_effect_faction_aizu.tga"
"bos_choshu"	"Some hatreds have to be nurtured for centuries."	"The Emperor's Fury"	"bos_effect_faction_chosu.tga"
"bos_clan_level_1"	"Keeping tradition alive ensures the power of the old ways."	"Clan Development Level 1"	"bos_effect_clan_level_positive.tga"
"bos_clan_level_2"	"Leaving tradition behind erodes the skills of the past."	"Clan Development Level 2"	"bos_effect_clan_level_positive.tga"
"bos_clan_level_3"	"Adopting modern, foreign ways is right for Japan, but will the people accept them?"	"Clan Development Level 3"	"bos_effect_clan_level_positive.tga"
"bos_clan_level_4"	"A fully modernised clan is the envy of Japan. The population will be made to understand."	"Clan Development Level 4"	"bos_effect_clan_level_positive.tga"
"bos_clan_level_5"	"Modernisation and populations can co-exist in harmony as long as the people are kept in check."	"Clan Development Level 5"	"bos_effect_clan_level_positive.tga"
"bos_clan_level_6"	"A fully modernised clan is the envy of Japan. The population will be made to understand."	"Clan Development Level 6"	"bos_effect_clan_level_positive.tga"
"bos_jozai"	"The unexpected blow is always the hardest to bear."	"The Hidden Warriors"	"bos_effect_faction_jozai.tga"
"bos_minor_clan"	"Minor Clan"	"not_displayed"	"gempei_effect_kiso_minamoto.tga"
"bos_nagaoka"	"Money wins wars; men fight them."	"The Tycoons"	"bos_effect_faction_nagaoka.tga"
"bos_obama"	"All must learn their place."	"The Overseers"	"bos_effect_faction_preorder_obama.tga"
"bos_saga"	"Wisdom has no country."	"The Emperor’s Diligence"	"bos_effect_faction_preorder_saga.tga"
"bos_satsuma"	"Much can be achieved away from the eyes of the great and good."	"The Emperor’s Ambition"	"bos_effect_faction_satsuma.tga"
"bos_sendai"	"Talk quietly, at least until swords are drawn."	"The Negotiators"	"bos_effect_faction_preorder_sendai.tga"
"bos_tosa"	"The sea cannot be conquered, only endured."	"The Emperor’s Reason"	"bos_effect_faction_tosa.tga"
"bos_tsu"	"One road can have many destinations."	"The Emperor’s Cunning"	"bos_effect_faction_preorder_ueno.tga"
"gem_fujiwara_hiraizumi"	"Power lies in the shadows"	"Expedient"	"gempei_effect_hiraizumi_fujiwara.tga"
"gem_fujiwara_kubota"	"Power lies in the ancestors"	"Illustrious"	"gempei_effect_kubota_fujiwara.tga"
"gem_minamoto_kamakura"	"Power lies in the sword"	"Indomitable"	"gempei_effect_kamakura_minamoto.tga"
"gem_minamoto_kiso"	"Power lies in the warrior's way"	"Relentless"	"gempei_effect_kiso_minamoto.tga"
"gem_minor"	"not_displayed"	"not_displayed"	"effect_daimyo.tga"
"gem_taira_fukuhara"	"Power lies in the family"	"Prevailing"	"gempei_effect_fukuhara_taira.tga"
"gem_taira_yashima"	"Power lies in the blood"	"Seaborne"	"gempei_effect_yashima_taira.tga"
"l_first_legendary_archery"	"Your clan was the first in Japan to build this legendary testament to excellence in archery."	"Legendary Kyudo School"	"effect_archer.tga"
"l_first_legendary_buddhist"	"Your clan was the first in Japan to build this legendary testament to the Buddhist way (effects apply only as long as your clan is Buddhist)."	"Famous Temple"	"effect_buddhism.tga"
"l_first_legendary_cavalry"	"Your clan was the first in Japan to build this legendary testament to great horsemanship."	"Legendary Bajutsu School"	"effect_cavalry.tga"
"l_first_legendary_christian"	"Your clan was the first in Japan to build this legendary testament to the Christian way (effects apply only as long as your clan is Christian)."	"Cathedral"	"effect_christianity.tga"
"l_first_legendary_craft"	"Your clan was the first in Japan to build this legendary testament to economic excellence."	"Kabunakama"	"effect_wealth.tga"
"l_first_legendary_siege"	"Your clan was the first in Japan to build this legendary testament to its mastery of siegecraft and gunpowder."	"Arsenal"	"effect_firearm.tga"
"l_first_legendary_stealth"	"Your clan was the first in Japan to build this legendary testament to the clandestine arts."	"Infamous Mizu Shobai District"	"effect_ninja.tga"
"l_first_legendary_sword"	"Your clan was the first in Japan to build this legendary testament to great swordsmanship."	"Legendary Kenjutsu School"	"effect_weapon_buff.tga"
"l_first_legendary_yari"	"Your clan was the first in Japan to build this legendary testament to excellence with the spear."	"Legendary Sojutsu School"	"effect_weapon_buff.tga"
"p_able_sailors"	"As a result of your efforts in naval matters, many able sailors are making themselves available for work aboard your ships."	"Able Sailors"	"effect_navy_positive.tga"
"p_abundant_catch_global"	"Favourable conditions and long hours have ensured that fishermen across your domain have kept their nets brimming."	"Abundant Catch"	"effect_food_positive.tga"
"p_abundant_catch_local"	"Favourable conditions and long hours have ensured that fishermen in this province have kept their nets brimming."	"Abundant Catch"	"effect_food_positive.tga"
"p_administrative_insight"	"By virtue of your recent focus on administration and infrastructure, your clan has made significant progress in civil matters."	"Civil Insight"	"effect_technology_positive.tga"
"p_aggressive_ardour"	"A focus on offensive measures has given your troops a marked advantage in close-combat."	"Aggressive Ardour"	"effect_army_positive.tga"
"p_agrarian_toil_global"	"Efficient exploitation of fertile lands across your realm has led to a significant increase in agricultural wealth."	"Agrarian Toil"	"effect_trade_positive.tga"
"p_agrarian_toil_local"	"Efficient exploitation of the fertile land has increased the agricultural wealth generated from this province."	"Agrarian Toil"	"effect_trade_positive.tga"
"p_ample_supplies"	"An abundant source of military equipment has significantly reduced the cost of equipping new troops for war."	"Ample Supplies"	"effect_weapon_buff_positive.tga"
"p_anti_nanban_riots_global"	"People across your territory are sickened by recent concessions made in favour of the nanban and their ways. "	"Anti-Nanban Riots"	"effect_public_order_negative.tga"
"p_anti_nanban_riots_local"	"People in this province are sickened by recent concessions made in favour of the nanban and their ways. "	"Anti-Nanban Riots"	"effect_public_order_negative.tga"
"p_bos_ample_supplies"	"An abundant source of military supplies have significantly reduced the cost of equipping new troops for war."	"Ample Supplies"	"bos_effect_modern_infantry_melee_positive.tga"
"p_bos_anti_western_riots_global"	"People across your domain are sickened by recent concessions made in favour of westerners."	"Anti-western Riots"	"bos_effect_disaster_negative.tga"
"p_bos_anti_western_riots_local"	"People in this province are sickened by recent concessions made in favour of westerners."	"Anti-western Riots"	"bos_effect_disaster_negative.tga"
"p_bos_autumn"	"A season for change.\\nLeaves playfully mock the wind.\\nAutumn has come."	"Autumn"	"bos_effect_season_autumn.tga"
"p_bos_better_geisha"	"Imbued with confidence and charm, your geisha are capable of lifting even the sternest of souls with their art."	"Irresistible Charmers"	"bos_effect_geisha_positive.tga"
"p_bos_better_ishinshishi"	"Utterly devoted to the Emperor's return to power, your ishin shishi fight with unbridled zeal."	"Imperial Champions"	"bos_effect_ishin_shishi_positive.tga"
"p_bos_better_shinobi"	"Their clandestine skills honed to perfection, your shinobi are excelling in acts of subterfuge."	"Deadly Shadows"	"bos_effect_ninja_positive.tga"
"p_bos_better_shinsengumi"	"Unwavering in their loyalty to the Shogunate, your shinsengumi fervently carry out their duties."	"Defenders of the Shogunate"	"bos_effect_shinsengumi_positive.tga"
"p_bos_better_veteran"	"Their experience unmatched, the foreign veterans in your service provide vital support for the war effort."	"Martial Experts"	"bos_effect_foreign_veteran_positive.tga"
"p_bos_breakthrough_civil_eng"	"Public buildings throughout your domain have benefitted from recent advances in civil engineering."	"Civil Breakthrough"	"bos_effect_modernisation_positive.tga"
"p_bos_breakthrough_industrial_sci"	"Industrial breakthroughs have boosted both your production and economy."	"Industrial Breakthrough"	"bos_effect_modernisation_positive.tga"
"p_bos_breakthrough_medical_sci"	"The recent breakthroughs in medical science have proved greatly beneficial to all."	"Medical Breakthrough"	"bos_effect_commodity_tea_positive.tga"
"p_bos_breakthrough_military_eng"	"Advances in military engineering have improved the  efficiency of your artillery production."	"Military Breakthrough"	"bos_effect_artillery_positive.tga"
"p_bos_brigandry_global"	"An increase in criminal acts has affected production across your domain. Unrest is stirring amongst the populace."	"Brigandry"	"bos_effect_public_order_negative.tga"
"p_bos_brigandry_local"	"An increase in criminal acts has affected production in this province. Unrest is stirring amongst the populace."	"Brigandry"	"bos_effect_public_order_negative.tga"
"p_bos_call_to_arms"	"An increasing number of your subjects are clamouring to join the ranks and take arms against the clan's enemies."	"Call to Arms"	"bos_effect_army_positive.tga"
"p_bos_civil_insight"	"By virtue of your focus on infrastructure and culture, your clan has made significant progress in civil matters."	"Civil Insight"	"bos_effect_modernisation_positive.tga"
"p_bos_criminal_contacts_global"	"Owing to your criminal connections, you are better-able to exploit the wealth-producing establishments within your domain."	"Underworld Contacts"	"bos_effect_subterfuge_positive.tga"
"p_bos_criminal_contacts_local"	"Owing to your criminal connections, you are better-able to exploit the wealth-producing establishments in this province."	"Underworld Contacts"	"bos_effect_subterfuge_positive.tga"
"p_bos_disaffected_populace_global"	"Neglect for the wants and needs of the people across your domain has caused resentment to your rule."	"Disaffected Populace"	"bos_effect_public_order_negative.tga"
"p_bos_disaffected_populace_local"	"Neglect for the wants and needs of the people of this province has caused resentment to your rule."	"Disaffected Populace"	"bos_effect_public_order_negative.tga"
"p_bos_dreaded_force"	"Rumours of your martial superiority have spread, crushing the morale of all those who would face your clan in battle."	"Dreaded Force"	"bos_effect_army_positive.tga"
"p_bos_earthquake"	"A tumultuous earthquake has struck this province! Construction efforts and production have been frustrated as the populace cope with the devastation."	"Earthquake"	"bos_effect_disaster_negative.tga"
"p_bos_emperors_mandate"	"In return for your loyal service, the Emperor has openly declared his support for your clan."	"The Emperor's Mandate"	"bos_effect_imperial_allegiance_positive.tga"
"p_bos_fire"	"Raging fires have spread destruction throughout this province's capital, affecting local production and ruining the livelihoods of many of the people."	"Fire"	"bos_effect_disaster_negative.tga"
"p_bos_flourishing_growth_global"	"Business and public services are flourishing throughout your domain, improving the economy."	"Business Flourishes"	"bos_effect_wealth_positive.tga"
"p_bos_flourishing_growth_local"	"Business and public services are flourishing in this province, improving the economy."	"Business Flourishes"	"bos_effect_wealth_positive.tga"
"p_bos_foreign_boost"	"Your recent decisions regarding westerners have resulted in an increase in foreign trade."	"Foreign Trade Boost"	"bos_effect_trade_positive.tga"
"p_bos_foreign_setback"	"Your recent decisions regarding westerners have caused a decline in foreign trade."	"Foreign Trade Setback"	"bos_effect_trade_negative.tga"
"p_bos_grateful_populace_global"	"Your dedication to the wants and needs of the people throughout your domain has engendered feelings of joy and gratitude."	"Grateful Populace"	"bos_effect_public_order_positive.tga"
"p_bos_grateful_populace_local"	"Your dedication to the wants and needs of the people of this province has engendered feelings of joy and gratitude."	"Grateful Populace"	"bos_effect_public_order_positive.tga"
"p_bos_high_yield"	"The recent focus on improving your primary economy has boosted agricultural and mineral wealth."	"High Yield"	"bos_effect_trade_positive.tga"
"p_bos_imperial_propaganda_local"	"Support for the Emperor and his return to power is spreading throughout this province."	"Imperialist Influence"	"bos_effect_imperial_allegiance_positive.tga"
"p_bos_inspired_endeavours_global"	"Your commitment to the clan's wellbeing has filled the people with fervent pride, inspiring them to make a greater effort in their daily lives."	"Inspired Endeavours"	"bos_effect_public_order_positive.tga"
"p_bos_inspired_endeavours_local"	"Your commitment to this province's wellbeing has filled the people with fervent pride, inspiring them to make a greater effort in their daily lives."	"Inspired Endeavours"	"bos_effect_public_order_positive.tga"
"p_bos_iron_fist_local"	"Your reputation for stringent action in response to offence has instilled fear in the people of this province."	"Iron Fist"	"bos_effect_traditional_infantry_melee_positive.tga"
"p_bos_lord_of_war"	"Driven by your mastery of warfare, your armies march fervently into battle."	"Lord of War"	"bos_effect_army_positive.tga"
"p_bos_martial_wisdom"	"By virtue of your focus on martial matters, your clan has made significant military advances."	"Martial Wisdom"	"bos_effect_army_positive.tga"
"p_bos_master_artillery"	"A focus upon gunnery drill has improved the proficiency of your newly-recruited artillery-crews."	"Gunnery Experts"	"bos_effect_artillery_positive.tga"
"p_bos_master_rifles"	"A focus upon firearms training has improved the competence of your newly-recruited riflemen."	"Keen Marksmen"	"bos_effect_modern_infantry_ranged_positive.tga"
"p_bos_master_shipwrights"	"Quality equipment and industrial expertise have improved your clan's ability to build warships."	"Master Shipwrights"	"bos_effect_navy_positive.tga"
"p_bos_military_mission_american"	"You have allowed America to establish a military mission with your clan."	"American Military Mission"	"bos_effect_america.tga"
"p_bos_military_mission_british"	"You have allowed Britain to establish a military mission with your clan."	"British Military Mission"	"bos_effect_britain.tga"
"p_bos_military_mission_french"	"You have allowed France to establish a military mission with your clan."	"French Military Mission"	"bos_effect_france.tga"
"p_bos_peer_contempt"	"Dubious of your recent decisions, your fellow daimyo are harbouring considerable disrespect towards you."	"Peer Contempt"	"bos_effect_diplomacy_negative.tga"
"p_bos_peer_respect"	"Inspired by your recent decisions, your fellow daimyo have gained considerable respect for you."	"Peer Respect"	"bos_effect_diplomacy_positive.tga"
"p_bos_realm_divide_emperor"	"The Emperor has rallied his bannermen: no quarter will be given to those who support the Shogun. The unification of Japan has begun!"	"The Final Push"	"bos_effect_imperial_allegiance_positive.tga"
"p_bos_realm_divide_self"	"You have decided that neither the Shogun nor the Emperor are worthy of Japan's leadership: the country will be united beneath your own banner!"	"Making a Stand"	"bos_effect_independant_allegiance_positive.tga"
"p_bos_realm_divide_shogun"	"The Shogun has rallied his bannermen; no quarter will be given to those who support the Emperor. The unification of Japan has begun!"	"The Final Push"	"bos_effect_shogunate_allegiance_positive.tga"
"p_bos_ronin_marauders_local"	"Lacking the wise guidance of a daimyo, ronin are running amok in this province. "	"Ronin Marauders"	"bos_effect_disaster_negative.tga"
"p_bos_rule_the_waves"	"Inspired by your mastery of combat at sea, your fleets sail fearlessly into battle."	"Rule the Waves"	"bos_effect_navy_positive.tga"
"p_bos_samurai_discontent"	"Your disregard for the old ways has led to a decline in happiness amongst the samurai within your domain. "	"Samurai Discontent"	"bos_effect_public_order_negative.tga"
"p_bos_samurai_satisfaction"	"Samurai within your domain are satisfied with your adherence to tradition."	"Samurai Satisfaction"	"bos_effect_public_order_positive.tga"
"p_bos_security"	"In order to improve security in this province, policing efforts have been stepped up."	"Security Matters"	"bos_effect_military_positive.tga"
"p_bos_shogunate_propaganda_local"	"Support for the Shogun and his continued rule is spreading throughout this province."	"Shogunate Influence"	"bos_effect_shogunate_allegiance_positive.tga"
"p_bos_shoguns_authority"	"In return for your loyal service, the Shogun has openly declared his support for your clan."	"The Shogun's Authority"	"bos_effect_shogunate_allegiance_positive.tga"
"p_bos_slow_research"	"Your have tempered your clan's developmental efforts to help preserve tradition and prevent the loss of cultural identity."	"Developmental Restraint"	"bos_effect_modernisation_negative.tga"
"p_bos_spring"	"Shivering beauty\\nraises my spirit higher. \\nThe herald of spring."	"Spring"	"bos_effect_season_spring.tga"
"p_bos_summer"	"Heralding summer.\\nThe orange blossom in bloom.\\nBright and beautiful."	"Summer"	"bos_effect_season_summer.tga"
"p_bos_thriving_markets"	"As a result of your recent mercantile endeavours trade is now booming throughout your lands."	"Thriving Markets"	"bos_effect_wealth_positive.tga"
"p_bos_wait"	"Patience is a virtue."	"Await Outcome"	"bos_effect_daimyo_positive.tga"
"p_bos_war_fervour"	"Morale is currently running high. Your recent military undertakings have filled your troops with an unquenchable thirst for battle!"	"War Fervour"	"bos_effect_army_positive.tga"
