version 2, schema effect_bundles_to_effects_junctions_tables, guid 065c4eb8-0deb-4f10-b0c4-9209ab5edc67
unknown1(string)	unknown2(string)	unknown3(float)
"bos_aizu"	"bos_clan_trait_aizu_castle_cost_mod"	-10
"bos_aizu"	"bos_clan_trait_aizu_shinsengumi_action_cost_mod"	-10
"bos_aizu"	"bos_clan_trait_aizu_trad_unit_cost_mod"	-10
"bos_aizu"	"bos_clan_trait_aizu_trad_unit_xp_mod"	1
"bos_choshu"	"bos_clan_trait_choshu_ishin_shishi_action_mod"	-10
"bos_choshu"	"bos_clan_trait_choshu_loot_mod"	25
"bos_choshu"	"bos_clan_trait_choshu_military_cost_mod"	-10
"bos_choshu"	"bos_clan_trait_chosu_charge"	3
"bos_clan_level_1"	"bos_tech_unit_trad_cost_mod"	-20
"bos_clan_level_1"	"bos_tech_unit_trad_morale_mod"	2
"bos_clan_level_1"	"bos_tech_unit_trad_xp_mod"	2
"bos_clan_level_2"	"bos_event_research_mod_both"	10
"bos_clan_level_2"	"bos_modernisation_happiness_mod"	-1
"bos_clan_level_2"	"bos_tech_unit_trad_cost_mod"	-10
"bos_clan_level_2"	"bos_tech_unit_trad_morale_mod"	1
"bos_clan_level_2"	"bos_tech_unit_trad_xp_mod"	1
"bos_clan_level_3"	"bos_event_research_mod_both"	25
"bos_clan_level_3"	"bos_modernisation_happiness_mod"	-2
"bos_clan_level_3"	"bos_tech_unit_general_unit_switch_mod"	1
"bos_clan_level_4"	"bos_event_research_mod_both"	50
"bos_clan_level_4"	"bos_modernisation_happiness_mod"	-3
"bos_clan_level_4"	"bos_tech_unit_general_unit_switch_mod"	1
"bos_jozai"	"bos_clan_trait_jozai_battle_movement_mod"	2
"bos_jozai"	"bos_clan_trait_jozai_guerrilla_unit_cap_mod"	6
"bos_jozai"	"bos_clan_trait_jozai_harassment"	10
"bos_jozai"	"bos_clan_trait_jozai_replenishment"	3
"bos_nagaoka"	"bos_clan_trait_nagaoka_criminal_income_mod"	10
"bos_nagaoka"	"bos_clan_trait_nagaoka_geisha_success"	5
"bos_nagaoka"	"bos_clan_trait_nagaoka_modern_unit_cost_mod"	-15
"bos_nagaoka"	"bos_clan_trait_nagaoka_rifle_reload_speed"	15
"bos_obama"	"bos_clan_trait_obama_garrison_xp_mod"	2
"bos_obama"	"bos_clan_trait_obama_land_upkeep"	-10
"bos_obama"	"bos_clan_trait_obama_repression"	2
"bos_obama"	"bos_clan_trait_obama_tax_mod"	5
"bos_saga"	"bos_clan_trait_saga_artillery"	5
"bos_saga"	"bos_clan_trait_saga_growth_industry_mod"	20
"bos_saga"	"bos_clan_trait_saga_ship_cost_mod"	-10
