version 1, schema effects_tables, guid 505c8db2-2bd2-4b7b-85ad-b10e308db947
Effect_ID(string)	Pip_Path(optstring)	Unknown1(int)
"Command_Land_Attack"	"data/ui/campaign ui/pips/effect_admiral.tga"	310
"Command_Land_Cavalry_Troops"	"data/ui/campaign ui/pips/effect_admiral.tga"	309
"Command_Land_Defence"	"data/ui/campaign ui/pips/effect_admiral.tga"	307
"Command_Land_Siege_Attack"	"data/ui/campaign ui/pips/effect_admiral.tga"	303
"Command_Land_Siege_Defence"	"data/ui/campaign ui/pips/effect_admiral.tga"	302
"Command_mod"	"data/ui/campaign ui/pips/effect_admiral.tga"	999
"Movement_Points_All"	"data/ui/campaign ui/effect_bundles/effect_army.tga"	1
"Movement_Points_All_Land"	"data/ui/campaign ui/effect_bundles/effect_army.tga"	1
"Movement_Points_Land_Artillery"	"data/ui/campaign ui/effect_bundles/effect_army.tga"	1
"Movement_Points_Land_Cavalry"	"data/ui/campaign ui/effect_bundles/effect_cavalry.tga"	1
"Movement_Points_Land_Infantry"	"data/ui/campaign ui/effect_bundles/effect_army.tga"	1
"Xcommodity_price_mod"	"data/ui/campaign ui/effect_bundles/effect_wealth.tga"	0
"Xgdp_building"	"data/ui/campaign ui/effect_bundles/effect_wealth.tga"	5
"Xpop_growth_buildings"	"data/ui/campaign ui/effect_bundles/effect_wealth.tga"	5
"Xtax_cap"	"data/ui/campaign ui/effect_bundles/effect_wealth.tga"	1
"Xtw_growth"	"data/ui/campaign ui/effect_bundles/effect_wealth.tga"	1
"admin_cost_mod"	"data/ui/campaign ui/effect_bundles/effect_wealth_positive.tga"	8005
"agent_XP_mod_ikko_monk"	"data/ui/campaign ui/effect_bundles/effect_ikko_monk.tga"	3456
"agent_XP_mod_mesuke"	"data/ui/campaign ui/effect_bundles/effect_metsuke.tga"	502
"agent_XP_mod_missionary"	"data/ui/campaign ui/effect_bundles/effect_missionary.tga"	506
"agent_XP_mod_monk"	"data/ui/campaign ui/effect_bundles/effect_monk.tga"	504
"agent_XP_mod_ninja"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	503
"agent_action_cost_mod"	"data/ui/campaign ui/effect_bundles/effect_character_positive.tga"	999
"agent_action_critical_success_mod"	"data/ui/campaign ui/effect_bundles/effect_character_positive.tga"	998
"agent_action_success_mod"	"data/ui/campaign ui/effect_bundles/effect_character_positive.tga"	997
"agent_attribute_cunning_apprehension"	"data/ui/campaign ui/effect_bundles/effect_metsuke_positive.tga"	9998
"agent_attribute_cunning_bribery"	"data/ui/campaign ui/effect_bundles/effect_metsuke_positive.tga"	9997
"agent_attribute_cunning_counterspying"	"data/ui/campaign ui/effect_bundles/effect_metsuke_positive.tga"	9996
"agent_attribute_cunning_oversee_army"	"data/ui/campaign ui/effect_bundles/effect_metsuke_positive.tga"	9995
"agent_attribute_cunning_oversee_town"	"data/ui/campaign ui/effect_bundles/effect_metsuke_positive.tga"	9994
"agent_attribute_mod_metsuke"	"data/ui/campaign ui/pips/effect_admiral.tga"	3
"agent_attribute_subterfuge_assassination"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9993
"agent_attribute_subterfuge_field_scout"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9992
"agent_attribute_subterfuge_sabotage_army"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9991
"agent_attribute_subterfuge_sabotage_building"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9990
"agent_attribute_subterfuge_spy_network"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9989
"agent_attribute_subterfuge_spying"	"data/ui/campaign ui/effect_bundles/effect_subterfuge_positive.tga"	9988
"agent_attribute_zeal_conversion"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9987
"agent_attribute_zeal_convert_character"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9986
"agent_attribute_zeal_demoralise_army"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9985
"agent_attribute_zeal_incite_unrest"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9984
"agent_attribute_zeal_inspire_army"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9983
"agent_attribute_zeal_inspire_town"	"data/ui/campaign ui/effect_bundles/effect_religion_positive.tga"	9982
"agent_availability_quality_geisha"	"data/ui/campaign ui/effect_bundles/effect_geisha.tga"	21
"agent_availability_quality_ikko_monk"	"data/ui/campaign ui/effect_bundles/effect_ikko_monk.tga"	1
"agent_availability_quality_metsuke"	"data/ui/campaign ui/effect_bundles/effect_metsuke.tga"	19
"agent_availability_quality_missionary"	"data/ui/campaign ui/effect_bundles/effect_missionary.tga"	20
"agent_availability_quality_monk"	"data/ui/campaign ui/effect_bundles/effect_monk.tga"	18
"agent_availability_quality_ninja"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	22
"agent_cap_basic_hidden"	"data/ui/campaign ui/pips/effect_admiral.tga"	0
"agent_cap_geisha"	"data/ui/campaign ui/effect_bundles/effect_geisha.tga"	3567
"agent_cap_general"	"data/ui/campaign ui/effect_bundles/effect_general.tga"	120
"agent_cap_ikko_monk"	"data/ui/campaign ui/effect_bundles/effect_ikko_monk.tga"	1234
"agent_cap_metsuke"	"data/ui/campaign ui/effect_bundles/effect_metsuke.tga"	3455
"agent_cap_minja"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	2345
"agent_cap_missionary"	"data/ui/campaign ui/effect_bundles/effect_missionary.tga"	111
"agent_cap_monk"	"data/ui/campaign ui/effect_bundles/effect_monk.tga"	3456
"agent_general_refil_rate_1"	"data/ui/campaign ui/effect_bundles/effect_general.tga"	119
"agent_general_refil_rate_2"	"data/ui/campaign ui/effect_bundles/effect_genral.tga"	119
"agent_metsuke_release_time_mod"	"data/ui/campaign ui/effect_bundles/effect_metsuke.tga"	555
"agent_ninja_killing_chance_mod"	"data/ui/campaign ui/effect_bundles/effect_ninja_positive.tga"	556
"agent_ninja_ninjutsu"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	557
"agent_ninja_stealth_mod"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	558
"agent_ninja_wounding_time_mod"	"data/ui/campaign ui/effect_bundles/effect_ninja.tga"	559
"agent_stealth_detection_mod"	"data/ui/campaign ui/effect_bundles/effect_character.tga"	25
"ai_region_resistance_modifier"	"data/ui/campaign ui/pips/effect_admiral.tga"	0
"ancillary_test"	"data/ui/campaign ui/effect_bundles/effect_character.tga"	0
"attrition_mod"	"data/ui/campaign ui/effect_bundles/effect_army.tga"	5
"bos_agent_XP_mod_geisha"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha_positive.tga"	331
"bos_agent_action_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth_positive.tga"	50
"bos_agent_action_success_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_character_positive.tga"	50
"bos_agent_attribute_geisha_distract_army"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	100
"bos_agent_attribute_geisha_distract_garrison"	"data/ui/campaign ui/effect_bundles/bos_effect_seige_defence.tga"	100
"bos_agent_attribute_geisha_enchant_enemy"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	100
"bos_agent_attribute_geisha_entertain_nobles"	"data/ui/campaign ui/effect_bundles/bos_effect_daimyo_positive.tga"	100
"bos_agent_attribute_geisha_inspire_troops"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	100
"bos_agent_attribute_geisha_performance"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha_positive.tga"	100
"bos_agent_attribute_ishin_shinsen_assassination"	"data/ui/campaign ui/effect_bundles/bos_effect_melee.tga"	100
"bos_agent_attribute_ishin_shinsen_conversion"	"data/ui/campaign ui/effect_bundles/bos_effect_daimyo.tga"	100
"bos_agent_attribute_ishin_shinsen_counterspying"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi_positive.tga"	100
"bos_agent_attribute_ishin_shinsen_incite_revolt"	"data/ui/campaign ui/effect_bundles/bos_effect_disaster.tga"	100
"bos_agent_attribute_ishinshishi_instil_fervour"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	100
"bos_agent_attribute_ishinshishi_persuade_troops"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	100
"bos_agent_attribute_ishinshishi_rally_populace"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi_positive.tga"	100
"bos_agent_attribute_shinobi_army_sabotage"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	100
"bos_agent_attribute_shinobi_assassination"	"data/ui/campaign ui/effect_bundles/bos_effect_melee.tga"	100
"bos_agent_attribute_shinobi_building_sabotage"	"data/ui/campaign ui/effect_bundles/bos_effect_disaster_negative.tga"	100
"bos_agent_attribute_shinobi_scouting"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	100
