version 1, schema encyclopedia_pages_tables, guid 4a9ff0da-76c4-49b8-bee9-20993fcd80b0
unknown1(string)	unknown2(string)
"001_enc_enc_help"	"enc_full_text.html"
"002_enc_advisor_help"	"enc_full_text.html"
"002b_enc_glossary"	"enc_full_text.html"
"003_enc_ui_frontend"	"enc_full_text.html"
"003a_enc_ui_frontend_grand_clan"	"enc_full_text.html"
"003b_enc_ui_frontend_options"	"enc_full_text.html"
"003c_enc_ui_frontend_options_graphics_gamma"	"enc_full_text.html"
"003d_enc_ui_frontend_options_controls_keys"	"enc_full_text.html"
"004_enc_ui_ingame"	"enc_full_text.html"
"004a_enc_ui_ingame_options"	"enc_full_text.html"
"005_enc_tut_help"	"enc_full_text.html"
"006_enc_manual_intro"	"enc_full_text.html"
"007_enc_manual_hud"	"enc_full_text.html"
"008_enc_manual_hud_radar"	"enc_full_text.html"
"009_enc_manual_hud_lists"	"enc_full_text.html"
"010_enc_manual_hud_date"	"enc_full_text.html"
"011_enc_manual_hud_treasury"	"enc_full_text.html"
"012_enc_manual_hud_events"	"enc_full_text.html"
"012a_enc_manual_hud_events_dilemmas"	"enc_full_text.html"
"012b_enc_manual_hud_events_victory"	"enc_full_text.html"
"012c_enc_manual_hud_events_missions"	"enc_full_text.html"
"013_enc_manual_hud_finances"	"enc_full_text.html"
"014_enc_manual_hud_arts"	"enc_full_text.html"
"015_enc_manual_hud_diplomacy"	"enc_full_text.html"
"015b_enc_manual_hud_diplomacy_options_trade"	"enc_full_text.html"
"015c1_enc_manual_hud_diplomacy_access"	"enc_full_text.html"
"015c_enc_manual_hud_diplomacy_options_alliance"	"enc_full_text.html"
"015d_enc_manual_hud_diplomacy_options_money"	"enc_full_text.html"
"015e_enc_manual_hud_diplomacy_options_vassals"	"enc_full_text.html"
"015f1_enc_manual_hud_diplomacy_options_peace"	"enc_full_text.html"
"015f_enc_manual_hud_diplomacy_options_war"	"enc_full_text.html"
"015g_enc_manual_hud_diplomacy_options_hostages"	"enc_full_text.html"
"015h_enc_manual_hud_diplomacy_options_marriage"	"enc_full_text.html"
"015i_enc_manual_hud_diplomacy_options_threaten"	"enc_full_text.html"
"016_enc_manual_hud_management"	"enc_full_text.html"
"017_enc_manual_hud_end_turn"	"enc_full_text.html"
"018_enc_manual_actions_campaign"	"enc_full_text.html"
"018a_enc_manual_actions_campaign_recruitment"	"enc_full_text.html"
"018e_enc_manual_actions_campaign_construction"	"enc_full_text.html"
"018i_enc_manual_ui_building"	"enc_full_text.html"
"018j_enc_manual_actions_diplomacy"	"enc_full_text.html"
"018k_enc_manual_religion"	"enc_full_text.html"
"019_enc_manual_trade"	"enc_full_text.html"
"019a_enc_manual_province_wealth"	"enc_full_text.html"
"019b_enc_manual_food_shortages"	"enc_full_text.html"
"020_enc_manual_public_order"	"enc_full_text.html"
"021_enc_manual_ui_province"	"enc_full_text.html"
"022_enc_manual_clan_traits"	"enc_full_text.html"
"023_enc_manual_clan_effects"	"enc_full_text.html"
"024_enc_manual_clan_fame"	"enc_full_text.html"
"025_enc_manual_clan_loyalty"	"enc_full_text.html"
"026_enc_manual_clan_honour"	"enc_full_text.html"
"027_enc_manual_army_moves"	"enc_full_text.html"
"028_enc_manual_army_attack"	"enc_full_text.html"
"029_enc_manual_army_fragments"	"enc_full_text.html"
"030_enc_manual_army_attrition"	"enc_full_text.html"
"031_enc_manual_army_experience"	"enc_full_text.html"
"032_enc_manual_ui_battle"	"enc_full_text.html"
"034_enc_manual_ui_units"	"enc_full_text.html"
"035_enc_manual_fleet_moves"	"enc_full_text.html"
"037_enc_manual_fleet_attack"	"enc_full_text.html"
"038_enc_manual_fleet_fragments"	"enc_full_text.html"
"039_enc_manual_fleet_blockades"	"enc_full_text.html"
"040_enc_manual_fleet_access"	"enc_full_text.html"
"041_enc_manual_fleet_assaults"	"enc_full_text.html"
"042_enc_manual_skills"	"enc_full_text.html"
"043_enc_manual_traits"	"enc_full_text.html"
"044_enc_manual_agents_subterfuge"	"enc_full_text.html"
"044a_enc_manual_agent_actions_subterfuge"	"enc_full_text.html"
"045_enc_manual_agents_religious"	"enc_full_text.html"
"045a_enc_manual_agent_actions_religious"	"enc_full_text.html"
"045b_enc_manual_ui_character"	"enc_full_text.html"
"046_enc_manual_battle_deployment"	"enc_full_text.html"
"047_enc_manual_battle_conflict"	"enc_full_text.html"
"048_enc_manual_battle_conflict_fukkan"	"enc_full_text.html"
"049_enc_manual_battle_conflict_controls"	"enc_full_text.html"
"050_enc_manual_battle_conflict_groups"	"enc_full_text.html"
"050a_enc_manual_battle_conflict_formations_land"	"enc_full_text.html"
"050b_enc_manual_battle_conflict_formations_naval"	"enc_full_text.html"
"052_enc_manual_battle_conflict_morale"	"enc_full_text.html"
"053_enc_manual_battle_conflict_fatigue"	"enc_full_text.html"
"054_enc_manual_battle_conflict_buildings"	"enc_full_text.html"
"055_enc_manual_battle_conflict_crossings"	"enc_full_text.html"
"056_enc_manual_battle_conflict_forests"	"enc_full_text.html"
"057_enc_manual_battle_conflict_sieges"	"enc_full_text.html"
"058_enc_manual_battle_naval_topography"	"enc_full_text.html"
"059_enc_manual_battle_naval_boarding"	"enc_full_text.html"
"060_enc_manual_battle_conflict_abilities"	"enc_full_text.html"
"060a_enc_manual_battle_conflict_abilities_assassination"	"enc_full_text.html"
"060b_enc_manual_battle_conflict_abilities_bamboo"	"enc_full_text.html"
"060c_enc_manual_battle_conflict_abilities_banzai"	"enc_full_text.html"
"060d_enc_manual_battle_conflict_abilities_speed"	"enc_full_text.html"
"060e_enc_manual_battle_conflict_abilities_grenades"	"enc_full_text.html"
"060f_enc_manual_battle_conflict_abilities_burn"	"enc_full_text.html"
"060h_enc_manual_battle_conflict_abilities_rowing"	"enc_full_text.html"
"060i_enc_manual_battle_conflict_abilities_arrow_land"	"enc_full_text.html"
"060l_enc_manual_battle_conflict_abilities_range"	"enc_full_text.html"
"060m_enc_manual_battle_conflict_abilities_inspire_land"	"enc_full_text.html"
"060n_enc_manual_battle_conflict_abilities_inspire_sea"	"enc_full_text.html"
"060o_enc_manual_battle_conflict_abilities_kisho"	"enc_full_text.html"
"060q_enc_manual_battle_conflict_abilities_mines"	"enc_full_text.html"
"060s_enc_manual_battle_conflict_abilities_rally"	"enc_full_text.html"
"060t_enc_manual_battle_conflict_abilities_ranked"	"enc_full_text.html"
"060u_enc_manual_battle_conflict_abilities_volley"	"enc_full_text.html"
"060v_enc_manual_battle_conflict_abilities_screens"	"enc_full_text.html"
"060w_enc_manual_battle_conflict_abilities_wind"	"enc_full_text.html"
"060x_enc_manual_battle_conflict_abilities_sprint"	"enc_full_text.html"
"060z1_enc_manual_battle_conflict_abilities_firm"	"enc_full_text.html"
"060z2_enc_manual_battle_conflict_abilities_crane"	"enc_full_text.html"
"060z3_enc_manual_battle_conflict_abilities_warcry_land"	"enc_full_text.html"
"060z5_enc_manual_battle_conflict_abilities_arrows_whistling"	"enc_full_text.html"
"060z6_enc_manual_battle_conflict_abilities_square"	"enc_full_text.html"
"060z7_enc_manual_battle_conflict_abilities_wall"	"enc_full_text.html"
"060z8_enc_manual_battle_conflict_attributes"	"enc_full_text.html"
"060z_enc_manual_battle_conflict_abilities_stand"	"enc_full_text.html"
"061_enc_manual_multiplayer"	"enc_full_text.html"
"061a_enc_manual_multiplayer_create_avatar"	"enc_full_text.html"
"061b_enc_manual_multiplayer_create_warband"	"enc_full_text.html"
"061d_enc_manual_multiplayer_home_province"	"enc_full_text.html"
"061f_enc_manual_multiplayer_province_exploration"	"enc_full_text.html"
"061g_enc_manual_multiplayer_recruitment"	"enc_full_text.html"
"061h_enc_manual_multiplayer_recruitment_veterans"	"enc_full_text.html"
"061i_enc_manual_multiplayer_replenishment"	"enc_full_text.html"
"061o_enc_manual_multiplayer_avatar_traits"	"enc_full_text.html"
"062_enc_hist_battles"	"enc_full_text.html"
"ancillaries_background"	"enc_full_text.html"
"background"	"enc_full_text.html"
"bosh_enc_abilities_fast_reload"	"enc_full_text.html"
"bosh_enc_abilities_firing_speed"	"enc_full_text.html"
"bosh_enc_abilities_ganbatte"	"enc_full_text.html"
"bosh_enc_abilities_kill_zone"	"enc_full_text.html"
"bosh_enc_abilities_kneel_fire"	"enc_full_text.html"
"bosh_enc_abilities_overheat_engine"	"enc_full_text.html"
"bosh_enc_abilities_ramming"	"enc_full_text.html"
"bosh_enc_abilities_shrapnel_shot"	"enc_full_text.html"
"bosh_enc_abilities_suppression_fire"	"enc_full_text.html"
"bosh_enc_agents_friendly_actions"	"enc_full_text.html"
"bosh_enc_allegiance"	"enc_full_text.html"
"bosh_enc_ammo_types"	"enc_full_text.html"
"bosh_enc_broadsides"	"enc_full_text.html"
"bosh_enc_coastal_defences"	"enc_full_text.html"
"bosh_enc_gatling_guns"	"enc_full_text.html"
"bosh_enc_mp_multiple_avatars"	"enc_full_text.html"
"bosh_enc_mp_promote_avatars"	"enc_full_text.html"
"bosh_enc_mp_rosters"	"enc_full_text.html"
