version 1, schema faction_rebellion_units_junctions_tables, guid fc790858-a59b-4c37-962c-33a1340a1eec
faction_id(string)	unit_id(string)
"Utsunomiya"	"Art_European_Cannons"
"Utsunomiya"	"Art_Fire_Projecting_Mangonels"
"Utsunomiya"	"Cav_Missile_Bow_Cavalry"
"Utsunomiya"	"Cav_Spear_Light_Cavalry"
"Utsunomiya"	"Cav_Spear_Yari_Cavalry"
"Utsunomiya"	"Cav_Sword_Katana_Cavalry"
"Utsunomiya"	"Inf_Heavy_Naginata_Samurai"
"Utsunomiya"	"Inf_Missile_Bow_Ashigaru"
"Utsunomiya"	"Inf_Missile_Bow_Samurai"
"Utsunomiya"	"Inf_Missile_Matchlock_Ashigaru"
"Utsunomiya"	"Inf_Spear_Yari_Ashigaru"
"Utsunomiya"	"Inf_Spear_Yari_Samurai"
"Utsunomiya"	"Inf_Sword_Katana_Samurai"
"Utsunomiya"	"Inf_Sword_Nodachi_Samurai"
"amako"	"Art_European_Cannons"
"amako"	"Art_Fire_Projecting_Mangonels"
"amako"	"Cav_Missile_Bow_Cavalry"
"amako"	"Cav_Spear_Light_Cavalry"
"amako"	"Cav_Spear_Yari_Cavalry"
"amako"	"Cav_Sword_Katana_Cavalry"
"amako"	"Inf_Heavy_Naginata_Samurai"
"amako"	"Inf_Missile_Bow_Ashigaru"
"amako"	"Inf_Missile_Bow_Samurai"
"amako"	"Inf_Missile_Matchlock_Ashigaru"
"amako"	"Inf_Spear_Yari_Ashigaru"
"amako"	"Inf_Spear_Yari_Samurai"
"amako"	"Inf_Sword_Katana_Samurai"
"amako"	"Inf_Sword_Nodachi_Samurai"
"anegakoji"	"Art_European_Cannons"
"anegakoji"	"Art_Fire_Projecting_Mangonels"
"anegakoji"	"Cav_Missile_Bow_Cavalry"
"anegakoji"	"Cav_Spear_Light_Cavalry"
"anegakoji"	"Cav_Spear_Yari_Cavalry"
"anegakoji"	"Cav_Sword_Katana_Cavalry"
"anegakoji"	"Inf_Heavy_Naginata_Samurai"
"anegakoji"	"Inf_Missile_Bow_Ashigaru"
"anegakoji"	"Inf_Missile_Bow_Samurai"
"anegakoji"	"Inf_Missile_Matchlock_Ashigaru"
"anegakoji"	"Inf_Spear_Yari_Ashigaru"
"anegakoji"	"Inf_Spear_Yari_Samurai"
"anegakoji"	"Inf_Sword_Katana_Samurai"
"anegakoji"	"Inf_Sword_Nodachi_Samurai"
"asai"	"Art_European_Cannons"
"asai"	"Art_Fire_Projecting_Mangonels"
"asai"	"Cav_Missile_Bow_Cavalry"
"asai"	"Cav_Spear_Light_Cavalry"
"asai"	"Cav_Spear_Yari_Cavalry"
"asai"	"Cav_Sword_Katana_Cavalry"
"asai"	"Inf_Heavy_Naginata_Samurai"
"asai"	"Inf_Missile_Bow_Ashigaru"
"asai"	"Inf_Missile_Bow_Samurai"
"asai"	"Inf_Missile_Matchlock_Ashigaru"
