version 1, schema faction_uniform_colours_tables, guid 4611b3b8-a934-4aa9-9bd9-f6afec03a661
faction_id(string)	color_r1(int)	color_g1(int)	color_b1(int)	color_r2(int)	color_g2(int)	color_b2(int)	color_r3(int)	color_g3(int)	color_b3(int)
"Utsunomiya"	0	0	0	150	90	150	255	255	255
"amako"	0	0	0	236	236	236	255	255	255
"anegakoji"	66	29	16	255	237	207	0	182	167
"asai"	115	115	115	140	90	138	255	255	255
"asano"	121	77	26	186	186	255	209	56	58
"ashikaga"	0	0	0	248	230	183	170	0	0
"ashina"	57	57	57	255	202	66	24	105	180
"bessho"	221	25	0	255	253	216	0	0	0
"bos_aizu"	43	43	43	43	43	43	239	189	54
"bos_awaji_sumoto"	102	102	102	102	102	102	114	86	147
"bos_cb_aizu"	43	43	43	43	43	43	239	189	54
"bos_cb_choshu"	132	132	132	132	132	132	249	198	40
"bos_cb_jozai"	109	180	225	109	180	225	0	0	0
"bos_cb_nagaoka"	18	88	7	18	88	7	254	198	81
"bos_cb_obama"	136	97	45	136	97	45	255	209	49
"bos_cb_saga"	195	102	77	195	102	77	218	190	89
"bos_cb_satsuma"	36	68	113	36	68	113	255	255	255
"bos_cb_sendai"	83	115	168	83	115	168	255	203	43
"bos_cb_tosa"	98	125	166	179	40	13	255	255	255
"bos_cb_ueno"	224	224	224	224	224	224	184	89	158
"bos_choshu"	132	132	132	132	132	132	249	198	40
"bos_edo"	76	117	166	76	117	166	235	196	76
"bos_france"	0	0	0	0	0	0	0	0	0
"bos_fukue"	101	152	152	101	152	152	255	255	255
"bos_fukui"	73	154	82	73	154	82	255	255	255
"bos_fukuoka"	62	162	185	62	162	185	255	255	255
"bos_fukuyama"	63	136	45	63	136	45	255	255	255
"bos_great_britain"	0	0	0	0	0	0	0	0	0
"bos_gujohachiman"	172	161	42	172	161	42	255	255	255
"bos_hikone"	98	125	166	98	125	166	195	10	10
"bos_hirado"	206	39	48	98	125	166	255	255	255
"bos_hirosaki"	102	102	102	102	102	102	163	96	139
"bos_hiroshima"	154	51	51	154	51	51	255	255	255
"bos_imperial"	41	78	118	217	18	18	217	18	18
"bos_iwakuni"	147	117	48	147	117	48	255	255	255
"bos_jozai"	109	180	225	109	180	225	0	0	0
"bos_kakegawa"	222	123	29	222	123	29	255	255	255
"bos_kanazawa"	193	72	72	193	72	72	255	255	255
"bos_kofu"	193	164	72	193	164	72	255	255	255
"bos_koga"	243	236	190	243	236	190	0	0	0
"bos_kokura"	95	147	63	95	147	63	255	255	255
"bos_kubota"	98	125	166	98	125	166	239	12	12
"bos_kumamoto"	102	102	102	102	102	102	36	40	73
"bos_kuwana"	98	125	166	98	125	166	221	191	62
"bos_marugame"	89	102	93	89	102	93	53	196	75
