version 2, schema frontend_faction_leaders_tables, guid 417dadd0-e5f4-42bd-b3a1-8ce2f8ef9e9f
unknown1(optstring)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(float)	unknown6(float)
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_aizu"	"Boshin_Modern_Gen_Aizu_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_choshu"	"Boshin_Modern_Gen_Choshu_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_jozai"	"Boshin_Modern_Gen_Jozai_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_nagaoka"	"Boshin_Modern_Gen_Nagaoka_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_obama"	"Boshin_Modern_Gen_Obama_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_saga"	"Boshin_Modern_Gen_Saga_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_satsuma"	"Boshin_Modern_Gen_Satsuma_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_sendai"	"Boshin_Modern_Gen_Sendai_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_tosa"	"Boshin_Modern_Gen_Tosa_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"bos_ueno"	"Boshin_Modern_Gen_Ueno_Leader"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Chosokabe_bow.anim"	"shogun_yumi"	"chosokabe"	"Samurai_Gen_Chosokabe_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Date_NoDachi.anim"	"shogun_nodachi"	"date"	"Special_Gen_Date_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_fujiwara_hiraizumi"	"Genpei_Gen_Fujiwara_Hirazumi_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_fujiwara_kubota"	"Genpei_Gen_Fujiwara_Kubota_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_minamoto_kamakura"	"Genpei_Gen_Minamoto_Kamakura_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_minamoto_kiso"	"Genpei_Gen_Minamoto_Kiso_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_taira_fukuhara"	"Genpei_Gen_Taira_Fukuhara_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"gem_taira_yashima"	"Genpei_Gen_Taira_Yashima_Daimy"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hojo_No_weapon.anim"	"shogun_unarmed"	"hojo"	"Samurai_Gen_Hojo_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"iga_ninja"	"Samurai_Gen_Hattori_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"ikko_ikki"	"Samurai_Gen_Ikko_Ikki_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Mori_War_fan.anim"	"shogun_warfan"	"mori"	"Samurai_Gen_Mori_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Oda_short_Spear.anim"	"shogun_yari"	"oda"	"Special_Gen_Oda_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Hitori_No_weapon.anim"	"shogun_unarmed"	"otomo"	"Samurai_Gen_Camp_Gen_46"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Shimazu_Katana.anim"	"shogun_katana"	"shimazu"	"Samurai_Gen_Shimazu_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Takeda_No_Weapon.anim"	"shogun_unarmed"	"takeda"	"Samurai_Gen_Takeda_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Tokugawa_War_fan2_stool.anim"	"shogun_warfan_stool"	"tokugawa"	"Special_Gen_Tokugawa_Daimyo"	0	0
"Animations/SHOGUN_ANIMATION/CAMPAIGN/MEN/CAMPAIGN_SELECT/Uesugi_naginata.anim"	"shogun_naginata"	"uesugi"	"Special_Gen_Uesugi_Daimyo"	0	0
