version 1, schema ministerial_positions_switching_loyalty_effects_tables, guid 28d2923c-b028-4f34-b602-c20962510792
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
""	""	"clan_development"	"clan_finance"
""	""	"clan_development"	"clan_supplies"
""	""	"clan_development"	"clan_warfare"
""	""	"clan_finance"	"clan_development"
""	""	"clan_finance"	"clan_supplies"
""	""	"clan_finance"	"clan_warfare"
""	""	"clan_supplies"	"clan_development"
""	""	"clan_supplies"	"clan_finance"
""	""	"clan_supplies"	"clan_warfare"
""	""	"clan_warfare"	"clan_development"
""	""	"clan_warfare"	"clan_finance"
""	""	"clan_warfare"	"clan_supplies"
