version 1, schema ministerial_positions_tables, guid b44f3e40-2535-47e9-a3a1-ec6ee7f54f3b
unknown1(string)	unknown2(int)
"accident"	32
"army"	4
"bos_1_inspector_general"	22
"bos_2_comptroller"	23
"bos_3_chief_staff"	24
"bos_4_commander_chief"	25
"clan_development"	14
"clan_finance"	15
"clan_supplies"	13
"clan_warfare"	12
"faction_leader"	0
"finance"	2
"governor_africa"	9
"governor_america"	7
"governor_asia"	10
"governor_europe"	6
"governor_india"	8
"head_of_government"	1
"justice"	3
"navy"	5
"royal_child_1"	-3
"royal_child_2"	-4
"royal_child_3"	-5
"royal_child_4"	-6
"royal_child_5"	-7
"royal_claimant"	-20
"royal_heir"	-1
"spouse_of_monarch"	-2
"spouse_of_royal_child_1"	-8
"spouse_of_royal_child_2"	-9
"spouse_of_royal_child_3"	-10
"spouse_of_royal_child_4"	-11
"spouse_of_royal_child_5"	-12
"spouse_of_royal_heir"	-13
