version 1, schema ministerial_positions_to_character_effects_tables, guid ca80aa3d-0f5e-49a8-a2a3-135507da8fa0
unknown1(string)	unknown2(int)	unknown3(string)	unknown4(int)	unknown5(int)
"bos_minister_repression_local"	0	"bos_1_inspector_general"	1	0
"bos_minister_repression_local"	1	"bos_1_inspector_general"	1	1
"bos_minister_repression_local"	2	"bos_1_inspector_general"	1	1
"bos_minister_repression_local"	3	"bos_1_inspector_general"	1	1
"bos_minister_repression_local"	4	"bos_1_inspector_general"	1	2
"bos_minister_repression_local"	5	"bos_1_inspector_general"	1	2
"bos_minister_repression_local"	6	"bos_1_inspector_general"	1	3
"bos_minister_tax_local"	0	"bos_2_comptroller"	1	0
"bos_minister_tax_local"	1	"bos_2_comptroller"	1	3
"bos_minister_tax_local"	2	"bos_2_comptroller"	1	3
"bos_minister_tax_local"	3	"bos_2_comptroller"	1	3
"bos_minister_tax_local"	4	"bos_2_comptroller"	1	6
"bos_minister_tax_local"	5	"bos_2_comptroller"	1	6
"bos_minister_tax_local"	6	"bos_2_comptroller"	1	9
"bos_minister_agent_recruitment_cost_local"	0	"bos_3_chief_staff"	1	0
"bos_minister_agent_recruitment_cost_local"	1	"bos_3_chief_staff"	1	-20
"bos_minister_agent_recruitment_cost_local"	2	"bos_3_chief_staff"	1	-20
"bos_minister_agent_recruitment_cost_local"	3	"bos_3_chief_staff"	1	-20
"bos_minister_agent_recruitment_cost_local"	4	"bos_3_chief_staff"	1	-40
"bos_minister_agent_recruitment_cost_local"	5	"bos_3_chief_staff"	1	-40
"bos_minister_agent_recruitment_cost_local"	6	"bos_3_chief_staff"	1	-60
"bos_minister_morale_local"	0	"bos_4_commander_chief"	1	0
"bos_minister_morale_local"	1	"bos_4_commander_chief"	1	1
"bos_minister_morale_local"	2	"bos_4_commander_chief"	1	1
"bos_minister_morale_local"	3	"bos_4_commander_chief"	1	1
"bos_minister_morale_local"	4	"bos_4_commander_chief"	1	2
"bos_minister_morale_local"	5	"bos_4_commander_chief"	1	2
"bos_minister_morale_local"	6	"bos_4_commander_chief"	1	3
"happy_resistance_mod_general"	0	"clan_development"	1	0
"happy_resistance_mod_general"	1	"clan_development"	1	8
"happy_resistance_mod_general"	2	"clan_development"	1	16
"happy_resistance_mod_general"	3	"clan_development"	1	24
"happy_resistance_mod_general"	4	"clan_development"	1	32
"happy_resistance_mod_general"	5	"clan_development"	1	40
"happy_resistance_mod_general"	6	"clan_development"	1	48
"mod_unit_upkeep_all_local"	0	"clan_finance"	1	0
"mod_unit_upkeep_all_local"	1	"clan_finance"	1	-2
"mod_unit_upkeep_all_local"	2	"clan_finance"	1	-4
"mod_unit_upkeep_all_local"	3	"clan_finance"	1	-6
"mod_unit_upkeep_all_local"	4	"clan_finance"	1	-8
"mod_unit_upkeep_all_local"	5	"clan_finance"	1	-10
"mod_unit_upkeep_all_local"	6	"clan_finance"	1	-12
"movement_points_all_local"	0	"clan_supplies"	1	0
"movement_points_all_local"	1	"clan_supplies"	1	3
"movement_points_all_local"	2	"clan_supplies"	1	6
"movement_points_all_local"	3	"clan_supplies"	1	9
"movement_points_all_local"	4	"clan_supplies"	1	12
"movement_points_all_local"	5	"clan_supplies"	1	15
"movement_points_all_local"	6	"clan_supplies"	1	18
"mod_unit_ability_cooldown"	0	"clan_warfare"	1	0
"mod_unit_ability_cooldown"	1	"clan_warfare"	1	-2
"mod_unit_ability_cooldown"	2	"clan_warfare"	1	-4
"mod_unit_ability_cooldown"	3	"clan_warfare"	1	-6
"mod_unit_ability_cooldown"	4	"clan_warfare"	1	-8
"mod_unit_ability_cooldown"	5	"clan_warfare"	1	-10
"mod_unit_ability_cooldown"	6	"clan_warfare"	1	-12
"mod_unit_morale_local"	0	"faction_leader"	1	0
"mod_unit_morale_local"	1	"faction_leader"	1	1
"mod_unit_morale_local"	2	"faction_leader"	1	1
"mod_unit_morale_local"	3	"faction_leader"	1	1
"mod_unit_morale_local"	4	"faction_leader"	1	2
"mod_unit_morale_local"	5	"faction_leader"	1	2
"mod_unit_morale_local"	6	"faction_leader"	1	3
