version 1, schema mount_variants_tables, guid ddb08c9d-b715-43fd-adb4-dcbc6c6f08cb
Mount_variant(string)	Mount_ID(string)	unknown3(float)
"shogun_horse_general"	"Horse_Shogun_Cav_General_Chestnut"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Chestnut"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Chestnut"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Brown"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Palomino"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Tan"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Bay"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Brown"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Palomino"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Tan"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Bay"	1
"shogun_horse_general"	"Horse_Shogun_Cav_General_Grey"	1
"shogun_horse_general"	"Horse_Shogun_Cav_General_Brown"	1
"shogun_horse_general"	"Horse_Shogun_Cav_General_Palomino"	1
"shogun_horse_general"	"Horse_Shogun_Cav_General_Tan"	1
"shogun_horse_general"	"Horse_Shogun_Cav_General_Bay"	1
"shogun_horse_samurai"	"Horse_Shogun_Cav_Samurai_Grey"	1
"shogun_horse_ronin"	"Horse_Shogun_Cav_Ronin_Grey"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Grey"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Bay"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Tan"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Palomino"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Brown"	1
"sh_horse"	"Horse_Shogun_Cav_Sh_Chestnut"	1
