version 1, schema mp_budgets_tables, guid 979f9c76-f281-4b53-a391-c7ca8cdd30ec
unknown1(int)	unknown2(string)	unknown3(string)	unknown4(boolean)	unknown5(boolean)
5000	"custom"	"land_custom"	true	false
5000	"custom_mp"	"land_custom_mp"	true	false
40000	"huge"	"land_huge"	true	false
20000	"huge_mp"	"land_huge_mp"	true	false
28000	"large"	"land_large"	true	false
14000	"large_mp"	"land_large_mp"	true	false
20000	"medium"	"land_medium"	true	false
10000	"medium_mp"	"land_medium_mp"	true	false
5000	"custom"	"land_siege_custom"	true	true
5000	"custom_mp"	"land_siege_custom_mp"	true	true
40000	"huge"	"land_siege_huge"	true	true
20000	"huge_mp"	"land_siege_huge_mp"	true	true
28000	"large"	"land_siege_large"	true	true
14000	"large_mp"	"land_siege_large_mp"	true	true
20000	"medium"	"land_siege_medium"	true	true
10000	"medium_mp"	"land_siege_medium_mp"	true	true
10000	"small"	"land_siege_small"	true	true
5000	"small_mp"	"land_siege_small_mp"	true	true
10000	"small"	"land_small"	true	false
5000	"small_mp"	"land_small_mp"	true	false
5000	"custom"	"sea_custom"	false	false
5000	"custom_mp"	"sea_custom_mp"	false	false
40000	"huge"	"sea_huge"	false	false
20000	"huge_mp"	"sea_huge_mp"	false	false
36000	"large"	"sea_large"	false	false
18000	"large_mp"	"sea_large_mp"	false	false
20000	"medium"	"sea_medium"	false	false
10000	"medium_mp"	"sea_medium_mp"	false	false
10000	"small"	"sea_small"	false	false
5000	"small_mp"	"sea_small_mp"	false	false
