version 1, schema mp_force_gen_template_junctions_tables, guid 51aadcd8-2ad5-42d5-824a-239fd244d30c
unknown1(string)	unknown2(string)	unknown3(float)	unknown4(int)	unknown5(int)	unknown6(int)	unknown7(int)	unknown8(int)	unknown9(int)	unknown10(int)	unknown11(int)	unknown12(int)	unknown13(float)	unknown14(float)
"multiplayer"	"land_custom"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_custom_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_huge"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_huge_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_large"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_large_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_medium"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_medium_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_custom"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_custom_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_huge"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_huge_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_large"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_large_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_medium"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_medium_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"land_siege_small"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.005
"multiplayer"	"land_siege_small_mp"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.0004999999655410647
"multiplayer"	"land_small"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.0004999999655410647
"multiplayer"	"land_small_mp"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.0004999999655410647
"multiplayer"	"sea_custom"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_custom_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_huge"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_huge_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_large"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_large_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_medium"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_medium_mp"	0.05	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.9485	0.0004999999655410647
"multiplayer"	"sea_small"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.0004999999655410647
"multiplayer"	"sea_small_mp"	0.1	1	6553607	6684773	7667809	7602284	6553607	6684773	7667809	7602284	0.895	0.0004999999655410647
