version 1, schema multiplayer_faction_descriptions_tables, guid 5721bbac-1940-4d34-9994-f86242ac8ba2
unknown1(string)	unknown2(string)	unknown3(string)
"bos_cb_aizu"	"Shogunate supporting faction with lots of unique units."	"Standard ships."
"bos_cb_choshu"	"Imperial supporting faction."	"Standard ships."
"bos_cb_jozai"	"Shogunate supporting faction."	"Standard ships."
"bos_cb_nagaoka"	"Shogunate supporting faction."	"Standard ships."
"bos_cb_obama"	"Shogunate supporting faction."	"Standard ships."
"bos_cb_saga"	"Imperial supporting faction."	"Standard ships."
"bos_cb_satsuma"	"Imperial supporting faction."	"Standard ships."
"bos_cb_sendai"	"Shogunate supporting faction."	"Standard ships."
"bos_cb_tosa"	"Imperial supporting faction."	"Standard ships."
"bos_cb_ueno"	"Imperial supporting faction."	"Standard ships."
"bos_imperial"	"Imperial supporting faction."	"Standard ships."
"bos_shogunate"	"Shogunate supporting faction."	"Standard ships."
"chosokabe"	"Superior bow infantry."	"Standard ships."
"date"	"Superior no-dachi samurai."	"Standard ships."
"gem_fujiwara_hiraizumi"	"Standard land units."	"Standard ships."
"gem_fujiwara_kubota"	"Standard land units."	"Standard ships."
"gem_minamoto_kamakura"	"Standard land units."	"Standard ships."
"gem_minamoto_kiso"	"Standard land units."	"Standard ships."
"gem_taira_fukuhara"	"Standard land units."	"Standard ships."
"gem_taira_yashima"	"Standard land units."	"Standard ships."
"hojo"	"Superior siege weapons."	"Standard ships."
"iga_ninja"	"Superior kisho ninja units.\\n\\nAshigaru and samurai can deploy outside of deployment area."	"Standard ships."
"ikko_ikki"	"Unique unit naginata warrior monk cavalry.\\n\\nAshigaru have superior morale but lower melee and ranged stats.\\n\\nNo samurai units."	"Standard ships."
"mori"	"Standard land units."	"Superior ships."
"oda"	"Superior ashigaru."	"Standard ships."
"otomo"	"Superior Matchlock units."	"Superior matchlock kobaya."
"shimazu"	"Superior katana samurai.\\n\\nSuperior katana heroes."	"Standard ships."
"takeda"	"Superior cavalry."	"Standard ships."
"tokugawa"	"Superior kisho ninja units."	"Standard ships."
"uesugi"	"Superior warrior monks."	"Standard ships."
