version 3, schema naval_uniforms_tables, guid b8cb2318-6eda-4da2-bccd-ede4c5381562
unknown1(optstring)	unknown2(string)	unknown3(boolean)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(string)	unknown8(string)	unknown9(optstring)
nil	"Boshin_Naval_Inf_Corvette_Kaiten"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kaiten"	"Boshin_Corvette_Kaiten"	nil
nil	"Boshin_Naval_Inf_Corvette_Kaiten"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kaiten_Copper_Plated"	"Boshin_Corvette_Kaiten_Copper_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kaiten"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kaiten_Iron_Plated"	"Boshin_Corvette_Kaiten_Iron_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kaiten"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kaiten_MP"	"Boshin_Corvette_Kaiten_MP"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanko_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanko_Maru"	"Boshin_Corvette_Kanko_Maru"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanko_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanko_Maru_Copper_Plated"	"Boshin_Corvette_Kanko_Maru_Copper_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanko_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanko_Maru_Iron_Plated"	"Boshin_Corvette_Kanko_Maru_Iron_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanko_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanko_Maru_MP"	"Boshin_Corvette_Kanko_Maru_MP"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanrin_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanrin_Maru"	"Boshin_Corvette_Kanrin_Maru"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanrin_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanrin_Maru_Copper_Plated"	"Boshin_Corvette_Kanrin_Maru_Copper_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanrin_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanrin_Maru_Iron_Plated"	"Boshin_Corvette_Kanrin_Maru_Iron_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kanrin_Maru"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kanrin_Maru_MP"	"Boshin_Corvette_Kanrin_Maru_MP"	nil
nil	"Boshin_Naval_Inf_Corvette_Kasuga"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kasuga"	"Boshin_Corvette_Kasuga"	nil
nil	"Boshin_Naval_Inf_Corvette_Kasuga"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kasuga_Copper_Plated"	"Boshin_Corvette_Kasuga_Copper_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kasuga"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kasuga_Iron_Plated"	"Boshin_Corvette_Kasuga_Iron_Plated"	nil
nil	"Boshin_Naval_Inf_Corvette_Kasuga"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kasuga_Iron_Plated"	"Boshin_Corvette_Kasuga_Iron_Plated_MP"	nil
nil	"Boshin_Naval_Inf_Corvette_Kasuga"	false	false	"STAND"	false	"Default_Boshin_Corvette_Kasuga_MP"	"Boshin_Corvette_Kasuga_MP"	nil
nil	"Boshin_Naval_Inf_Frigate_Kaiyo_Maru"	false	false	"STAND"	false	"Default_Boshin_Frigate_Kaiyo_Maru"	"Boshin_Frigate_Kaiyo_Maru"	nil
nil	"Boshin_Naval_Inf_Frigate_Kaiyo_Maru"	false	false	"STAND"	false	"Default_Boshin_Frigate_Kaiyo_Maru_Copper_Plated"	"Boshin_Frigate_Kaiyo_Maru_Copper_Plated"	nil
nil	"Boshin_Naval_Inf_Frigate_Kaiyo_Maru"	false	false	"STAND"	false	"Default_Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	"Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	nil
nil	"Boshin_Naval_Inf_Frigate_Kaiyo_Maru"	false	false	"STAND"	false	"Default_Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	"Boshin_Frigate_Kaiyo_Maru_Iron_Plated_MP"	nil
nil	"Boshin_Naval_Inf_Frigate_Kaiyo_Maru"	false	false	"STAND"	false	"Default_Boshin_Frigate_Kaiyo_Maru_MP"	"Boshin_Frigate_Kaiyo_Maru_MP"	nil
nil	"Boshin_Naval_Inf_Ironclad_Kotetsu"	false	false	"STAND"	false	"Default_Boshin_Ironclad_Kotetsu_MP"	"Boshin_Gen_Ironclad_Kotetsu_MP"	nil
nil	"Boshin_Naval_Inf_Gun_Boat_Chiyodagata"	false	false	"STAND"	false	"Default_Boshin_Gun_Boat_Chiyodagata"	"Boshin_Gun_Boat_Chiyodagata"	nil
nil	"Boshin_Naval_Inf_Gun_Boat_Chiyodagata"	false	false	"STAND"	false	"Default_Boshin_Gun_Boat_Chiyodagata_MP"	"Boshin_Gun_Boat_Chiyodagata_MP"	nil
nil	"Boshin_Naval_Inf_Ironclad_HMS_Warrior"	false	false	"STAND"	false	"Default_Boshin_Ironclad_HMS_Warrior"	"Boshin_Ironclad_HMS_Warrior"	nil
nil	"Boshin_Naval_Inf_Ironclad_HMS_Warrior"	false	false	"STAND"	false	"Default_Boshin_Ironclad_HMS_Warrior_MP"	"Boshin_Ironclad_HMS_Warrior_MP"	nil
nil	"Boshin_Naval_Inf_Ironclad_Kotetsu"	false	false	"STAND"	false	"Default_Boshin_Ironclad_Kotetsu"	"Boshin_Ironclad_Kotetsu"	nil
nil	"Boshin_Naval_Inf_Ironclad_Kotetsu"	false	false	"STAND"	false	"Default_Boshin_Ironclad_Kotetsu_MP"	"Boshin_Ironclad_Kotetsu_MP"	nil
nil	"Boshin_Naval_Inf_Ironclad_L'Ocean"	false	false	"STAND"	false	"Default_Boshin_Ironclad_L'Ocean"	"Boshin_Ironclad_L'Ocean"	nil
nil	"Boshin_Naval_Inf_Ironclad_L'Ocean"	false	false	"STAND"	false	"Default_Boshin_Ironclad_L'Ocean_MP"	"Boshin_Ironclad_L'Ocean_MP"	nil
nil	"Boshin_Naval_Inf_Ironclad_USS_Roanoke"	false	false	"STAND"	false	"Default_Boshin_Ironclad_USS_Roanoke"	"Boshin_Ironclad_USS_Roanoke"	nil
