version 4, schema pdlc_tables, guid 03f85339-0afc-4083-843c-e53aefd130c7
unknown1(string)	unknown2(int)	unknown3(optstring)	unknown4(int)
"TWS2"	201270	"The award-winning Total War: SHOGUN 2 places you at the centre of the action during Japan's Sengoku Jidai, the brutal civil war to end all others."	14
"TWS2_EXP_1"	201271	"A brand new full-scale expansion set during the 19th Century Boshin War, featuring naval bombardment, railways, and an improved multi-player mode."	12
"TWS2_PDLC_1"	34348	"A brand new downloadable pack including the Ikko Ikki as a playable clan, plus new multi-player units, retainers and an Ikko Ikki armour set."	2
"TWS2_PDLC_10"	201276	"Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes."	9
"TWS2_PDLC_11"	201279	"A brand new downloadable pack featuring 9 new hero units for use in both single and multiplayer modes."	10
"TWS2_PDLC_12"	223180	"A brand new downloadable pack for Total War: SHOGUN 2 is now available to purchase through Steam, featuring the Otomo as a playable clan in single player mode."	13
"TWS2_PDLC_2"	34342	"A brand new downloadable pack featuring 11 new units for use in both single and multiplayer modes."	3
"TWS2_PDLC_3"	34343	"A brand new downloadable pack set during the explosive Gempei War, featuring new units, agents, and retainers. Available in both single and multi-player modes."	11
"TWS2_PDLC_4"	201272	"A brand new downloadable pack adding blood and gore effects to Total War: SHOGUN 2 and Rise of the Samurai."	5
"TWS2_PDLC_5"	34345	"A brand new downloadable pack including the Hattori as a playable clan, plus a series of custom units for use in both single and multiplayer modes."	4
"TWS2_PDLC_6"	201277	"A brand new downloadable pack featuring a cycle of 6 historical battles from the Boshin War era to complete. Already available in Fall of the Samurai!"	1
"TWS2_PDLC_7"	201273	"Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes."	6
"TWS2_PDLC_8"	201274	"Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes."	7
"TWS2_PDLC_9"	201275	"Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes."	8
