key	category	shot_type	missile_type	missile_model	explosion_type	trail	spin_type	projectile_number	in_flight_transition	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	penetration	incendiary	blast_effect	can_bounce	high_air_resistance	collision_radius	base_reload_time	base_misfire_chance	weather_effect	sail_damage_modifier	below_waterline_damage_modifier	launch_audio	hit_audio	launch_particle_effect	projectile_trail_particle_effect	impact	gun_type	first_person_launch_particle_effect	calibration_distance	calibration_area	can_penetrate_fort_wall	gravity
#projectiles_tables;5;db/projectiles_tables/projectiles																																							
arrow_flaming	missile	flaming_arrow	arrow	projectile_arrow		additve_fire_arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	0.5000		low		false	false	0.1000	14	0		0.1000	0.0000	bow	small		fire_arrow_trail	fire_arrow	bow		100.0000	1.0000	false	-1.0000
arrow_flaming_exteme_range	missile	flaming_arrow	arrow	projectile_arrow		additve_fire_arrow_trail	none	1		low	200	0	88	50.0000	5.0000	0.0000	0.5000		low		false	false	0.1000	14	0		0.1000	0.0000	bow	small		fire_arrow_trail	fire_arrow	bow		100.0000	1.0000	false	-1.0000
arrow_flaming_long_range	missile	flaming_arrow	arrow	projectile_arrow		additve_fire_arrow_trail	none	1		low	175	0	88	50.0000	5.0000	0.0000	0.5000		low		false	false	0.1000	14	0		0.1000	0.0000	bow	small		fire_arrow_trail	fire_arrow	bow		100.0000	1.0000	false	-1.0000
arrow_flaming_naval	missile	flaming_arrow	arrow	projectile_arrow		additve_fire_arrow_trail	none	1		low	180	0	88	50.0000	5.0000	0.0000	1.0000		low		false	false	0.1000	14	0		0.1000	0.0000	bow	small		fire_arrow_trail	fire_arrow	bow		100.0000	1.0000	false	-1.0000
arrow_flaming_stationary	missile	flaming_arrow	arrow	projectile_arrow		additve_fire_arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	1.0000		low		false	false	0.1000	14	0		0.1000	0.0000	bow	small		fire_arrow_impact_long		bow		100.0000	1.0000	false	-1.0000
arrow_whistling	missile	whistling_arrows	arrow	projectile_arrow		arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	0.1000				false	false	0.1000	14	0		0.1000	0.0000	bow	small			musket_ball	bow		100.0000	1.0000	false	-1.0000
arrow_whistling_extreme_range	missile	whistling_arrows	arrow	projectile_arrow		arrow_trail	none	1		low	200	0	88	50.0000	5.0000	0.0000	0.1000				false	false	0.1000	14	0	low	0.1000	0.0000	bow	small			musket_ball	bow		100.0000	1.0000	false	-1.0000
arrow_whistling_long_range	missile	whistling_arrows	arrow	projectile_arrow		arrow_trail	none	1		low	175	0	88	50.0000	5.0000	0.0000	0.1000				false	false	0.1000	14	0	low	0.1000	0.0000	bow	small			musket_ball	bow		100.0000	1.0000	false	-1.0000
blinding_grenade	missile	blinding_grenade	grenade	projectile_grenade	grenade_blinding	alpha_grenade	grenade_spin	1		low	75	5	90	30.0000	-200.0000	0.0000	0.0000	effective_range_based			false	false	0.1000	0	0	low	0.1000	0.0000	flight	small			musket_ball	grenade		100.0000	1.0000	false	-1.0000
boshin_armstrong_gun_shell	missile	explosive_shell	cannon_ball	projectile_cannonbal	boshin_armstrong_gun_shell	alpha_grenade	grenade_spin	1	shrapnel	low	550	25	30	170.0000	0.0000	0.0000	1.0000	ap	medium		false	false	0.0100	25	0		0.1000	0.0000	cannon	large	Cannon_common_shot_lrg			howitzer		300.0000	35.0000	true	30.0000
boshin_breech_loading_rifle	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	10	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_carbine	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	6	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_common_shell_fragment_extra_large	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	180	15.0000	0.0000	0.0000	10.0000		medium		false	false	0.1000	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
boshin_common_shell_fragment_large	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	180	10.0000	0.0000	0.0000	8.0000		medium		false	false	0.1000	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
boshin_common_shell_fragment_medium	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	180	15.0000	0.0000	0.0000	6.0000		medium		false	false	0.1000	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
boshin_common_shell_fragment_small	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	180	15.0000	0.0000	0.0000	4.0000		medium		false	false	0.1000	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
boshin_gatling_gun_bullet	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	250	0	88	200.0000	0.0000	1.0000	1.0000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	Gatling_Gun_Fire		musket_ball	musket_breech		50.0000	3.0000	true	-1.0000
boshin_matchlock	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	100	0	88	200.0000	0.0000	0.0000	0.8000	ap			false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_matchlock_naval	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	180	0	88	200.0000	0.0000	0.0000	1.0000				false	false	0.1000	6	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	false	-1.0000
boshin_musket	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.8000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_naval_battery_shot_common_extra_large	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	1200	0	40	500.0000	30.0000	0.0000	500.0000			impact	false	false	0.5000	10	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_battery_shot_common_large	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	1100	0	40	500.0000	30.0000	0.0000	300.0000			impact	false	false	0.4000	9	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_battery_shot_common_medium	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	1000	0	40	300.0000	30.0000	0.0000	200.0000			impact	false	false	0.3000	8	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_battery_shot_common_small	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	900	0	40	300.0000	50.0000	0.0000	150.0000			impact	false	false	0.2000	7	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_bombardment_large	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_bombardment_large	alpha	shell_spin	1		fixed	2000	0	60	300.0000	50.0000	0.0000	150.0000	ap	high	explode	false	false	0.5000	20	0		0.1000	0.0000	boom	large			large_ball	cannon		300.0000	35.0000	false	10.0000
boshin_naval_bombardment_medium	artillery	solid_shot	cannon_ball	projectile_cannonbal	boshin_bombardment_medium	alpha	shell_spin	1		fixed	2000	0	60	300.0000	50.0000	0.0000	150.0000	ap	high	explode	false	false	0.4000	10	0		0.1000	0.0000	boom	large			large_ball	cannon		300.0000	35.0000	false	10.0000
boshin_naval_bombardment_small	artillery	solid_shot	cannon_ball	projectile_cannonbal	boshin_bombardment_small	alpha	shell_spin	1		fixed	2000	0	60	300.0000	50.0000	0.0000	150.0000	ap	high	explode	false	false	0.2000	5	0		0.1000	0.0000	boom	large			large_ball	cannon		300.0000	35.0000	false	10.0000
boshin_naval_cannon_shot_adv_segment_extra_large	artillery	segment_shell_improved	cannon_ball	projectile_cannonbal	boshin_segment_shell_extra_large	alpha	shell_spin	1		low	850	0	40	500.0000	20.0000	0.0000	550.0000	ap	medium	explode	false	false	0.5000	20	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_adv_segment_kotetsu	artillery	segment_shell_improved	cannon_ball	projectile_cannonbal	boshin_segment_shell_extra_large	alpha	shell_spin	1		low	1000	0	40	500.0000	40.0000	0.0000	800.0000	ap	high	explode	false	false	0.5000	7	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_adv_segment_large	artillery	segment_shell_improved	cannon_ball	projectile_cannonbal	boshin_segment_shell_large	alpha	shell_spin	1		low	800	0	40	500.0000	20.0000	0.0000	350.0000	ap	medium	explode	false	false	0.4000	15	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_adv_segment_medium	artillery	segment_shell_improved	cannon_ball	projectile_cannonbal	boshin_segment_shell_medium	alpha	shell_spin	1		low	750	0	40	500.0000	30.0000	0.0000	250.0000	ap	medium	explode	false	false	0.3000	10	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_adv_segment_small	artillery	segment_shell_improved	cannon_ball	projectile_cannonbal	boshin_segment_shell_small	alpha	shell_spin	1		low	700	0	40	500.0000	50.0000	0.0000	200.0000	ap	medium	explode	false	false	0.2000	7	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_common_extra_large	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_common_shell_extra_large	alpha	shell_spin	1		low	850	0	40	300.0000	20.0000	0.0000	450.0000		medium	explode	false	false	0.5000	20	0		0.1000	0.0000	boom	large	Cannon_common_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_common_kotetsu	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_common_shell_extra_large	alpha	shell_spin	1		low	800	0	40	300.0000	40.0000	0.0000	750.0000		high	explode	false	false	0.5000	7	0		0.1000	0.0000	boom	large	Cannon_common_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_common_large	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_common_shell_large	alpha	shell_spin	1		low	600	0	40	300.0000	20.0000	0.0000	250.0000		high	explode	false	false	0.4000	15	0		0.1000	0.0000	boom	large	Cannon_common_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_common_medium	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_common_shell_medium	alpha	shell_spin	1		low	550	0	40	300.0000	30.0000	0.0000	150.0000		high	explode	false	false	0.3000	14	0		0.1000	0.0000	boom	large	Cannon_common_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_common_small	artillery	common_shell	cannon_ball	projectile_cannonbal	boshin_common_shell_small	alpha	shell_spin	1		low	500	0	40	300.0000	50.0000	0.0000	100.0000		high	explode	false	false	0.2000	7	0		0.1000	0.0000	boom	large	Cannon_common_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_segment_extra_large	artillery	segment_shell	cannon_ball	projectile_cannonbal	boshin_segment_shell_extra_large	alpha	shell_spin	1		low	850	0	40	500.0000	20.0000	0.0000	500.0000	ap	low	explode	false	false	0.5000	20	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_segment_kotetsu	artillery	segment_shell	cannon_ball	projectile_cannonbal	boshin_segment_shell_extra_large	alpha	shell_spin	1		low	1000	0	40	500.0000	40.0000	0.0000	750.0000	ap	high	explode	false	false	0.5000	7	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_segment_large	artillery	segment_shell	cannon_ball	projectile_cannonbal	boshin_segment_shell_large	alpha	shell_spin	1		low	800	0	40	500.0000	20.0000	0.0000	300.0000	ap	low	explode	false	false	0.4000	15	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_segment_medium	artillery	segment_shell	cannon_ball	projectile_cannonbal	boshin_segment_shell_medium	alpha	shell_spin	1		low	750	0	40	500.0000	30.0000	0.0000	200.0000	ap	low	explode	false	false	0.3000	10	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_segment_small	artillery	segment_shell	cannon_ball	projectile_cannonbal	boshin_segment_shell_small	alpha	shell_spin	1		low	700	0	40	500.0000	50.0000	0.0000	150.0000	ap	low	explode	false	false	0.2000	7	0		0.1000	0.0000	boom	large	Cannon_segment_shot_lrg		large_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_solid_extra_large	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	850	0	40	300.0000	30.0000	0.0000	500.0000			impact	false	false	0.5000	10	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_solid_kotetsu	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	1000	0	40	300.0000	50.0000	0.0000	800.0000			impact	false	false	0.5000	7	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_solid_large	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	800	0	40	300.0000	30.0000	0.0000	300.0000			impact	false	false	0.4000	9	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_solid_medium	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	750	0	40	300.0000	30.0000	0.0000	200.0000			impact	false	false	0.3000	8	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_cannon_shot_solid_small	artillery	solid_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	550	0	40	300.0000	50.0000	0.0000	150.0000			impact	false	false	0.2000	7	0		0.1000	0.0000	gun	large	Cannon_solid_shot_lrg		default_ball	cannon		300.0000	9.0000	false	-1.0000
boshin_naval_gatling_gun_bullet	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	250	0	88	200.0000	50.0000	0.0000	5.0000				false	false	0.2000	18	0		0.1000	0.0000	small_arm	small	Gatling_Gun_Fire		musket_ball	musket_breech		150.0000	3.0000	false	-1.0000
boshin_naval_mine	naval	explosive_shell	grenade	boshin_naval_mine	naval_mine	alpha_grenade	grenade_spin	1		high	50	0	180	45.0000	0.0000	2.0000	200.0000		medium		false	false	1.0000	0	0		0.1000	0.0000	mortar	small			flare	grenade		100.0000	1.0000	false	-1.0000
boshin_naval_torpedo	rocket	torpedo	torpedo	projectile_naval_torpedo	boshin_naval_torpedo	alpha	none	1		torpedo	1000	0	25	2.0000	0.0000	0.0000	2500.0000			explode	false	false	0.5000	20	0		0.1000	5000.0000	boom	large		torpedo_trail		none		300.0000	9.0000	false	-1.0000
boshin_naval_torpedo_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	360	80.0000	0.0000	0.0000	2500.0000			impact	false	true	0.5000	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
boshin_officer_revolver	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	70	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_parrot_gun_shell	missile	explosive_shell	cannon_ball	projectile_cannonbal	boshin_parrot_gun_shell	alpha_grenade	grenade_spin	1	shrapnel	low	550	25	30	170.0000	0.0000	0.0000	1.0000	ap	medium		false	false	0.0100	25	0		0.1000	0.0000	cannon	large				howitzer		300.0000	35.0000	true	30.0000
boshin_repeating_rifle	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	150	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	6	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_revolver	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	70	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_rifle	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_rifle_suppressive	missile	suppression_shot	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_segment_shell_fragment_extra_large	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	1	20.0000	0.0000	0.0000	100.0000		high		false	true	0.0700	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		300.0000	35.0000	false	-1.0000
boshin_segment_shell_fragment_large	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	1	20.0000	0.0000	0.0000	80.0000	ap	high		false	true	0.0700	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		300.0000	35.0000	false	-1.0000
boshin_segment_shell_fragment_medium	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	1	20.0000	0.0000	0.0000	60.0000	ap	high		false	true	0.0700	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		300.0000	35.0000	false	-1.0000
boshin_segment_shell_fragment_small	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	200	0	1	20.0000	0.0000	0.0000	40.0000	ap	high		false	true	0.0700	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		300.0000	35.0000	false	-1.0000
