version 1, schema quotes_people_tables, guid 299da137-73f8-4df6-a971-af23cdface07
Quote_Person_ID(string)	Description(string)
"asakura_soteki"	"Asakura Soteki (1474 - 1555)"
"bismarck"	"Otto von Bismarck, Minister-President of the Kingdom of Prussia (1815 - 1898)"
"buddha"	"Buddha (563 BC - 483 BC)"
"bushido_maxim"	"Maxim from Bushido (The Way of the Warrior)"
"chinese_proverb"	"Chinese proverb"
"clausewitz"	"Karl von Clausewitz, German military theorist (1780 - 1831)"
"death_poem"	"Japanese death poem"
"dogen_zenji"	"Dogen Zenji (1200 - 1253), Zen Buddhist teacher"
"edward_neale"	"Lieutenant-Colonel Edward Neale, head of the British legation (1812 - 1866)"
"herman_melville"	"Extract from Moby Dick, Herman Melville (1819 - 1891)"
"hijikata_toshizo"	"Hijikata Toshizo, vice-commander of the Shinsengumi (1835 - 1869)"
"hojo_nagauji"	"Hojo Nagauji (1432 - 1519)"
"hojo_shigetoki"	"Hojo Shigetoki (1198 - 1261)"
"honda_masanobu"	"Masanobu Honda (1538 - 1616)"
"ieyasu_constitution"	"Article 51 of the Constitution of the Warrior, Tokugawa Ieyasu (1543 - 1616)"
"ieyasu_constitution_2"	"Article 44 of the Constitution of the Warrior, Tokugawa Ieyasu (1543 - 1616)"
"imagawa_sadayo"	"Imagawa Sadayo (1326 - 1420)"
"iwamizudera_monogatari"	"Proverb mentioned in Iwamizudera Monogatari, Takeda Shingen (1521 - 1573)"
"japanese_proverb"	"Japanese proverb"
"kato_kiyomasa"	"Kato Kiyomasa (1562 - 1611)"
"keian_no_ofuregaki"	"Tenet of Keian no Ofuregaki (Edict of 1649)"
"kondo_death_poem"	"Kondo Isami's death poem"
"kondo_isami"	"Kondo Isami, commander of the Shinsengumi (1834 - 1868)"
"kondo_mistress"	"Kondo Isami's mistress"
"kuroda_nagamasa"	"Kuroda Nagamasa (1568 - 1623)"
"loyalist_oath"	"Imperialist oath"
"mahan"	"Captain A. T. Mahan, US Navy officer (1840 - 1914)"
"matsudaira_katamori"	"Matsudaira Katamori, Military Commissioner of Kyoto (1836 - 1893), upon hearing of the suicides of the Byakkotai"
"matsuo_basho"	"Matsuo Basho (1644 - 1694)"
"millard_fillmore"	"Millard Fillmore, 13th President of the United States (1800 - 1874)"
"miyamoto_musashi"	"Extract from The Book of Five Rings, Miyamoto Musashi (1584 - 1645)"
"nabeshima_naoshige"	"Nabeshima Naoshige (1537 - 1619)"
"ogasawara_dzusho"	"Missive of Ogasawara Dzusho no Kami, June 24th 1863"
"orwell"	"George Orwell, author and journalist (1903 - 1950)"
"saigo_mission"	"Saigo Takamori, Imperialist samurai and bureaucrat (1828 - 1877), upon hearing of the Meiji overseas mission to overturn the \"Unequal Treaties\""
"saigo_takamori"	"Saigo Takamori, Imperialist samurai and bureaucrat (1828 - 1877)"
"sakamoto_ryoma"	"Sakamoto Ryoma, Imperialist samurai (1836 - 1867)"
"shiba_yoshimasa"	"Shiba Yoshimasa (1350 - 1410)"
"shigeru_yoshida"	"Shigeru Yoshida, Japanese politician (1878 - 1967)"
"shimada_kai"	"Shimada Kai, lieutenant of the Shinsengumi (1828 - 1900), following the execution of Kondo Isami"
"sonno_joi"	"Imperialist maxim"
"sun_bin"	"Extract from The Art of War, Sun Bin (308 BC - 316 BC)"
"sun_tzu"	"Extract from The Art of War, Sun Tzu (544 BC - 496 BC)"
"takayama_ukon"	"Takayama Ukon (1552 - 1615)"
"takeda_nobushige"	"Takeda Nobushige (1525 - 1561)"
"takeda_shingen"	"Takeda Shingen (1521 - 1573)"
"tale_heike"	"Extract from The Tale of the Heike"
"tani_tateki"	"Tani Tateki, Imperialist samurai and bureaucrat (1837 - 1911), on the arrest of Kondo Isami"
"tanuma_okitsugu"	"Tanuma Okitsugu (1719 - 1788)"
"tokugawa_ieyasu"	"Tokugawa Ieyasu (1543 - 1616)"
"torii_mototada"	"Torii Mototada (1539 - 1600)"
"townsend_harris"	"Townsend Harris, US Consul General to Japan (1804 - 1878)"
"toyotomi_hideyoshi"	"Toyotomi Hideyoshi (1536 - 1600)"
"uejima_onitsura"	"Uejima Onitsura (1660 - 1738)"
"unknown"	"Unknown"
"yamamoto_tsunetomo"	"Maxim from Hagakure (In the Shadow of the Leaves), Yamamoto Tsunetomo (1659 - 1719)"
