version 1, schema regions_to_region_groups_junctions_tables, guid bfe697ca-be57-4982-ac35-f927f836bbec
unknown1(string)	unknown2(string)
"jap_harima"	"AI_nanban_port_centre"
"jap_inaba"	"AI_nanban_port_centre"
"jap_ise"	"AI_nanban_port_centre"
"jap_kii"	"AI_nanban_port_centre"
"jap_settsu"	"AI_nanban_port_centre"
"jap_tajima"	"AI_nanban_port_centre"
"jap_tango"	"AI_nanban_port_centre"
"jap_wakasa"	"AI_nanban_port_centre"
"jap_echizen"	"AI_nanban_port_east"
"jap_etchu"	"AI_nanban_port_east"
"jap_izu"	"AI_nanban_port_east"
"jap_kaga"	"AI_nanban_port_east"
"jap_mikawa"	"AI_nanban_port_east"
"jap_noto"	"AI_nanban_port_east"
"jap_owari"	"AI_nanban_port_east"
"jap_sagami"	"AI_nanban_port_east"
"jap_suruga"	"AI_nanban_port_east"
"jap_totomi"	"AI_nanban_port_east"
"jap_echigo"	"AI_nanban_port_far_east"
"jap_fukushima"	"AI_nanban_port_far_east"
"jap_hitachi"	"AI_nanban_port_far_east"
"jap_iwate"	"AI_nanban_port_far_east"
"jap_kazusa"	"AI_nanban_port_far_east"
"jap_miyagi"	"AI_nanban_port_far_east"
"jap_musashi"	"AI_nanban_port_far_east"
"jap_sado"	"AI_nanban_port_far_east"
"jap_shimosa"	"AI_nanban_port_far_east"
"jap_ugo"	"AI_nanban_port_far_east"
"jap_uzen"	"AI_nanban_port_far_east"
"jap_bungo"	"AI_nanban_port_far_west"
"jap_buzen"	"AI_nanban_port_far_west"
"jap_higo"	"AI_nanban_port_far_west"
"jap_hizen"	"AI_nanban_port_far_west"
"jap_hyuga"	"AI_nanban_port_far_west"
"jap_iyo"	"AI_nanban_port_far_west"
"jap_osumi"	"AI_nanban_port_far_west"
"jap_satsuma"	"AI_nanban_port_far_west"
"jap_tosa"	"AI_nanban_port_far_west"
"jap_tsukushi"	"AI_nanban_port_far_west"
"jap_aki"	"AI_nanban_port_west"
"jap_awa"	"AI_nanban_port_west"
"jap_awaji"	"AI_nanban_port_west"
"jap_bingo"	"AI_nanban_port_west"
"jap_bizen"	"AI_nanban_port_west"
"jap_hoki"	"AI_nanban_port_west"
"jap_iwami"	"AI_nanban_port_west"
"jap_izumo"	"AI_nanban_port_west"
"jap_nagato"	"AI_nanban_port_west"
"jap_sanuki"	"AI_nanban_port_west"
"jap_suo"	"AI_nanban_port_west"
