version 2, schema resources_tables, guid 564d3596-96de-42cd-9a15-0ec12cd0e05b
Resource_ID(string)	Dimension_Unit(optstring)	Slot_ID(string)	Effect_for_non_trade_goods_x0020__x0028__x003F__x0029_(int)	Graphic_path(string)	unknown6(int)
"res_bos_coal"	"tonnage"	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\bos_res_coal.tga"	500
"res_bos_copper"	"tonnage"	"settlement"	35	"data\\UI\\Campaign UI\\Pips\\bos_res_copper.tga"	500
"res_bos_cotton"	"sacks"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\bos_res_cotton.tga"	500
"res_bos_iron"	"tonnage"	"settlement"	36	"data\\UI\\Campaign UI\\Pips\\bos_res_iron.tga"	1000
"res_bos_machines"	"tonnage"	"settlement"	40	"data\\UI\\Campaign UI\\Pips\\bos_res_machines.tga"	500
"res_bos_silk"	"sacks"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\bos_res_silk.tga"	0
"res_bos_tea"	"sacks"	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\bos_res_tea.tga"	0
"res_cattle"	nil	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\corn.tga"	0
"res_coffee"	"sacks"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\coffee.tga"	0
"res_corn"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\corn.tga"	0
"res_cotton"	"bales"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\cotton.tga"	0
"res_fish"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\fish.tga"	0
"res_furs"	"pelts"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\furs.tga"	0
"res_gem_crafts"	"chests"	"settlement"	35	"data\\UI\\Campaign UI\\Pips\\resource_craft_goods.tga"	0
"res_gem_iron"	"bales"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\resource_iron.tga"	1000
"res_gem_scrolls"	"loaves"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\resource_chinese_texts.tga"	0
"res_gem_silk"	"sacks"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\resource_silk.tga"	500
"res_gem_wood"	"tonnage"	"settlement"	20	"data\\UI\\Campaign UI\\Pips\\resource_wood.tga"	500
"res_gems"	nil	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\gems.tga"	0
"res_gold"	nil	"settlement"	75	"data\\UI\\Campaign UI\\Pips\\gold.tga"	0
"res_iron"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\iron.tga"	0
"res_ivory"	"tusks"	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\ivory.tga"	0
"res_rice"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\rice.tga"	0
"res_sheep"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\sheep.tga"	0
"res_sho_cotton"	"bales"	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\resource_cotton.tga"	0
"res_sho_crafts"	"chests"	"settlement"	35	"data\\UI\\Campaign UI\\Pips\\resource_craft_goods.tga"	0
"res_sho_horses"	"loaves"	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\resource_warhorses.tga"	1000
"res_sho_iron"	"bales"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\resource_iron.tga"	1000
"res_sho_medicine"	"pounds"	"settlement"	40	"data\\UI\\Campaign UI\\Pips\\resource_spices.tga"	0
"res_sho_silk"	"sacks"	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\resource_silk.tga"	500
"res_sho_stone"	"tonnage"	"settlement"	20	"data\\UI\\Campaign UI\\Pips\\resource_stone.tga"	500
"res_sho_wood"	"tonnage"	"settlement"	20	"data\\UI\\Campaign UI\\Pips\\resource_wood.tga"	500
"res_silver"	nil	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\silver.tga"	0
"res_spices"	"pounds"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\spices.tga"	0
"res_sugar"	"loaves"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\sugar.tga"	0
"res_tea"	"chests"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\tea.tga"	0
"res_timber"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\timber.tga"	0
"res_tobacco"	"barrels"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\tobacco.tga"	0
"res_wheat"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\wheat.tga"	0
"res_wine"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\wine.tga"	0
