version 1, schema subtitles_tables, guid 9d18d182-a37b-4196-b5d4-69bafd682cd0
unknown1(string)	unknown2(string)
"DAI_SHO_CHO_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me."
"DAI_SHO_CHO_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_CHO_3"	"All will fear the Chosokabe! All will fear me! For I am shogun!"
"DAI_SHO_DAT_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_DAT_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_DAT_3"	"All will fear the Date! All will fear me! For I am shogun! "
"DAI_SHO_HOJ_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_HOJ_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_HOJ_3"	"All will fear the Hojo! All will fear me! For I am shogun!"
"DAI_SHO_IGA_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_IGA_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_IGA_3"	"All will fear the Hattori! All will fear me! For I am shogun!"
"DAI_SHO_IKO_1"	" The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me."
"DAI_SHO_IKO_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_IKO_3"	"All will fear the Ikko - Ikki! All will fear me!  For I am shogun!"
"DAI_SHO_MOR_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_MOR_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_MOR_3"	"All will fear the Mori! All will fear me! For I am shogun!"
"DAI_SHO_ODA_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_ODA_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_ODA_3"	"All will fear the Oda! All will fear me! For I am shogun!"
"DAI_SHO_SHI_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_SHI_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_SHI_3"	"All will fear the Shimazu! All will fear me! For I am shogun!"
"DAI_SHO_TAK_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_TAK_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_TAK_3"	"All will fear the Takeda! All will fear me! For I am shogun!"
"DAI_SHO_TOK_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_TOK_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_TOK_3"	"All will fear the Tokugawa! All will fear me! For I am shogun!"
"DAI_SHO_UES_1"	"The wind has changed. Now, we fly like dragons! No longer will I bow to lesser men.  All bow to me!"
"DAI_SHO_UES_2"	"But our enemies still march. So what? Victory is within my grasp!"
"DAI_SHO_UES_3"	"All will fear the Uesugi! All will fear me! For I am shogun!"
"ENE_STA_CHO_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_CHO_2"	"We are victims of conspiracy!"
"ENE_STA_CHO_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_DAT_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_DAT_2"	"We are victims of conspiracy!"
"ENE_STA_DAT_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_HOJ_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_HOJ_2"	"We are victims of conspiracy!"
"ENE_STA_HOJ_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_IGA_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_IGA_2"	"We are victims of conspiracy!"
"ENE_STA_IGA_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_IKO_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_IKO_2"	"We are victims of conspiracy!"
"ENE_STA_IKO_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_MOR_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_MOR_2"	"We are victims of conspiracy!"
"ENE_STA_MOR_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
"ENE_STA_ODA_1"	"It is dangerous to be the tallest tree, for that is where the axe strikes first."
"ENE_STA_ODA_2"	"We are victims of conspiracy!"
"ENE_STA_ODA_3"	"I am called an enemy of the state! We must have vigilance! We must prepare for war!"
