version 1, schema town_wealth_growth_factors_tables, guid 9641b70b-281b-4ea7-a9e0-ae17ba7884c7
Wealth_effect(string)	Icon_happy(string)	Icon_unhappy(string)
"bankruptcy"	"data/ui/campaign ui/pips/bankruptcy-unhappy.tga"	"data/ui/campaign ui/pips/bankruptcy-unhappy.tga"
"discontent"	"data/ui/campaign ui/pips/rebellion-unhappy.tga"	"data/ui/campaign ui/pips/rebellion-unhappy.tga"
"education"	"data/ui/campaign ui/pips/town_education.tga"	"(placeholder)"
"events"	"data/ui/campaign ui/pips/town_research.tga"	"(placeholder)"
"global_food"	"data/ui/campaign ui/pips/taxes-unhappy.tga"	"(placeholder)"
"government"	"data/ui/campaign ui/pips/government-happy.tga"	"data/ui/campaign ui/pips/government-unhappy.tga"
"industry"	"data/ui/campaign ui/pips/industry.tga"	"(placeholder)"
"ministers"	"data/ui/campaign ui/pips/minister_traits-happy.tga"	"data/ui/campaign ui/pips/minister_traits-unhappy.tga"
"modernisation"	"data/ui/campaign ui/pips/taxes-unhappy.tga"	"data/ui/campaign ui/pips/bankruptcy-unhappy.tga"
"port"	"data/ui/campaign ui/pips/eco-trade_harbour.tga"	"(placeholder)"
"roads"	"data/ui/campaign ui/pips/eco-trade_route.tga"	"(placeholder)"
"tax"	"data/ui/campaign ui/pips/taxes-unhappy.tga"	"data/ui/campaign ui/pips/taxes-unhappy.tga"
"technologies"	"data/ui/campaign ui/pips/town_research.tga"	"(placeholder)"
"traditionalism"	"data/ui/campaign ui/pips/taxes-unhappy.tga"	"data/ui/campaign ui/pips/bankruptcy-unhappy.tga"
