version 1, schema trait_info_tables, guid 9e1aed49-a110-426f-99f0-a776f653aac6
Trait_IDRef(string)	Game_Entity(string)
"S2_boshin_all_blokes_maimed"	"agent"
"S2_boshin_all_blokes_noodles"	"agent"
"S2_boshin_all_blokes_womaniser"	"agent"
"S2_boshin_all_blokes_womaniser_agents"	"agent"
"S2_boshin_daimyo_cruel"	"agent"
"S2_boshin_daimyo_foreign_tastes"	"agent"
"S2_boshin_daimyo_paranoia"	"agent"
"S2_boshin_daimyo_peace"	"agent"
"S2_boshin_daimyo_protected"	"agent"
"S2_boshin_daimyo_summer_son"	"agent"
"S2_boshin_daimyo_uncouth"	"agent"
"S2_boshin_daimyo_unjust"	"agent"
"S2_boshin_daimyo_winter_son"	"agent"
"S2_boshin_geisha_maimed"	"agent"
"S2_boshin_geisha_new_tricks"	"agent"
"S2_boshin_general_ambition"	"agent"
"S2_boshin_general_bloodthirsty"	"agent"
"S2_boshin_general_brave"	"agent"
"S2_boshin_general_conservative"	"agent"
"S2_boshin_general_coward"	"agent"
"S2_boshin_general_drunkard"	"agent"
"S2_boshin_general_loyal"	"agent"
"S2_boshin_general_mad"	"agent"
"S2_boshin_general_mad_grief"	"agent"
"S2_boshin_general_new_toys"	"agent"
"S2_boshin_general_nocturnal"	"agent"
"S2_boshin_general_nostalgic"	"agent"
"S2_boshin_general_paranoia"	"agent"
"S2_boshin_general_protected"	"agent"
"S2_boshin_general_seasick"	"agent"
"S2_boshin_ishin_shishi_chip"	"agent"
"S2_boshin_ishin_shishi_cruel"	"agent"
"S2_boshin_ishin_shishi_persuasive"	"agent"
"S2_boshin_ishin_shishi_superpatriot"	"agent"
"S2_boshin_shinobi_vicious"	"agent"
"S2_boshin_shinobi_xenophobe"	"agent"
"S2_boshin_shinsengumi_bandit"	"agent"
"S2_boshin_shinsengumi_chip"	"agent"
"S2_boshin_shinsengumi_cruel"	"agent"
"S2_boshin_shinsengumi_noble"	"agent"
"S2_boshin_shinsengumi_superpatriot"	"agent"
"S2_boshin_veteran_drunkard"	"agent"
"S2_boshin_veteran_imperialist"	"agent"
"S2_boshin_veteran_japanophile"	"agent"
"S2_boshin_veteran_japanophobe"	"agent"
"S2_boshin_veteran_mercenary"	"agent"
"S2_boshin_veteran_teetotal"	"agent"
"S2_boshin_wife_ambition"	"agent"
"S2_boshin_wife_beauty"	"agent"
"S2_boshin_wife_cunning"	"agent"
"S2_boshin_wife_diplomatic"	"agent"
"S2_boshin_wife_fertile"	"agent"
"S2_boshin_wife_fiscal_prudence"	"agent"
"S2_boshin_wife_loyal"	"agent"
"S2_boshin_wife_moneylover"	"agent"
"S2_boshin_wife_shrewish"	"agent"
"S2_trait_all_blokes_maimed"	"agent"
"S2_trait_all_blokes_noodles"	"agent"
"S2_trait_all_blokes_womaniser"	"agent"
"S2_trait_daimyo_cruel"	"agent"
"S2_trait_daimyo_foreign_tastes"	"agent"
"S2_trait_daimyo_paranoia"	"agent"
"S2_trait_daimyo_peace"	"agent"
"S2_trait_daimyo_protected"	"agent"
"S2_trait_daimyo_summer_son"	"agent"
"S2_trait_daimyo_uncouth"	"agent"
"S2_trait_daimyo_unjust"	"agent"
"S2_trait_geisha_maimed"	"agent"
"S2_trait_general_ambition"	"agent"
"S2_trait_general_bloodthirsty"	"agent"
"S2_trait_general_brave"	"agent"
"S2_trait_general_coward"	"agent"
"S2_trait_general_drunkard"	"agent"
"S2_trait_general_ikko_fanatic"	"agent"
"S2_trait_general_ikko_looter"	"agent"
"S2_trait_general_loyal"	"agent"
"S2_trait_general_mad"	"agent"
"S2_trait_general_mad_grief"	"agent"
"S2_trait_general_nocturnal"	"agent"
"S2_trait_general_paranoia"	"agent"
"S2_trait_general_plunder"	"agent"
"S2_trait_general_protected"	"agent"
"S2_trait_general_seasick"	"agent"
"S2_trait_metsuke_corrupt"	"agent"
"S2_trait_metsuke_cruel"	"agent"
"S2_trait_metsuke_drunkard"	"agent"
"S2_trait_metsuke_paranoia"	"agent"
"S2_trait_missionary_corrupt"	"agent"
"S2_trait_missionary_drunkard"	"agent"
"S2_trait_missionary_jaded"	"agent"
"S2_trait_monk_drunkard"	"agent"
"S2_trait_monk_fighter"	"agent"
"S2_trait_monk_unworldly"	"agent"
"S2_trait_ninja_drunkard"	"agent"
"S2_trait_ninja_enjoys_it"	"agent"
"S2_trait_wife_ambition"	"agent"
"S2_trait_wife_beauty"	"agent"
"S2_trait_wife_cunning"	"agent"
"S2_trait_wife_diplomatic"	"agent"
"S2_trait_wife_fertile"	"agent"
"S2_trait_wife_fiscal_prudence"	"agent"
"S2_trait_wife_loyal"	"agent"
"S2_trait_wife_moneylover"	"agent"
"S2_trait_wife_shrewish"	"agent"
