version 1, schema trait_level_effects_tables, guid 8b5854e3-7ffd-4df4-b137-d4916465e66e
Trait_Level_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"S2_boshin_all_blokes_maimed_1"	"bos_general_mod_bodyguard_morale"	1
"S2_boshin_all_blokes_maimed_2"	"bos_minister_morale_local"	1
"S2_boshin_all_blokes_noodles_1"	"bos_movement_points_all_local"	-7
"S2_boshin_all_blokes_noodles_2"	"bos_movement_points_character"	-10
"S2_boshin_all_blokes_noodles_3"	"bos_movement_points_character"	-15
"S2_boshin_all_blokes_womaniser_1"	"bos_movement_points_all_local"	-7
"S2_boshin_all_blokes_womaniser_2"	"bos_movement_points_all_local"	-10
"S2_boshin_all_blokes_womaniser_3"	"bos_movement_points_all_local"	-15
"S2_boshin_all_blokes_womaniser_agents_1"	"bos_movement_points_character"	-7
"S2_boshin_all_blokes_womaniser_agents_2"	"bos_movement_points_character"	-10
"S2_boshin_all_blokes_womaniser_agents_3"	"bos_movement_points_character"	-15
"S2_boshin_daimyo_cruel_1"	"bos_minister_repression_local"	1
"S2_boshin_daimyo_cruel_2"	"bos_minister_repression_local"	2
"S2_boshin_daimyo_cruel_3"	"bos_minister_repression_local"	3
"S2_boshin_daimyo_foreign_tastes_1"	"bos_event_diplomacy"	-2
"S2_boshin_daimyo_foreign_tastes_2"	"bos_event_diplomacy"	-5
"S2_boshin_daimyo_foreign_tastes_3"	"bos_event_diplomacy"	-10
"S2_boshin_daimyo_paranoia_1"	"bos_personal_security"	-2
"S2_boshin_daimyo_paranoia_2"	"bos_personal_security"	-5
"S2_boshin_daimyo_paranoia_3"	"bos_minister_repression_local"	1
"S2_boshin_daimyo_paranoia_3"	"bos_personal_security"	-10
"S2_boshin_daimyo_peace_1"	"bos_event_diplomacy"	2
"S2_boshin_daimyo_peace_2"	"bos_event_diplomacy"	5
"S2_boshin_daimyo_peace_2"	"bos_gentlemen_happiness_bonus"	1
"S2_boshin_daimyo_peace_3"	"bos_event_diplomacy"	10
"S2_boshin_daimyo_peace_3"	"bos_gentlemen_happiness_bonus"	1
"S2_boshin_daimyo_protected_1"	"bos_personal_security"	-2
"S2_boshin_daimyo_protected_2"	"bos_personal_security"	-5
"S2_boshin_daimyo_protected_3"	"bos_personal_security"	-10
"S2_boshin_daimyo_summer_son_1"	"bos_minister_morale_local"	1
"S2_boshin_daimyo_uncouth_1"	"bos_gentlemen_happiness_bonus"	-1
"S2_boshin_daimyo_uncouth_2"	"bos_event_diplomacy"	-10
"S2_boshin_daimyo_uncouth_2"	"bos_gentlemen_happiness_bonus"	-1
"S2_boshin_daimyo_uncouth_3"	"bos_event_diplomacy"	-15
"S2_boshin_daimyo_uncouth_3"	"bos_gentlemen_happiness_bonus"	-1
"S2_boshin_daimyo_unjust_1"	"bos_minister_repression_local"	1
"S2_boshin_daimyo_unjust_2"	"bos_gentlemen_happiness_bonus"	-2
"S2_boshin_daimyo_unjust_3"	"bos_gentlemen_happiness_bonus"	-2
"S2_boshin_daimyo_unjust_3"	"bos_minister_repression_local"	-2
"S2_boshin_daimyo_winter_son_1"	"bos_minister_morale_local"	1
"S2_boshin_geisha_maimed_1"	"bos_personal_security"	-1
"S2_boshin_geisha_maimed_2"	"bos_personal_security"	-2
"S2_boshin_geisha_new_tricks_01"	"bos_agent_attribute_geisha_distract_army"	1
"S2_boshin_geisha_new_tricks_02"	"bos_agent_attribute_geisha_distract_army"	1
"S2_boshin_geisha_new_tricks_02"	"bos_agent_attribute_geisha_distract_garrison"	1
"S2_boshin_general_ambition_1"	"bos_general_honourable"	-1
"S2_boshin_general_ambition_2"	"bos_general_attribute_command_all"	1
"S2_boshin_general_ambition_2"	"bos_general_honourable"	-1
"S2_boshin_general_ambition_3"	"bos_general_attribute_command_all"	1
"S2_boshin_general_ambition_3"	"bos_general_mod_bodyguard_morale"	1
"S2_boshin_general_bloodthirsty_1"	"bos_enemy_morale_mod"	1
"S2_boshin_general_bloodthirsty_2"	"bos_enemy_morale_mod"	1
"S2_boshin_general_bloodthirsty_3"	"bos_enemy_morale_mod"	1
"S2_boshin_general_brave_1"	"bos_minister_morale_local"	1
"S2_boshin_general_brave_2"	"bos_general_army_charge_bonus"	2
"S2_boshin_general_brave_2"	"bos_general_mod_bodyguard_morale"	1
"S2_boshin_general_brave_3"	"bos_general_army_charge_bonus"	2
"S2_boshin_general_brave_3"	"bos_minister_morale_local"	1
"S2_boshin_general_conservative_01"	"bos_ancillary_melee_attack_mod_traditional"	1
"S2_boshin_general_conservative_02"	"bos_ancillary_melee_attack_mod_traditional"	2
"S2_boshin_general_conservative_03"	"bos_ancillary_melee_attack_mod_traditional"	3
"S2_boshin_general_coward_1"	"bos_minister_morale_local"	-1
"S2_boshin_general_coward_2"	"bos_general_army_charge_bonus"	-1
"S2_boshin_general_coward_2"	"bos_minister_morale_local"	-1
"S2_boshin_general_coward_3"	"bos_minister_morale_local"	-1
"S2_boshin_general_coward_3"	"bos_personal_security"	-5
"S2_boshin_general_drunkard_1"	"bos_minister_morale_local"	1
"S2_boshin_general_drunkard_2"	"bos_general_army_charge_bonus"	1
"S2_boshin_general_drunkard_2"	"bos_minister_morale_local"	1
"S2_boshin_general_drunkard_3"	"bos_general_attribute_command_attack_all"	1
"S2_boshin_general_drunkard_3"	"bos_minister_morale_local"	1
"S2_boshin_general_drunkard_4"	"bos_general_attribute_command_attack_all"	-1
"S2_boshin_general_drunkard_4"	"bos_minister_morale_local"	-1
"S2_boshin_general_drunkard_5"	"bos_general_attribute_command_attack_all"	-2
"S2_boshin_general_drunkard_5"	"bos_minister_morale_local"	-1
"S2_boshin_general_loyal_1"	"bos_general_honourable"	1
"S2_boshin_general_loyal_2"	"bos_general_honourable"	2
"S2_boshin_general_loyal_3"	"bos_general_honourable"	3
"S2_boshin_general_mad_1"	"bos_minister_morale_local"	1
"S2_boshin_general_mad_2"	"bos_minister_morale_local"	-1
"S2_boshin_general_mad_3"	"bos_general_attribute_command_attack_all"	-1
"S2_boshin_general_mad_3"	"bos_minister_morale_local"	-1
"S2_boshin_general_mad_grief_1"	"bos_general_mod_bodyguard_morale"	-1
"S2_boshin_general_mad_grief_2"	"bos_general_mod_bodyguard_morale"	-1
"S2_boshin_general_mad_grief_2"	"mod_unit_melee_local"	1
"S2_boshin_general_mad_grief_3"	"bos_general_mod_bodyguard_morale"	-1
"S2_boshin_general_mad_grief_3"	"mod_unit_melee_local"	2
"S2_boshin_general_new_toys_01"	"bos_naval_support_hits_mod"	2
"S2_boshin_general_new_toys_02"	"bos_naval_support_hits_mod"	4
"S2_boshin_general_new_toys_03"	"bos_naval_support_hits_mod"	6
"S2_boshin_general_nocturnal_1"	"bos_enable_night_battles"	1
"S2_boshin_general_nocturnal_1"	"bos_enable_night_battles_naval"	1
"S2_boshin_general_nostalgic_01"	"bos_happiness_character_modernisation"	-1
"S2_boshin_general_nostalgic_02"	"bos_happiness_character_modernisation"	-2
"S2_boshin_general_nostalgic_03"	"bos_happiness_character_modernisation"	-3
"S2_boshin_general_paranoia_1"	"bos_personal_security"	-2
"S2_boshin_general_paranoia_2"	"bos_personal_security"	-5
"S2_boshin_general_paranoia_3"	"bos_personal_security"	-10
"S2_boshin_general_protected_1"	"bos_personal_security"	-2
"S2_boshin_general_protected_2"	"bos_personal_security"	-5
"S2_boshin_general_protected_3"	"bos_personal_security"	-10
"S2_boshin_general_seasick_1"	"bos_movement_points_all_local"	-7
"S2_boshin_general_seasick_2"	"bos_general_attribute_command_attack_all"	-1
"S2_boshin_general_seasick_2"	"bos_movement_points_all_local"	-10
"S2_boshin_general_seasick_3"	"bos_general_attribute_command_attack_all"	-2
"S2_boshin_general_seasick_3"	"bos_movement_points_all_local"	-15
"S2_boshin_ishin_shishi_chip_01"	"bos_agent_attribute_ishin_shinsen_conversion"	1
"S2_boshin_ishin_shishi_chip_02"	"bos_agent_attribute_ishin_shinsen_assassination"	1
"S2_boshin_ishin_shishi_chip_02"	"bos_agent_attribute_ishin_shinsen_conversion"	2
"S2_boshin_ishin_shishi_chip_03"	"bos_agent_repression_local"	2
"S2_boshin_ishin_shishi_chip_03"	"bos_escape_chance_action_mod"	-5
"S2_boshin_ishin_shishi_cruel_01"	"bos_agent_attribute_ishin_shinsen_assassination"	1
"S2_boshin_ishin_shishi_cruel_02"	"bos_agent_attribute_ishinshishi_instil_fervour"	2
"S2_boshin_ishin_shishi_cruel_03"	"bos_agent_attribute_ishin_shinsen_counterspying"	3
"S2_boshin_ishin_shishi_persuasive_01"	"bos_agent_attribute_ishinshishi_persuade_troops"	1
"S2_boshin_ishin_shishi_persuasive_02"	"bos_agent_attribute_ishinshishi_rally_populace"	2
"S2_boshin_ishin_shishi_persuasive_03"	"bos_agent_attribute_ishin_shinsen_conversion"	3
"S2_boshin_ishin_shishi_superpatriot_01"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	1
"S2_boshin_ishin_shishi_superpatriot_02"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	2
"S2_boshin_ishin_shishi_superpatriot_03"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	3
"S2_boshin_shinobi_vicious_01"	"bos_agent_attribute_shinobi_assassination"	1
"S2_boshin_shinobi_vicious_02"	"bos_agent_attribute_shinobi_assassination"	2
"S2_boshin_shinobi_vicious_03"	"bos_agent_attribute_shinobi_assassination"	3
"S2_boshin_shinobi_xenophobe_01"	"bos_agent_attribute_shinobi_army_sabotage"	1
"S2_boshin_shinobi_xenophobe_02"	"bos_agent_attribute_shinobi_army_sabotage"	2
"S2_boshin_shinobi_xenophobe_03"	"bos_agent_attribute_shinobi_army_sabotage"	3
"S2_boshin_shinsengumi_bandit_01"	"bos_agent_attribute_shinsengumi_instil_discipline"	1
"S2_boshin_shinsengumi_bandit_02"	"bos_agent_attribute_shinsengumi_coerce_troops"	2
"S2_boshin_shinsengumi_bandit_03"	"bos_agent_attribute_shinsengumi_subdue_dissidents"	3
"S2_boshin_shinsengumi_chip_01"	"bos_agent_attribute_ishin_shinsen_conversion"	1
"S2_boshin_shinsengumi_chip_02"	"bos_agent_attribute_ishin_shinsen_assassination"	1
"S2_boshin_shinsengumi_chip_02"	"bos_agent_attribute_ishin_shinsen_conversion"	1
"S2_boshin_shinsengumi_chip_03"	"bos_agent_repression_local"	2
"S2_boshin_shinsengumi_chip_03"	"bos_escape_chance_action_mod"	-5
"S2_boshin_shinsengumi_cruel_01"	"bos_agent_attribute_ishin_shinsen_assassination"	1
"S2_boshin_shinsengumi_cruel_02"	"bos_agent_attribute_shinsengumi_instil_discipline"	2
"S2_boshin_shinsengumi_cruel_03"	"bos_agent_attribute_ishin_shinsen_counterspying"	3
"S2_boshin_shinsengumi_noble_01"	"bos_tech_agent_shinsengumi_success_mod"	2
"S2_boshin_shinsengumi_noble_02"	"bos_tech_agent_shinsengumi_success_mod"	5
"S2_boshin_shinsengumi_noble_03"	"bos_tech_agent_shinsengumi_success_mod"	10
"S2_boshin_shinsengumi_superpatriot_01"	"bos_agent_repression_local"	1
"S2_boshin_shinsengumi_superpatriot_02"	"bos_agent_repression_local"	2
"S2_boshin_shinsengumi_superpatriot_03"	"bos_agent_repression_local"	3
"S2_boshin_veteran_drunkard_01"	"bos_agent_attribute_veteran_administration"	-1
"S2_boshin_veteran_drunkard_02"	"bos_agent_attribute_veteran_supervise_recruitment"	-2
"S2_boshin_veteran_drunkard_03"	"bos_agent_attribute_veteran_train_troops"	-3
"S2_boshin_veteran_imperialist_01"	"bos_agent_attribute_veteran_train_troops"	1
