version 1, schema trigger_effects_tables, guid ea17eddc-e01a-4a30-a651-0cb1b90e6bff
unknown1(string)	unknown2(string)	Trait_IDRef(string)	unknown4(int)	unknown5(int)
"0"	"S2_trait_general_bloodthirsty_trigger"	"S2_trait_general_bloodthirsty"	1	20
"103"	"S2_trait_all_blokes_womaniser_trigger"	"S2_trait_all_blokes_womaniser"	1	1
"110"	"S2_trait_daimyo_created_trigger"	"S2_trait_daimyo_foreign_tastes"	1	10
"115"	"S2_trait_daimyo_created_trigger"	"S2_trait_daimyo_uncouth"	1	10
"125"	"S2_trait_daimyo_cruel_trigger"	"S2_trait_daimyo_cruel"	1	3
"13"	"S2_trait_general_brave_trigger"	"S2_trait_general_brave"	1	20
"131"	"S2_trait_daimyo_paranoia_trigger"	"S2_trait_daimyo_paranoia"	1	1
"135"	"S2_trait_daimyo_peace_trigger"	"S2_trait_daimyo_peace"	1	3
"144"	"S2_trait_daimyo_protected_trigger"	"S2_trait_daimyo_protected"	1	20
"153"	"S2_trait_daimyo_unjust_trigger"	"S2_trait_daimyo_unjust"	1	1
"161"	"S2_trait_geisha_maimed_trigger"	"S2_trait_geisha_maimed"	1	10
"167"	"S2_trait_general_coward_trigger"	"S2_trait_general_coward"	1	1
"174"	"S2_trait_general_loyal_trigger"	"S2_trait_general_loyal"	1	2
"180"	"S2_trait_general_mad_grief_trigger"	"S2_trait_general_mad_grief"	1	20
"189"	"S2_trait_general_mad_trigger"	"S2_trait_general_mad"	1	1
"195"	"S2_trait_general_paranoia_trigger"	"S2_trait_general_paranoia"	1	1
"202"	"S2_trait_general_plunder_trigger"	"S2_trait_general_plunder"	1	20
"211"	"S2_trait_general_protected_trigger"	"S2_trait_general_protected"	1	20
"217"	"S2_trait_general_seasick_trigger"	"S2_trait_general_seasick"	1	1
"219"	"S2_trait_metsuke_corrupt_trigger"	"S2_trait_missionary_corrupt"	1	1
"228"	"S2_trait_metsuke_cruel_1_trigger"	"S2_trait_metsuke_cruel"	1	10
"23"	"S2_trait_general_drunkard_trigger"	"S2_trait_general_drunkard"	1	1
"232"	"S2_trait_metsuke_drunkard_trigger"	"S2_trait_general_drunkard"	1	1
"239"	"S2_trait_metsuke_paranoia_trigger"	"S2_trait_metsuke_paranoia"	1	10
"240"	"S2_trait_missionary_corrupt_trigger"	"S2_trait_missionary_corrupt"	1	1
"245"	"S2_trait_missionary_drunkard_trigger"	"S2_trait_missionary_drunkard"	1	1
"247"	"S2_trait_missionary_jaded_trigger"	"S2_trait_missionary_jaded"	1	1
"256"	"S2_trait_monk_drunkard_trigger"	"S2_trait_monk_drunkard"	1	1
"261"	"S2_trait_monk_fighter_trigger"	"S2_trait_monk_fighter"	1	10
"268"	"S2_trait_monk_unworldly_trigger"	"S2_trait_monk_unworldly"	1	10
"278"	"S2_trait_ninja_drunkard_trigger"	"S2_trait_ninja_drunkard"	1	1
"287"	"S2_trait_ninja_enjoys_it_trigger"	"S2_trait_ninja_enjoys_it"	1	20
"297"	"S2_trait_wife_fertile_2_trigger"	"S2_trait_wife_fertile"	2	1
"301"	"S2_trait_daimyo_foreign_tastes_trigger"	"S2_trait_daimyo_foreign_tastes"	1	5
"306"	"S2_trait_general_nocturnal_trigger"	"S2_trait_general_nocturnal"	1	30
"307"	"S2_trait_general_nocturnal_2_trigger"	"S2_trait_general_nocturnal"	1	100
"309"	"S2_trait_general_nocturnal_3_trigger"	"S2_trait_general_nocturnal"	1	100
"316"	"S2_trait_general_ikko_fanatic_trigger"	"S2_trait_general_ikko_fanatic"	2	100
"318"	"S2_trait_general_ikko_looter"	"S2_trait_general_ikko_looter"	1	30
"328"	"S2_trait_daimyo_created_trigger"	"S2_trait_daimyo_cruel"	1	10
"332"	"S2_trait_daimyo_created_trigger"	"S2_trait_daimyo_unjust"	1	10
"340"	"S2_trait_daimyo_created_trigger"	"S2_trait_daimyo_paranoia"	1	10
"347"	"S2_trait_general_created_trigger"	"S2_trait_general_ambition"	1	10
"352"	"S2_trait_general_created_trigger"	"S2_trait_general_brave"	1	10
"357"	"S2_trait_general_created_trigger"	"S2_trait_general_mad"	1	10
"361"	"S2_trait_general_created_trigger"	"S2_trait_general_plunder"	1	10
"376"	"S2_trait_general_ikko_fanatic_trigger"	"S2_trait_general_brave"	1	10
"379"	"S2_trait_general_ikko_fanatic_trigger"	"S2_trait_general_paranoia"	1	10
"384"	"S2_trait_general_ikko_fanatic_trigger"	"S2_trait_general_bloodthirsty"	1	10
