version 3, schema ui_unit_stat_to_classes_tables, guid 3429be4c-2989-4c35-8315-678e78ffea41
unknown1(string)	unknown2(string)	unknown3(int)
"ammo"	"artillery_fixed"	10
"ammo"	"artillery_foot"	10
"ammo"	"cavalry_missile"	10
"ammo"	"general"	10
"ammo"	"infantry_bow"	10
"ammo"	"infantry_elite"	10
"ammo"	"infantry_light"	10
"ammo"	"infantry_line"	10
"ammo"	"infantry_matchlock"	10
"ammo"	"infantry_militia"	10
"ammo"	"infantry_special"	10
"ammo"	"siege"	10
"armour"	"artillery_fixed"	4
"armour"	"artillery_foot"	4
"armour"	"cavalry_lancers"	5
"armour"	"cavalry_missile"	4
"armour"	"cavalry_sword"	4
"armour"	"general"	4
"armour"	"infantry_bow"	4
"armour"	"infantry_elite"	4
"armour"	"infantry_heavy"	5
"armour"	"infantry_light"	4
"armour"	"infantry_line"	4
"armour"	"infantry_matchlock"	4
"armour"	"infantry_militia"	4
"armour"	"infantry_spearman"	5
"armour"	"infantry_special"	4
"armour"	"infantry_sword"	4
"armour"	"siege"	4
"charge_bonus"	"artillery_fixed"	6
"charge_bonus"	"artillery_foot"	6
"charge_bonus"	"cavalry_lancers"	2
"charge_bonus"	"cavalry_missile"	2
"charge_bonus"	"cavalry_sword"	2
"charge_bonus"	"general"	2
"charge_bonus"	"infantry_bow"	2
"charge_bonus"	"infantry_elite"	6
"charge_bonus"	"infantry_heavy"	2
"charge_bonus"	"infantry_light"	6
"charge_bonus"	"infantry_line"	6
"charge_bonus"	"infantry_matchlock"	2
"charge_bonus"	"infantry_militia"	6
"charge_bonus"	"infantry_spearman"	2
"charge_bonus"	"infantry_special"	2
"charge_bonus"	"infantry_sword"	2
"charge_bonus"	"siege"	6
"marksmanship"	"artillery_fixed"	8
"marksmanship"	"artillery_foot"	8
"marksmanship"	"cavalry_missile"	8
"marksmanship"	"general"	8
"marksmanship"	"infantry_bow"	8
"marksmanship"	"infantry_elite"	8
"marksmanship"	"infantry_light"	8
"marksmanship"	"infantry_line"	8
"marksmanship"	"infantry_matchlock"	8
"marksmanship"	"infantry_militia"	8
"marksmanship"	"infantry_special"	8
"marksmanship"	"siege"	8
"melee_attack"	"artillery_fixed"	1
"melee_attack"	"artillery_foot"	1
"melee_attack"	"cavalry_lancers"	1
"melee_attack"	"cavalry_missile"	1
"melee_attack"	"cavalry_sword"	1
"melee_attack"	"general"	1
"melee_attack"	"infantry_bow"	1
"melee_attack"	"infantry_elite"	1
"melee_attack"	"infantry_heavy"	1
"melee_attack"	"infantry_light"	1
"melee_attack"	"infantry_line"	1
"melee_attack"	"infantry_matchlock"	1
"melee_attack"	"infantry_militia"	1
"melee_attack"	"infantry_spearman"	1
"melee_attack"	"infantry_special"	1
"melee_attack"	"infantry_sword"	1
"melee_attack"	"siege"	1
"melee_bonus_vs_cav"	"cavalry_lancers"	3
"melee_bonus_vs_cav"	"cavalry_missile"	0
"melee_bonus_vs_cav"	"infantry_heavy"	3
"melee_bonus_vs_cav"	"infantry_spearman"	3
"melee_defence"	"artillery_fixed"	3
"melee_defence"	"artillery_foot"	3
"melee_defence"	"cavalry_lancers"	4
"melee_defence"	"cavalry_missile"	3
"melee_defence"	"cavalry_sword"	3
"melee_defence"	"general"	3
"melee_defence"	"infantry_bow"	3
"melee_defence"	"infantry_elite"	3
"melee_defence"	"infantry_heavy"	4
"melee_defence"	"infantry_light"	3
"melee_defence"	"infantry_line"	3
"melee_defence"	"infantry_matchlock"	3
"melee_defence"	"infantry_militia"	3
"melee_defence"	"infantry_spearman"	4
"melee_defence"	"infantry_special"	3
"melee_defence"	"infantry_sword"	3
"melee_defence"	"siege"	3
"morale"	"artillery_fixed"	9
"morale"	"artillery_foot"	9
"morale"	"cavalry_lancers"	6
"morale"	"cavalry_missile"	5
"morale"	"cavalry_sword"	5
"morale"	"general"	5
"morale"	"infantry_bow"	5
"morale"	"infantry_elite"	9
"morale"	"infantry_heavy"	6
"morale"	"infantry_light"	9
"morale"	"infantry_line"	9
"morale"	"infantry_matchlock"	5
"morale"	"infantry_militia"	9
