version 4, schema ui_unit_stats_tables, guid 30be54b7-7bd8-4b09-8ad0-b85352ae33a8
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(int)	unknown5(boolean)
"ammo"	"Ammunition"	80	2560	false
"armour"	"Armour"	15	1536	false
"charge_bonus"	"Charge Bonus"	50	1024	false
"marksmanship"	"Accuracy"	100	2304	false
"melee_attack"	"Melee Attack"	35	512	false
"melee_bonus_vs_cav"	"Bonus vs Cavalry"	30	1280	false
"melee_defence"	"Melee Defence"	35	768	false
"morale"	"Morale"	50	256	false
"range"	"Range"	650	1792	false
"reload_skill"	"Reload Skill"	100	2048	false
"ship_cannon_range"	"Cannon Range"	1000	2048	false
"ship_cannons"	"Cannons"	30	2304	false
"ship_hull_strength"	"Hull Strength"	10000	512	false
"ship_manouverability"	"Manoeuvrability"	10	768	false
"ship_missile_troop_marksmanship"	"Missile Accuracy"	100	1280	false
"ship_missile_troop_range"	"Missile Range"	200	1024	false
"ship_soldier_melee_attack"	"Melee Attack"	30	1536	false
"ship_soldier_melee_defence"	"Melee Defence"	30	1792	false
