version 2, schema unit_abilities_tables, guid 0dd50271-15ae-4f7a-b283-ed78ea471c73
Unit_Ability_ID(string)	Defensive_Ability(boolean)	Obsoletes(optstring)	Researchable_Technology_x0020__x0028__x003F__x0029_(boolean)	unknown5(optstring)	unknown6(optstring)	unknown7(optstring)
"active_hiding"	false	nil	false	"Stealth"	"This unit can become extremely stealthy for a short period of time, remaining hidden even when running. "	"Stealth||For a short duration, this enables a unit to hide on any ground type and remain hidden even while running.||While activated, it also provides a bonus to charge and melee attacks."
"anti_rally"	false	nil	false	"Anti-rally"	"Rally ability negatively affects morale of enemy units."	"Anti-rally"
"artillery_accuracy_boost"	false	nil	false	"Increased Accuracy"	"This unit can increase its shooting accuracy for a short period of time.  "	"Targeted Fire||This increases accuracy for a short amount of time.||Once activated, there will be a cooling off period before the ability can be used again."
"artillery_rof_boost"	false	nil	false	"Rate of Fire"	"This unit can increase its firing rate for a short period of time. "	"Barrage||This increases the rate of fire for a short time.|| Once activated, there will be a cooling off period before the ability can be used again."
"bamboo_wall"	false	nil	false	"Bamboo Wall "	"A large wall that can be erected during the deployment phase. It blocks the movement of enemies and protects against cavalry charges. "	nil
"banzai"	false	nil	true	"Banzai"	"This unit can enter into a frenzied state for a short period of time, temporarily increasing its speed, charge and melee attacks, and making it unbreakable. "	"Banzai||This temporarily gives the unit unbreakable morale, plus an increase in movement speed and melee and charge attacks.||Once it has finished, the unit's speed, charge and melee attacks are greatly reduced for a short time."
"banzai_naval"	false	nil	false	"Banzai"	"This crew can enter into a frenzied state for a short period of time, temporarily increasing their morale, attack and defensive capabilities, making them unbreakable."	"Banzai||This temporarily gives the crew unbreakable morale, plus an increase in attack and defensive capabilities."
"battle_speed_naval"	false	nil	false	"Battle Speed"	"This increases a ship's rowing speed for a short period of time."	"Battle speed||This increases a ship's rowing speed for a short period of time.||Once activated, there will be a cooling off period before the ability can be used again."
"blinding_grenade"	false	nil	true	"Blinding Grenades"	"This unit can use blinding grenades to disorientate the enemy, affecting their speed, combat ability and missile accuracy. "	"Blinding Grenades||Blinding grenades disorientate the enemy, reducing their melee attacks, movement speed and drastically affecting their missile accuracy."
"cantabrian_circle"	false	nil	true	"Swooping Crane "	"This unit can arrange itself into a moving circular formation, harrassing the enemy with a constant rate of fire."	"Swooping Crane||This arranges a cavalry unit into a moving, circular formation, enabling them to fire a constant rate of missiles at the enemy.||Because they are constantly moving, the horses will lose stamina while the ability is active."
"chevaux_de_frise"	true	nil	false	nil	nil	nil
"column_formation"	false	nil	false	nil	nil	nil
"diamond_formation"	false	"wedge_formation"	false	"Diamond Formation"	"An evolution of the wedge formation, the diamond formation is even more effective at disrupting enemy formations"	"Toggle diamond formation||Diamond formation allows your cavalry to change direction in a much more timely manner.||It also provides your cavalry units with a charge bonus."
"earthworks"	true	nil	false	nil	nil	nil
"encourage_fleet"	false	nil	false	"Encourage Fleet"	"Some command ships can encourage other vessels within their area of influence, increasing their melee attack, reload skill and accuracy."	"Encourage Fleet||Some command ships can encourage other vessels within their area of influence, increasing their melee attack, reload skill and accuracy.||Once this ability has been activated, you will have to wait a while before using it again."
"faster_reload_naval"	false	nil	false	"Fast Reload"	"This increases the reload skill of a ship's crew for a short period of time."	"Fast Reload||This increases reload skill for a short amount of time.||Once complete, reload skill is reduced for a short time."
"faster_rowing"	false	nil	false	"Faster Rowing"	"This increases a ship's rowing speed and lasts considerably longer than the battle speed ability."	"Faster rowing||This increases a ship's rowing speed and lasts considerably longer than the battle speed ability."
"fire_and_advance"	false	nil	false	"Fire and Advance Drill"	"This unit can advance by rank, claiming ground whilst maintaining a steady rate of fire"	"Toggle fire and advance mode||Fire and advance provides constant covering fire whilst still advancing on the enemy.||Due to the complicated nature of reloading and moving through the forward lines, fire in advance is a very slow moving advancing technique."
"fire_mounted"	false	nil	false	nil	nil	nil
"fire_volley"	false	nil	false	nil	nil	nil
"flaming_arrows_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"flaming_arrows_extreme_range_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"flaming_arrows_long_range_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
