version 1, schema unit_class_tables, guid df5412e1-95f1-4a18-8f8f-fce4e230bfa3
Class_ID(string)	Display_Text(string)
"artillery_fixed"	"Siege Units"
"artillery_foot"	"Artillery Units"
"cavalry_lancers"	"Spear Cavalry"
"cavalry_missile"	"Missile Cavalry"
"cavalry_sword"	"Sword Cavalry"
"general"	"General"
"infantry_bow"	"Bow Infantry"
"infantry_elite"	"Elite Infantry"
"infantry_heavy"	"Heavy Infantry"
"infantry_light"	"Light Infantry"
"infantry_line"	"Line Infantry"
"infantry_matchlock"	"Matchlock Infantry"
"infantry_militia"	"Militia Infantry"
"infantry_spearman"	"Spear Infantry"
"infantry_special"	"Special Infantry"
"infantry_sword"	"Sword Infantry"
"naval_admiral"	"Admiral"
"naval_cannon_ship"	"Cannon Ship"
"naval_corvette"	"Corvette"
"naval_frigate"	"Frigate"
"naval_galleon"	"Galleon"
"naval_gunboat"	"Gunboat"
"naval_heavy_ship"	"Heavy Ship"
"naval_ironclad"	"Ironclad"
"naval_light_ship"	"Light Ship"
"naval_medium_ship"	"Medium Ship"
"naval_torpedoboat"	"Torpedo Boat "
"naval_trade_ship"	"Trade Ship"
"naval_xebec"	"Xebec"
"siege"	"Siege Units"
