version 1, schema unit_experience_thresholds_tables, guid f0f71464-6cbd-48dc-81c1-aabcf02c5b66
Experience_Threshold(string)	Value(int)
"land_level_01"	400
"land_level_02"	880
"land_level_03"	1460
"land_level_04"	2200
"land_level_05"	3180
"land_level_06"	4440
"land_level_07"	6220
"land_level_08"	8900
"land_level_09"	13000
"naval_level_01"	300
"naval_level_02"	660
"naval_level_03"	1100
"naval_level_04"	1660
"naval_level_05"	2400
"naval_level_06"	3340
"naval_level_07"	4680
"naval_level_08"	6650
"naval_level_09"	10000
