version 1, schema unit_required_technology_junctions_tables, guid 3a6aad54-1296-42a5-bfae-b2f03f1d19ba
Unit_IDRef(string)	Tech_IDRef(string)
"Boshin_Cav_Missile_Carbine_Cavalry"	"boshin_military_carbine_cavalry"
"Boshin_Cav_Missile_Revolver_Cavalry"	"boshin_military_sabre_cavalry"
"Boshin_Inf_Missile_Matchlock_Kachi"	"boshin_military_shih"
"Boshin_Torpedo_Boat_Chiyodagata"	"boshin_military_torpedo_upgrade"
"Heavy_Ship_Heavy_Bune_Mori"	"shogun_military_naval_naval_expertise"
"Heavy_Ship_Heavy_Bune"	"shogun_military_naval_naval_expertise"
"Inf_Missile_Matchlock_Ashigaru_Hattori"	"shogun_military_musket_teppo_mastery"
"Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki"	"shogun_military_musket_teppo_mastery"
"Inf_Missile_Matchlock_Ashigaru_Oda"	"shogun_military_musket_teppo_mastery"
"Inf_Missile_Matchlock_Ashigaru"	"shogun_military_musket_teppo_mastery"
"Light_Ship_Fire_Bomb_Kobaya_Mori"	"shogun_military_naval_way_of_the_sea"
"Light_Ship_Fire_Bomb_Kobaya"	"shogun_military_naval_way_of_the_sea"
"Light_Ship_Matchlock_Kobaya_Mori"	"shogun_military_musket_teppo_mastery"
"Light_Ship_Matchlock_Kobaya"	"shogun_military_musket_teppo_mastery"
"Light_Ship_Siege_Tower_Bune_Mori"	"shogun_military_musket_teppo_mastery"
"Light_Ship_Siege_Tower_Bune"	"shogun_military_musket_teppo_mastery"
