version 2, schema unit_stats_naval_crew_to_ship_categories_tables, guid 2cb2937f-eecd-46b6-8d04-b4801ca3ab79
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)	unknown7(int)	unknown8(int)	unknown9(int)	unknown10(int)	unknown11(int)	unknown12(int)	unknown13(int)	unknown14(boolean)	unknown15(boolean)
"Boshin_Naval_Crew"	"boshin_marine"	"boshin_seaman"	"boshin_guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Cannon_Ship_Bow"	"arrow_marine"	"katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Galleon_Matchlock"	"matchlock_marine"	"katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Genpei_Attendant"	"genpei_attendant_arrow_marine"	"genpei_attendant_katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Genpei_Firebomb"	"genpei_samurai_firebomb_marine"	"genpei_samurai_katana_seaman"	"guncrew"	"arrow_marine"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Genpei_Pirate"	"genpei_attendant_arrow_marine"	"genpei_attendant_katana_seaman"	"guncrew"	"arrow_marine"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Genpei_Samurai"	"genpei_samurai_arrow_marine"	"genpei_samurai_katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Heavy_Ship_Bow"	"arrow_marine"	"katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Heavy_Ship_Matchlock"	"matchlock_marine"	"katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Light_Ship_Bow"	"arrow_marine"	"spear_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Light_Ship_Fire_Bomb"	"firebomb_marine"	"spear_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Light_Ship_Matchlock"	"matchlock_marine"	"spear_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Light_Ship_Matchlock_Otomo"	"matchlock_marine_otomo"	"spear_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
"Medium_Ship_Bow"	"arrow_marine"	"katana_seaman"	"guncrew"	"naval_admiral"	"naval_commodore"	1845497089	1979736320	1811964160	1862295296	1711302144	1660971264	1912628480	false	false
