version 1, schema unit_voice_events_junctions_tables, guid 4b476d45-e99b-41a7-a699-4bdbb44ffef1
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"cavalry"	"generic"	"Mount"	"Cavalry_mount"
"cavalry"	"generic"	"Unit_Completed_Orders"	"Cavalry_Unit_Completed_Orders"
"cavalry"	"generic"	"Unit_Voices_Battle_Cry"	"Cavalry_Battle_Cry"
"cavalry"	"generic"	"Unit_Voices_Charge"	"Cavalry_Battle_Cry"
"cavalry"	"generic"	"Unit_Voices_Disband_Group"	"Group_Orders_Cavalry_Disbanded"
"cavalry"	"generic"	"Unit_Voices_Double_Click_Attack"	"Cavalry_Melee_Double_Click_Attack"
"cavalry"	"generic"	"Unit_Voices_Double_Click_Melee_Attack"	"Cavalry_Melee_Double_Click_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Attack_Stronger"	"Group_Orders_Cavalry_Attacking_Stronger_Target"
"cavalry"	"generic"	"Unit_Voices_Group_Attack_Weaker"	"Group_Orders_Cavalry_Attacking_Weaker_Target"
"cavalry"	"generic"	"Unit_Voices_Group_Double_Click_Attack"	"Group_Orders_Cavalry_DoubleClick_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Double_Click_Melee_Attack"	"Group_Orders_Cavalry_DoubleClick_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Group_Orders_Cavalry_Missile_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Cavalry_Unit_Engage_at_will"
"cavalry"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Group_Orders_Cavalry_Engage_at_will"
"cavalry"	"generic"	"Unit_Voices_Group_Fire_At_Will_Off"	"Group_Orders_Cavalry_Fire_At_Will_OFF"
"cavalry"	"generic"	"Unit_Voices_Group_Fire_At_Will_On"	"Group_Orders_Cavalry_Fire_At_Will_ON"
"cavalry"	"generic"	"Unit_Voices_Group_Guard_Off"	"Cavalry_Unit_Guard_On"
"cavalry"	"generic"	"Unit_Voices_Group_Guard_On"	"Cavalry_Unit_Guard_Off"
"cavalry"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Cavalry_Order_Fast_Move"
"cavalry"	"generic"	"Unit_Voices_Group_Move_Slow"	"Group_Orders_Cavalry_Order_Move_To"
"cavalry"	"generic"	"Unit_Voices_Group_Rally"	"Cavalry_Unit_Order_Rally"
"cavalry"	"generic"	"Unit_Voices_Group_Retreat"	"Cavalry_Unit_Order_Retreat"
"cavalry"	"generic"	"Unit_Voices_Group_Single_Click_Attack"	"Group_Orders_Cavalry_SingleClick_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Single_Click_Melee_Attack"	"Group_Orders_Cavalry_SingleClick_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Single_Click_Missile_Attack"	"Group_Orders_Cavalry_Missile_Attack"
"cavalry"	"generic"	"Unit_Voices_Group_Skirmish_Off"	"Cavalry_Unit_Skirmish_Off"
"cavalry"	"generic"	"Unit_Voices_Group_Skirmish_On"	"Cavalry_Unit_Skirmish_On"
"cavalry"	"generic"	"Unit_Voices_Group_Withdraw"	"Group_Orders_Calvary_Retreat"
"cavalry"	"generic"	"Unit_Voices_Guard_Off"	"Cavalry_Unit_Guard_Off"
"cavalry"	"generic"	"Unit_Voices_Guard_On"	"Cavalry_Unit_Guard_On"
"cavalry"	"generic"	"Unit_Voices_Halt"	"Cavalry_Unit_Halt"
"cavalry"	"generic"	"Unit_Voices_In_Melee"	"Cavalry_in_melee"
"cavalry"	"generic"	"Unit_Voices_Melee_Off"	"Cavalry_Unit_Melee_Button_off"
"cavalry"	"generic"	"Unit_Voices_Melee_On"	"Cavalry_Unit_Melee_Button_on"
"cavalry"	"generic"	"Unit_Voices_Move_Fast"	"Cavalry_Order_Double_Click_Fast_Move_To"
"cavalry"	"generic"	"Unit_Voices_Move_Slow"	"Cavalry_Order_Single_Click_Move_To"
"cavalry"	"generic"	"Unit_Voices_Rally"	"Cavalry_Unit_Order_Rally"
"cavalry"	"generic"	"Unit_Voices_Retreat"	"Cavalry_Unit_Order_Retreat"
"cavalry"	"generic"	"Unit_Voices_SHATTERED"	"Cavalry_routing"
"cavalry"	"generic"	"Unit_Voices_Single_Click_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"cavalry"	"generic"	"Unit_Voices_Single_Click_Melee_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"cavalry"	"generic"	"Unit_Voices_Single_Click_Missile_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"cavalry"	"generic"	"Unit_Voices_Skirmish_Off"	"Cavalry_Unit_Skirmish_Off"
"cavalry"	"generic"	"Unit_Voices_Skirmish_On"	"Cavalry_Unit_Skirmish_On"
"cavalry"	"generic"	"Unit_Voices_Special_Orders_Cantabrian_Circle"	"Cavalry_Archer_Special_Orders_Cantabrian_Circle"
"cavalry"	"generic"	"Unit_Voices_Withdraw"	"Cavalry_Unit_Order_Retreat"
"cavalry"	"generic"	"Unit_Voices_cavalry_move_back"	"Cavalry_Move_Back"
"cavalry"	"generic"	"Unit_Voices_cavalry_move_forward"	"Cavalry_Move_Forward"
"cavalry"	"generic"	"Unit_Voices_cavalry_move_left"	"Cavalry_Move_Left"
"cavalry"	"generic"	"Unit_Voices_cavalry_move_right"	"Cavalry_Move_Right"
"cavalry"	"generic"	"Unit_Voices_cavalry_skirmish_left"	"Group_Orders_Cavalry_Skirmish_Left"
"cavalry"	"generic"	"Unit_Voices_engage_at_will"	"Cavalry_Unit_Engage_at_will"
"cavalry"	"generic"	"Unit_Voices_inspire"	"Taisho_Special_General_Inspire"
"cavalry"	"generic"	"Unit_voices_formation_Cranes_Wing"	"Group_Orders_Cavalry_Formation_Cranes_Wing"
"cavalry"	"generic"	"Unit_voices_formation_Fish_Scales"	"Group_Orders_Cavalry_Formation_Fish_Scales"
"cavalry"	"generic"	"Unit_voices_formation_Ganko"	"Group_Orders_Cavalry_Formation_Ganko"
"cavalry"	"generic"	"Unit_voices_formation_Half_Moon"	"Group_Orders_Cavalry_Formation_Half_Moon"
"cavalry"	"generic"	"Unit_voices_formation_Hoshi"	"Group_Orders_Cavalry_Formation_Hoshi"
"cavalry"	"generic"	"Unit_voices_formation_Saku"	"Group_Orders_Cavalry_Formation_Saku"
"cavalry"	"generic"	"Unit_voices_formation_Yoke"	"Group_Orders_Cavalry_Formation_Yoke"
"cavalry"	"generic"	"being_charged"	"Cavalry_charged"
"cavalry"	"generic"	"being_flanked"	"Cavalry_flanked"
"cavalry"	"generic"	"cavalry_charging"	"Cavalry_Charging"
"cavalry"	"generic"	"climb_walls"	"Infantry_climb_walls"
"cavalry"	"generic"	"dismount"	"Cavalry_dismount"
"cavalry"	"generic"	"enemy_approaching"	"Cavalry_enemy_approaching"
"cavalry"	"generic"	"engaged"	"Cavalry_Unit_Engage_at_will"
"cavalry"	"generic"	"group_created"	"Group_Orders_Cavalry_Created"
"cavalry"	"generic"	"group_selected"	"Group_Orders_Cavalry_Created"
"cavalry"	"generic"	"group_selected_cavalry"	"Group_Orders_Cavalry_Select_Cavalry"
"cavalry"	"generic"	"hold_position_false"	"Cavalry_Unit_Hold_Position_off"
"cavalry"	"generic"	"hold_position_true"	"Cavalry_Unit_Hold_Position_on"
"cavalry"	"generic"	"idle"	"Cavalry_idle"
"cavalry"	"generic"	"loose_formation"	"Cavalry_Unit_Loose_Formation"
"cavalry"	"generic"	"special_ability_second_wind"	"special_ability_second_wind"
"cavalry"	"generic"	"special_ability_whistling_arrows"	"Cavalry_Special_Ability_Whistling_Arrows"
"cavalry"	"generic"	"tight_formation"	"Cavalry_Unit_Tight_Formation"
"cavalry"	"generic"	"under_fire"	"Cavalry_Under_Archer_Fire"
"cavalry"	"generic"	"unit_voices_selected"	"Cavalry_Unit_Selection_generic"
"cavalry"	"generic"	"wavering"	"Cavalry_wavering"
"cavalry"	"generic"	"wedge_formation"	"Cavalry_unit_special_action_order_wedge_formation"
"general"	"generic"	"Mount"	"Cavalry_mount"
"general"	"generic"	"Unit_Completed_Orders"	"Cavalry_Unit_Completed_Orders"
"general"	"generic"	"Unit_Voices_Battle_Cry"	"Cavalry_Battle_Cry"
"general"	"generic"	"Unit_Voices_Charge"	"Cavalry_Battle_Cry"
"general"	"generic"	"Unit_Voices_Disband_Group"	"Group_Orders_Cavalry_Disbanded"
"general"	"generic"	"Unit_Voices_Double_Click_Attack"	"Cavalry_Melee_Double_Click_Attack"
"general"	"generic"	"Unit_Voices_Double_Click_Melee_Attack"	"Cavalry_Melee_Double_Click_Attack"
"general"	"generic"	"Unit_Voices_Group_Attack_Stronger"	"Group_Orders_Cavalry_Attacking_Stronger_Target"
"general"	"generic"	"Unit_Voices_Group_Attack_Weaker"	"Group_Orders_Cavalry_Attacking_Weaker_Target"
"general"	"generic"	"Unit_Voices_Group_Double_Click_Attack"	"Group_Orders_Cavalry_DoubleClick_Attack"
"general"	"generic"	"Unit_Voices_Group_Double_Click_Melee_Attack"	"Group_Orders_Cavalry_DoubleClick_Attack"
"general"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"general"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Group_Orders_Cavalry_Missile_Attack"
"general"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Cavalry_Unit_Engage_at_will"
"general"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Group_Orders_Cavalry_Engage_at_will"
"general"	"generic"	"Unit_Voices_Group_Fire_At_Will_Off"	"Group_Orders_Cavalry_Fire_At_Will_OFF"
"general"	"generic"	"Unit_Voices_Group_Fire_At_Will_On"	"Group_Orders_Cavalry_Fire_At_Will_ON"
"general"	"generic"	"Unit_Voices_Group_Guard_Off"	"Cavalry_Unit_Guard_On"
"general"	"generic"	"Unit_Voices_Group_Guard_On"	"Cavalry_Unit_Guard_Off"
"general"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Cavalry_Order_Fast_Move"
"general"	"generic"	"Unit_Voices_Group_Move_Slow"	"Group_Orders_Cavalry_Order_Move_To"
"general"	"generic"	"Unit_Voices_Group_Rally"	"Cavalry_Unit_Order_Rally"
"general"	"generic"	"Unit_Voices_Group_Retreat"	"Cavalry_Unit_Order_Retreat"
"general"	"generic"	"Unit_Voices_Group_Single_Click_Attack"	"Group_Orders_Cavalry_SingleClick_Attack"
"general"	"generic"	"Unit_Voices_Group_Single_Click_Melee_Attack"	"Group_Orders_Cavalry_SingleClick_Attack"
"general"	"generic"	"Unit_Voices_Group_Single_Click_Missile_Attack"	"Group_Orders_Cavalry_Missile_Attack"
"general"	"generic"	"Unit_Voices_Group_Skirmish_Off"	"Cavalry_Unit_Skirmish_Off"
"general"	"generic"	"Unit_Voices_Group_Skirmish_On"	"Cavalry_Unit_Skirmish_On"
"general"	"generic"	"Unit_Voices_Group_Withdraw"	"Group_Orders_Calvary_Retreat"
"general"	"generic"	"Unit_Voices_Guard_Off"	"Cavalry_Unit_Guard_Off"
"general"	"generic"	"Unit_Voices_Guard_On"	"Cavalry_Unit_Guard_On"
"general"	"generic"	"Unit_Voices_Halt"	"Cavalry_Unit_Halt"
"general"	"generic"	"Unit_Voices_In_Melee"	"Cavalry_in_melee"
"general"	"generic"	"Unit_Voices_Melee_Off"	"Cavalry_Unit_Melee_Button_off"
"general"	"generic"	"Unit_Voices_Melee_On"	"Cavalry_Unit_Melee_Button_on"
"general"	"generic"	"Unit_Voices_Move_Fast"	"Cavalry_Order_Double_Click_Fast_Move_To"
"general"	"generic"	"Unit_Voices_Move_Slow"	"Cavalry_Order_Single_Click_Move_To"
"general"	"generic"	"Unit_Voices_Rally"	"Cavalry_Unit_Order_Rally"
"general"	"generic"	"Unit_Voices_Retreat"	"Cavalry_Unit_Order_Retreat"
"general"	"generic"	"Unit_Voices_SHATTERED"	"Cavalry_routing"
"general"	"generic"	"Unit_Voices_Single_Click_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"general"	"generic"	"Unit_Voices_Single_Click_Melee_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"general"	"generic"	"Unit_Voices_Single_Click_Missile_Attack"	"Cavalry_Melee_Single_Click_Melee_Attack"
"general"	"generic"	"Unit_Voices_Skirmish_Off"	"Cavalry_Unit_Skirmish_Off"
"general"	"generic"	"Unit_Voices_Skirmish_On"	"Cavalry_Unit_Skirmish_On"
"general"	"generic"	"Unit_Voices_Special_Orders_Cantabrian_Circle"	"Cavalry_Archer_Special_Orders_Cantabrian_Circle"
"general"	"generic"	"Unit_Voices_Withdraw"	"Cavalry_Unit_Order_Retreat"
"general"	"generic"	"Unit_Voices_cavalry_move_back"	"Cavalry_Move_Back"
"general"	"generic"	"Unit_Voices_cavalry_move_forward"	"Cavalry_Move_Forward"
"general"	"generic"	"Unit_Voices_cavalry_move_left"	"Cavalry_Move_Left"
"general"	"generic"	"Unit_Voices_cavalry_move_right"	"Cavalry_Move_Right"
"general"	"generic"	"Unit_Voices_cavalry_skirmish_left"	"Group_Orders_Cavalry_Skirmish_Left"
"general"	"generic"	"Unit_Voices_engage_at_will"	"Cavalry_Unit_Engage_at_will"
"general"	"generic"	"Unit_Voices_inspire"	"Taisho_Special_General_Inspire"
"general"	"generic"	"Unit_Voices_rally_position"	"Taisho_Special_General _Rally_Position"
"general"	"generic"	"Unit_voices_formation_Cranes_Wing"	"Group_Orders_Cavalry_Formation_Cranes_Wing"
"general"	"generic"	"Unit_voices_formation_Fish_Scales"	"Group_Orders_Cavalry_Formation_Fish_Scales"
"general"	"generic"	"Unit_voices_formation_Ganko"	"Group_Orders_Cavalry_Formation_Ganko"
"general"	"generic"	"Unit_voices_formation_Half_Moon"	"Group_Orders_Cavalry_Formation_Half_Moon"
"general"	"generic"	"Unit_voices_formation_Hoshi"	"Group_Orders_Cavalry_Formation_Hoshi"
"general"	"generic"	"Unit_voices_formation_Saku"	"Group_Orders_Cavalry_Formation_Saku"
"general"	"generic"	"Unit_voices_formation_Yoke"	"Group_Orders_Cavalry_Formation_Yoke"
"general"	"generic"	"being_charged"	"Cavalry_charged"
"general"	"generic"	"being_flanked"	"Cavalry_flanked"
"general"	"generic"	"climb_walls"	"Infantry_climb_walls"
"general"	"generic"	"dismount"	"Cavalry_dismount"
"general"	"generic"	"enemy_approaching"	"Cavalry_enemy_approaching"
"general"	"generic"	"group_created"	"Group_Orders_Cavalry_Created"
"general"	"generic"	"group_selected"	"Group_Orders_Cavalry_Created"
"general"	"generic"	"group_selected_cavalry"	"Group_Orders_Cavalry_Select_Cavalry"
"general"	"generic"	"hold_position_false"	"Cavalry_Unit_Hold_Position_off"
"general"	"generic"	"hold_position_true"	"Cavalry_Unit_Hold_Position_on"
"general"	"generic"	"idle"	"Cavalry_idle"
"general"	"generic"	"loose_formation"	"Cavalry_Unit_Loose_Formation"
"general"	"generic"	"special_ability_stand_and_fight_off"	"Special_We_Stand_and_Fight_Taisho_Off"
"general"	"generic"	"special_ability_stand_and_fight_on"	"Special_We_Stand_and_Fight_Taisho"
"general"	"generic"	"tight_formation"	"Cavalry_Unit_Tight_Formation"
"general"	"generic"	"under_fire"	"Cavalry_Under_Archer_Fire"
"general"	"generic"	"unit_voices_selected"	"Cavalry_Unit_Selection_generic"
"general"	"generic"	"unit_voices_selected"	"Unit_type_selection_Taisho"
"general"	"generic"	"wavering"	"Cavalry_wavering"
"general"	"generic"	"wedge_formation"	"Cavalry_Unit_Generic_response"
"general"	"is_commanding_officer"	"Unit_Voices_Halt"	"Cavalry_Unit_Halt"
"infantry_bow_ashigaru"	"generic"	"Unit_Completed_Orders"	"Infantry_Unit_Completed_Orders"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Battle_Cry"	"Infantry_Battle_Cry"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Charge"	"Infantry_Battle_Cry"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Disband_Group"	"Group_Orders_Infantry_Disbanded"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Double_Click_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Double_Click_Melee_Attack"	"Infantry_Melee_Double_Click_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Double_Click_Missile_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Fire_At_Will_Off"	"Group_Orders_Infantry_Fire_At_Will_OFF"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Fire_At_Will_On"	"Group_Orders_Infantry_Fire_At_Will_ON"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Generic"	"Infantry_Unit_Generic_response"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Attack_Stronger"	"Group_Orders_Infantry_Attacking_Stronger_Target"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Attack_Weaker"	"Group_Orders_Infantry_Attacking_Weaker_Target"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Double_Click_Attack"	"Group_Orders_Infantry_DoubleClick_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Double_Click_Melee_Attack"	"Group_Orders_Infantry_DoubleClick_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Group_Orders_Infantry_Missile_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Group_Orders_Infantry_Engage_at_will"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Fire_At_Will_Off"	"Group_Orders_Infantry_Fire_At_Will_OFF"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Fire_At_Will_On"	"Group_Orders_Infantry_Fire_At_Will_ON"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Generic"	"Group_Orders_Infantry_Generic"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Guard_Off"	"Group_Orders_Infantry_Guard_Off"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Guard_On"	"Group_Orders_Infantry_Guard_On"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Infantry_Fast_Move"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Infantry_Move_To"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Move_Slow"	"Group_Orders_Infantry_Move_To"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Rally"	"Group_Orders_Infantry_Order_Rally"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Retreat"	"Group_Orders_Infantry_Order_Retreat"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Single_Click_Attack"	"Group_Orders_Infantry_SingleClick_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Single_Click_Melee_Attack"	"Group_Orders_Infantry_SingleClick_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Single_Click_Missile_Attack"	"Group_Orders_Infantry_Missile_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Skirmish_Off"	"Group_Orders_Infantry_Skirmish_off"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Skirmish_On"	"Group_Orders_Infantry_Skirmish"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Group_Withdraw"	"Group_Orders_Infantry_Order_Retreat"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Guard_Off"	"Infantry_Unit_Guard_Off"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Guard_On"	"Infantry_Unit_Guard_On"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Halt"	"Infantry_Unit_Halt"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_In_Melee"	"Infantry_inmelee"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Melee_Off"	"Infantry_Unit_Melee_Button_off"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Melee_On"	"Infantry_Unit_Melee_Button_on"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Move_Fast"	"Infantry_Order_Double_Click_Fast_Move_To"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Move_Slow"	"Infantry_Order_Single_Click_Move_To"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Rally"	"Infantry_Unit_Order_Rally"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Retreat"	"Infantry_Unit_Order_Retreat"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_SHATTERED"	"Infantry_routing"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Single_Click_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Single_Click_Melee_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Single_Click_Missile_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Skirmish_Off"	"Infantry_Unit_Skirmish_Off"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Skirmish_On"	"Infantry_Unit_Skirmish_On"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Special_Ability_Fire_Arrows"	"Ashigaru_Archers_Special_Ability_Fire_Arrows"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Special_Ability_Pavisse"	"Ashigaru_Archers_Special_Ability_Pavisse"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_Withdraw"	"Infantry_Unit_Order_Retreat"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_engage_at_will"	"Infantry_Unit_Engage_at_will"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_infantry_move_back"	"Infantry_Move_Back"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_infantry_move_forward"	"Infantry_Move_Forward"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_infantry_move_left"	"Infantry_Move_Left"
"infantry_bow_ashigaru"	"generic"	"Unit_Voices_infantry_move_right"	"Infantry_Move_Right"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Cranes_Wing"	"Group_Orders_Infantry_Formation_Cranes_Wing"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Fish_Scales"	"Group_Orders_Infantry_Formation_Fish_Scales"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Ganko"	"Group_Orders_Infantry_Formation_Ganko"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Half_Moon"	"Group_Orders_Infantry_Formation_Half_Moon"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Hoshi"	"Group_Orders_Infantry_Formation_Hoshi"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Saku"	"Group_Orders_Infantry_Formation_Saku"
"infantry_bow_ashigaru"	"generic"	"Unit_voices_formation_Yoke"	"Group_Orders_Infantry_Formation_Yoke"
"infantry_bow_ashigaru"	"generic"	"being_charged"	"Infantry_charged"
