version 1, schema units_to_exclusive_faction_permissions_tables, guid 0e480341-aa56-42f5-bfce-ab90953be094
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"Art_European_Cannons_Hojo"	"hojo"	true
"Art_European_Cannons"	"hojo"	false
"Art_Fire_Projecting_Mangonels_Hojo"	"hojo"	true
"Art_Fire_Projecting_Mangonels"	"hojo"	false
"Art_Large_Shafted_Fire_Rockets_Hojo"	"hojo"	true
"Art_Large_Shafted_Fire_Rockets"	"hojo"	false
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"bos_cb_aizu"	false
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"bos_cb_jozai"	false
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"bos_cb_nagaoka"	false
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"bos_cb_obama"	false
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"bos_cb_sendai"	false
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"bos_cb_choshu"	false
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"bos_cb_saga"	false
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"bos_cb_satsuma"	false
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"bos_cb_tosa"	false
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"bos_cb_ueno"	false
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"bos_cb_aizu"	false
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"bos_cb_jozai"	false
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"bos_cb_nagaoka"	false
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"bos_cb_obama"	false
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"bos_cb_sendai"	false
"Boshin_Inf_Elite_Kihetai"	"bos_cb_choshu"	true
"Boshin_Inf_Elite_Kihetai"	"bos_choshu"	true
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"bos_cb_choshu"	false
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"bos_cb_saga"	false
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"bos_cb_satsuma"	false
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"bos_cb_tosa"	false
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"bos_cb_ueno"	false
"Boshin_Inf_Light_Sharpshooters"	"bos_aizu"	false
"Boshin_Inf_Light_Sharpshooters"	"bos_cb_aizu"	false
"Boshin_Inf_Light_Tosa_Riflemen"	"bos_cb_tosa"	true
"Boshin_Inf_Light_Tosa_Riflemen"	"bos_tosa"	true
"Boshin_Inf_Light_Yugekitai"	"bos_cb_jozai"	true
"Boshin_Inf_Light_Yugekitai"	"bos_jozai"	true
"Boshin_Inf_Line_Azure_Dragon_Force"	"bos_aizu"	true
"Boshin_Inf_Line_Azure_Dragon_Force"	"bos_cb_aizu"	true
"Boshin_Inf_Line_Black_Bear_Infantry"	"bos_cb_satsuma"	true
"Boshin_Inf_Line_Black_Bear_Infantry"	"bos_satsuma"	true
"Boshin_Inf_Line_Black_Tortoise_Force"	"bos_aizu"	true
"Boshin_Inf_Line_Black_Tortoise_Force"	"bos_cb_aizu"	true
"Boshin_Inf_Line_Imperial_Infantry"	"bos_cb_aizu"	false
"Boshin_Inf_Line_Imperial_Infantry"	"bos_cb_jozai"	false
"Boshin_Inf_Line_Imperial_Infantry"	"bos_cb_nagaoka"	false
"Boshin_Inf_Line_Imperial_Infantry"	"bos_cb_obama"	false
"Boshin_Inf_Line_Imperial_Infantry"	"bos_cb_sendai"	false
"Boshin_Inf_Line_Infantry"	"bos_aizu"	false
"Boshin_Inf_Line_Infantry"	"bos_cb_aizu"	false
"Boshin_Inf_Line_Red_Bear_Infantry"	"bos_cb_tosa"	true
"Boshin_Inf_Line_Red_Bear_Infantry"	"bos_tosa"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_aizu"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_cb_aizu"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_cb_jozai"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_cb_nagaoka"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_cb_obama"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_cb_sendai"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_jozai"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_nagaoka"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_obama"	true
"Boshin_Inf_Line_Shinsengumi"	"bos_sendai"	true
"Boshin_Inf_Line_Shogunate_Infantry"	"bos_cb_choshu"	false
"Boshin_Inf_Line_Shogunate_Infantry"	"bos_cb_saga"	false
"Boshin_Inf_Line_Shogunate_Infantry"	"bos_cb_satsuma"	false
"Boshin_Inf_Line_Shogunate_Infantry"	"bos_cb_tosa"	false
"Boshin_Inf_Line_Shogunate_Infantry"	"bos_cb_ueno"	false
"Boshin_Inf_Line_Vermilion_Bird_Force"	"bos_aizu"	true
"Boshin_Inf_Line_Vermilion_Bird_Force"	"bos_cb_aizu"	true
"Boshin_Inf_Line_White_Bear_Infantry"	"bos_cb_choshu"	true
"Boshin_Inf_Line_White_Bear_Infantry"	"bos_choshu"	true
"Boshin_Inf_Line_White_Tiger_Force"	"bos_aizu"	true
"Boshin_Inf_Line_White_Tiger_Force"	"bos_cb_aizu"	true
"Boshin_Inf_Militia_Levy_Infantry"	"bos_aizu"	false
"Boshin_Inf_Militia_Levy_Infantry"	"bos_cb_aizu"	false
"Boshin_Inf_Spear_Kyoto_Police"	"bos_cb_aizu"	true
"Boshin_Inf_Spear_Kyoto_Police"	"bos_cb_jozai"	true
"Boshin_Inf_Spear_Kyoto_Police"	"bos_cb_nagaoka"	true
"Boshin_Inf_Spear_Kyoto_Police"	"bos_cb_obama"	true
"Boshin_Inf_Spear_Kyoto_Police"	"bos_cb_sendai"	true
"Boshin_Inf_Sword_Shogitai"	"bos_cb_aizu"	true
"Boshin_Inf_Sword_Shogitai"	"bos_cb_jozai"	true
"Boshin_Inf_Sword_Shogitai"	"bos_cb_nagaoka"	true
"Boshin_Inf_Sword_Shogitai"	"bos_cb_obama"	true
"Boshin_Inf_Sword_Shogitai"	"bos_cb_sendai"	true
"Cannon_Ship_Cannon_Bune_Mori"	"mori"	true
"Cannon_Ship_Cannon_Bune"	"mori"	false
"Cav_Missile_Bow_Cavalry_Takeda"	"takeda"	true
"Cav_Missile_Bow_Cavalry"	"takeda"	false
"Cav_Missile_Donderbuss_Cavalry"	"otomo"	true
"Cav_Spear_Great_Guard_Takeda"	"takeda"	false
"Cav_Spear_Great_Guard"	"takeda"	true
"Cav_Spear_Light_Cavalry_Takeda"	"takeda"	true
"Cav_Spear_Light_Cavalry"	"takeda"	false
"Cav_Spear_Naginata_Warrior_Monk_Cavalry"	"otomo"	false
"Cav_Spear_Yari_Cavalry_Takeda"	"takeda"	true
"Cav_Spear_Yari_Cavalry"	"takeda"	false
"Cav_Sword_Katana_Cavalry_Takeda"	"takeda"	true
"Cav_Sword_Katana_Cavalry"	"takeda"	false
"Galleon_Caravel_Mori"	"mori"	true
"Galleon_Caravel"	"mori"	false
"Gen_Chosokabe_Motochika"	"chosokabe"	true
"Gen_Date_Masamune"	"date"	true
"Gen_Hattori_Hanzo"	"iga_ninja"	true
"Gen_Hojo_Ujiyasu"	"hojo"	true
"Gen_Mori_Motonari"	"mori"	true
"Gen_Oda_Nobunaga"	"oda"	true
"Gen_Otomo_Sorin"	"otomo"	true
"Gen_Shimazu_Yoshihiro"	"shimazu"	true
"Gen_Takeda_Shingen"	"takeda"	true
"Gen_Tokugawa_Ieyasu"	"tokugawa"	true
"Gen_Uesugi_Kenshin"	"uesugi"	true
"Heavy_Ship_Heavy_Bune_Mori"	"mori"	true
"Heavy_Ship_Heavy_Bune"	"mori"	false
"Heavy_Ship_Nihon_Maru_Mori"	"mori"	false
"Heavy_Ship_Nihon_Maru"	"mori"	true
"Heavy_Ship_O_Ataka_Bune_Mori"	"mori"	true
"Heavy_Ship_O_Ataka_Bune"	"mori"	false
"Inf_Heavy_Naginata_Samurai_Hattori"	"iga_ninja"	true
