version 1, schema warscape_equipment_items_tables, guid 78e6c2dd-725b-4c86-97fb-df8bcc2629b5
Item_ID(string)	Category_ID(string)
"Basket"	"cinematic_basket"
"Christian_Priest"	"shogun_priest_staff"
"Geisha_dagger"	"shogun_geisha_dagger"
"Geisha_fan"	"shogun_geisha_fan"
"Hoe"	"cinematic_hoe"
"Kama"	"cinematic_kama"
"Lantan"	"cinematic_lantern"
"Long_yari"	"shogun_long_yari"
"Naginata"	"shogun_naginata"
"OVERSIZED_Teppo"	"shogun_oversized_teppo"
"Ram"	"cannon_ramrod"
"Ramrod"	"musket_ramrod"
"Sashimono_cavalry"	"sashimono_cavalry"
"Sashimono_infantry"	"sashimono_infantry"
"Sashimono_nobori"	"nobori"
"Teppo"	"shogun_teppo"
"Umbrella"	"cinematic_umbrella"
"Wakizashi_scabbard"	"shogun_wakizashi_scabbard"
"Wakizashi"	"shogun_wakizashi"
"Yari"	"shogun_yari"
"Yumi_extended"	"shogun_yumi_extended"
"Yumi_variant2_ext"	"shogun_yumi_extended_2"
"Yumi_variant2"	"shogun_yumi_2"
"Yumi_variant3_ext"	"shogun_yumi_extended_3"
"Yumi_variant3"	"shogun_yumi_3"
"Yumi"	"shogun_yumi"
"am_bp"	"boshin_american_bp"
"ammo_pouch"	"boshin_ammo_pouch"
"ammopouch_a"	"boshin_ammo_pouch_a"
"arrow"	"arrow_foot"
"arrow"	"arrow_horse"
"br_bp"	"boshin_british_bp"
"bullet"	"cannon_shell"
"campaigncolt"	"boshin_campaign_pistol"
"cannonball"	"cannon_ball"
"carbine"	"shogun_carbine"
"cav_lance"	"boshin_cav_lance"
"chassepot"	"boshin_chassepot"
"colt1"	"boshin_colt"
"colt3"	"boshin_colt3"
"csabre_A"	"boshin_campaign_sabre"
"donderbuss"	"donderbuss"
"drumstick1"	"drumstick1"
"drumstick2"	"drumstick2"
"east_bow"	"bow_east"
"euro_carbine"	"euro_carbine"
"euro_cavalrysabre"	"euro_cavalry_sabre"
"euro_stake"	"euro_wooden_stake"
"euro_tomahawk"	"euro_tomahawk"
"extralong_yari"	"shogun_extralong_yari"
"fan_gumbai_dansen"	"warfan"
"flashbang"	"blinding_grenade"
"fr_bp"	"boshin_french_bp"
"gen_plug_bayonet"	"plug_bayonet"
"gen_ring_bayonet"	"ring_bayonet"
"gen_socket_bayonet"	"socket_bayonet"
"general_wakizashi"	"general_wakizashi"
"handmortar"	"shogun_handmortar"
"jp_bp_1"	"boshin_japan_bp_1"
"jp_bp_2"	"boshin_japan_bp_2"
"kanabo"	"shogun_kanabo"
"katana_scabbard01"	"shogun_cavalry_equipment"
"katana_scabbard01"	"shogun_infantry_equipment"
"katana_scabbard01"	"shogun_katana_scabbard"
"katana_variant2"	"shogun_katana_2"
"katana_variant3"	"shogun_katana_3"
"katana"	"shogun_katana"
"mangonel_balls"	"fire_stone"
"minnie"	"boshin_minnie"
"monk_staff"	"shogun_monk_staff"
"nap_lance"	"nap_lance"
"ninja_Wakizashi"	"shogun_ninja_wakizashi"
"ninja_flashbang"	"shogun_ninja_flashbang"
"ninja_scabbard"	"shogun_ninja_scabbard"
"nodachi"	"shogun_nodachi"
"rocket"	"rocket"
"sabre_A"	"boshin_sabre"
"sashimono_flag"	"boshin_flag"
"seppuku_dagger"	"seppuku_dagger"
"sh_bow_ext"	"sh_bow_extended"
"sh_bow"	"sh_bow"
"sh_nagamaki"	"sh_nagamaki"
"sh_sashimono1"	"sh_sashimono1"
"sh_sashimono2"	"sh_sashimono2"
"sh_sashimono3"	"sh_sashimono3"
"sh_sashimono4"	"sh_sashimono4"
"sh_spear"	"sh_spear"
"sh_tetsubo"	"sh_tetsubo"
"short_ram"	"cannon_short_ramrod"
"slingbomb"	"firebomb_sling"
"snider"	"boshin_snider"
"spencer"	"boshin_spencer"
"stake"	"wooden_stake"
"stool_A"	"stool"
"tenkagoken_sword"	"tenkagoken_sword"
"torch"	"torch"
"zhanmadao"	"shogun_cutting_sword"
